Block,Time,LT-59,L_NR_2023_04,LT-05,L_NR_2021_15,L_NR_2023_10,LT-31,LT-35,L_NR_2012_04,L_NR_2019_11,L_NR_2021_14,SH-06,L_NR_2021_16,L_NR_2021_17,L_NR_2018_61,L_NR_2023_07,L_NR_2019_19,L_NR_2020_06,L_NR_2019_05,L_NR_2022_09,L_NR_2012_07,L_NR_2019_07,L_NR_2022_08,L_NR_2019_06,L_NR_2020_05,L_NR_2021_13,L_NR_2012_02,L_NR_2022_10,L_NR_2021_12,SH-07,LT-36,L_NR_2020_07,L_NR_2020_02,L_NR_2012_01
1,00:00-00:15,5.060000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,30.930000,0,0,38.09,0,0,14.55,0,43.04,64.960000,0,9,0,43.64,0,258.960000,43.04,0,30.930000,0.000000,14.54,5.060000,101.250000

2,00:15-00:30,5.060000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,30.930000,0,0,37.74,0,0,14.59,0,42.98,64.960000,0,9.06,0,43.77,0,258.960000,42.98,0,30.930000,0.000000,14.59,5.060000,101.250000

3,00:30-00:45,5.060000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,30.930000,0,0,37.08,0,0,14.63,0,42.73,64.960000,0,11.28,0,43.88,0,258.960000,42.73,0,30.930000,0.000000,14.62,5.060000,101.250000

4,00:45-01:00,5.060000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,30.930000,0,0,36.67,0,0,14.67,0,42.47,64.960000,0,11.13,0,44.01,0,258.960000,42.47,0,30.930000,0.000000,14.67,5.060000,101.250000

5,01:00-01:15,5.290000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,26.090000,0,0,36.28,0,0,14.72,0,42.26,64.960000,0,11,0,44.16,0,258.960000,42.26,0,26.090000,0.000000,14.73,5.060000,101.250000

6,01:15-01:30,5.290000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,26.090000,0,0,36.08,0,0,14.76,0,42.08,64.960000,0,11.03,0,44.29,0,258.960000,42.08,0,26.090000,0.000000,14.78,5.060000,101.250000

7,01:30-01:45,5.290000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,26.090000,0,0,35.78,0,0,14.8,0,48.54,64.960000,0,11.04,0,44.4,0,223.510000,48.54,0,26.090000,0.000000,14.81,5.060000,53.160000

8,01:45-02:00,5.290000,27.780000,115.990000,0,0,0.000000,0.000000,271.860000,5.230000,0,26.090000,0,0,37.08,0,0,17.66,0,48.58,64.960000,0,12.63,0,52.99,0,223.510000,48.58,0,26.090000,0.000000,17.67,5.060000,53.160000

9,02:00-02:15,5.290000,28.790000,94.770000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,36.74,0,0,17.61,0,48.31,64.960000,0,12.61,0,52.83,0,223.510000,48.31,0,26.090000,0.000000,17.6,5.060000,53.160000

10,02:15-02:30,5.290000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,36.47,0,0,17.52,0,48.07,64.960000,0,12.53,0,52.56,0,223.510000,48.07,0,26.090000,0.000000,17.52,5.060000,53.160000

11,02:30-02:45,5.520000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,36.07,0,0,17.5,0,47.59,64.960000,0,12.51,0,52.49,0,223.510000,47.59,0,26.090000,0.000000,17.49,5.060000,53.160000

12,02:45-03:00,5.520000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,35.69,0,0,17.43,0,47.39,64.960000,0,12.39,0,52.29,0,223.510000,47.39,0,26.090000,0.000000,17.44,5.060000,53.160000

13,03:00-03:15,5.520000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,35.28,0,0,17.36,0,47.04,64.960000,0,12.26,0,52.07,0,223.510000,47.04,0,26.090000,0.000000,17.36,5.060000,53.160000

14,03:15-03:30,5.520000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,29.08,0,0,17.24,0,46.37,64.960000,0,12.32,0,51.73,0,223.510000,46.37,0,26.090000,0.000000,17.25,5.060000,53.160000

15,03:30-03:45,5.440000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,28.86,0,0,18.5,0,48.31,64.960000,0,15.01,0,55.49,0,223.510000,48.31,0,26.090000,0.000000,18.49,5.060000,53.160000

16,03:45-04:00,5.440000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,5.000000,0,26.090000,0,0,28.68,0,0,18.44,0,48.07,64.960000,0,14.9,0,55.33,0,223.510000,48.07,0,26.090000,0.000000,18.44,5.060000,53.160000

17,04:00-04:15,5.440000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,4.840000,0,26.090000,0,0,28.54,0,0,18.35,0,47.59,64.960000,0,14.74,0,55.06,0,223.510000,47.59,0,26.090000,0.000000,18.36,4.970000,53.160000

18,04:15-04:30,5.440000,28.790000,70.500000,0,0,0.000000,0.000000,271.860000,4.840000,0,26.090000,0,0,14.31,0,0,18.33,0,47.39,49.950000,0,14.39,0,54.99,0,223.510000,47.39,0,26.090000,0.000000,18.33,4.970000,53.160000

