Block,Time Block,JHAJJAR,KUDGI,KGSU1AND2,KGSU3AND4,KHSTPP-II,KOTESHWR,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,KHSTPP-I,NLCEXP,NLCIIST1,NLCIIST2,NJPC,MAPS,NAPP,CHAMERA2,BRBCL,DADRT2,CHAMERA1,DHAULIGNGA,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,TelanganaSTPP,SINGRAULI,UNCHAHAR2,TEHRI,TANDA2,UNCHAHAR1,TALST2,UNCHAHAR4,SINGRAULI_HYDRO,TANAKPUR,UNCHAHAR3,SIMHST2,TALA,URI2,URI,VALLURNTECL,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,SALAL,SEWA2,RIHAND2,NLCTS2EXP,RAMPUR,RIHAND1,NNTPP,NTPL,RAPPC,SASAN,RSTPSU1TO6,PARBATI3,SIMHST1,RAPPB,RIHAND3,RSTPSU7,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,229.79,0,0,0,142.92,8.55,0,0,0,0,43.88,0,0,0,0,0,19.46,0,15.06,362.5,0,0,14.05,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,114.45,0,0,88.66,0,0,24.82,392.35,0,13.49,0,0,119.82,0,0,0,0,0,0

2,00:15-00:30,229.79,0,0,0,142.92,8.55,0,0,0,0,37.82,0,0,0,0,0,19.46,0,14.77,362.5,0,0,11.62,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,114.45,0,0,88.66,0,0,24.82,392.47,0,13.49,0,0,119.82,0,0,0,0,0,0

3,00:30-00:45,229.79,0,0,0,142.92,8.55,0,0,0,0,37.82,0,0,0,0,0,19.46,0,16.64,362.5,0,0,11.62,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,114.45,0,0,88.66,0,0,24.82,392.47,0,13.49,0,0,119.82,0,0,0,0,0,0

4,00:45-01:00,229.79,0,0,0,142.92,8.55,0,0,0,0,37.82,0,0,0,0,0,19.46,0,15.24,362.5,0,0,15.12,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,2.25,0,114.45,0,0,88.66,0,0,24.82,392.47,0,13.49,0,0,119.82,0,0,0,0,0,0

5,01:00-01:15,229.79,0,0,0,142.92,8.55,0,0,0,0,37.82,0,0,0,0,0,19.46,0,14.3,362.5,0,0,15.12,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,114.45,0,0,88.66,0,0,24.82,392.47,0,3.44,0,0,119.82,0,0,0,0,0,0

6,01:15-01:30,229.79,0,0,0,142.92,8.55,0,0,0,0,37.82,0,0,0,0,0,19.46,0,12.96,362.5,0,0,15.12,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,68.31,0,114.45,0,0,88.66,0,0,24.82,392.47,0,3.44,0,0,119.82,0,0,0,0,0,0

7,01:30-01:45,229.79,0,0,0,142.92,8.55,0,0,0,0,37.82,0,0,0,0,0,19.46,0,14.77,362.5,0,0,15.12,0,6.28,0,0,134.62,27.73,0,0,13.18,0,0,0.77,0,17.39,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,68.31,0,114.45,0,0,88.66,0,0,24.82,392.47,0,3.44,0,0,119.82,0,0,0,0,0,0

8,01:45-02:00,229.79,0,0,0,142.92,8.55,0,0,0,0,43.88,0,0,0,0,0,19.46,0,16.11,366.55,0,0,17.54,0,6.28,0,0,134.62,33.36,0,0,15.95,0,0,0.77,0,20.9,0,0,27.22,33.52,0,0,0,0,0,0,0,0,0,0,0,0,0,68.31,0,114.45,0,0,88.66,0,0,24.82,392.47,0,3.44,0,0,119.82,0,0,0,0,0,0

