Block,Time,DULHASTI,ANTA_RF,TANAKPUR,UNCHAHAR1,CHAMERA1,AURY_GF,KOLDAM,UNCHAHAR2,CHAMERA3,RIHAND2,AURY_LF,TEHRI,ANTA_CRF,RIHAND1,SINGRAULI_HYDRO,RAMPUR,URI2,DADRI_RF,UNCHAHAR4,SALAL,SINGRAULI,DADRI_CRF,RAPPC,ANTA_LF,RAPPB,KISHANGANGA,NAPP,PARBATI3,AURY_RF,DADRI_GF,KOTESHWR,RIHAND3,NJPC,DADRI_LF,AURY_CRF,DHAULIGNGA,ANTA_GF,JHAJJAR,DADRT2,SEWA2,BSIUL,CHAMERA2,UNCHAHAR3,TANDA2,URI,BRBCL,KHSTPP-II,SASAN,KHSTPP-I,TALA,FSTPP I & II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0.000000,0.000000,0.000000,6.546360,41.068782,0.000000,0.000000,23.586150,0.000000,112.756238,0.000000,0.000000,0.000000,88.568400,0.626159,0.000000,31.339582,0.000000,0.000000,42.508981,120.903086,0.000000,51.554318,0.000000,0.000000,0.000000,41.743442,0.000000,0.000000,0.000000,8.068389,119.052897,0.000000,0.000000,0.000000,0.000000,0.000000,345.840348,184.453320,15.656005,0.000000,12.576135,15.210660,0.000000,40.387190,19.108713,122.417798,403.149879,33.000297,0.000000,15.823513,0,0,0,0,0

2,00:15-00:30,0.000000,0.000000,0.000000,6.546360,41.068782,0.000000,0.000000,23.586150,0.000000,112.756238,0.000000,0.000000,0.000000,88.568400,0.626159,0.000000,31.339582,0.000000,0.000000,42.508981,120.903086,0.000000,51.554318,0.000000,0.000000,0.000000,41.743442,0.000000,0.000000,0.000000,8.068389,119.052897,0.000000,0.000000,0.000000,0.000000,0.000000,345.840348,184.453320,15.656005,0.000000,12.576135,15.210660,0.000000,40.387190,17.418616,122.417798,403.149879,33.000297,0.000000,15.022548,0,0,0,0,0

3,00:30-00:45,0.000000,0.000000,0.246644,6.546360,41.068782,0.000000,0.000000,23.586150,0.000000,112.756238,0.000000,0.000000,0.000000,88.568400,0.626159,0.000000,31.339582,0.000000,0.000000,42.508981,120.903086,0.000000,51.554318,0.000000,0.000000,0.000000,41.743442,0.000000,0.000000,0.000000,8.068389,119.052897,0.000000,0.000000,0.000000,0.000000,0.000000,345.840348,184.453320,15.656005,0.000000,12.576135,15.210660,0.000000,34.010266,19.254035,122.417798,403.149879,33.000297,0.000000,15.022548,0,0,0,0,0

4,00:45-01:00,0.000000,0.000000,0.246644,6.546360,41.068782,0.000000,0.000000,23.586150,0.000000,112.756238,0.000000,0.000000,0.000000,88.568400,0.626159,0.000000,31.339582,0.000000,0.000000,42.508981,120.903086,0.000000,51.554318,0.000000,0.000000,0.000000,41.743442,0.000000,0.000000,0.000000,8.068389,119.052897,0.000000,0.000000,0.000000,0.000000,0.000000,345.840348,184.453320,15.656005,0.000000,12.576135,15.210660,0.000000,34.010266,19.154397,122.417798,403.149879,33.000297,0.000000,15.022548,0,0,0,0,0

5,01:00-01:15,0.000000,0.000000,0.246644,6.546360,41.068782,0.000000,0.000000,23.586150,0.000000,112.756238,0.000000,0.000000,0.000000,88.568400,0.626159,0.000000,30.707610,0.000000,0.000000,42.508981,120.903086,0.000000,51.554318,0.000000,0.000000,0.000000,41.743442,0.000000,0.000000,0.000000,8.068389,119.052897,0.000000,0.000000,0.000000,0.000000,0.000000,345.840348,184.453320,15.656005,0.000000,12.576135,15.210660,0.000000,34.010266,17.719646,98.620942,403.149879,24.933930,0.000000,12.033750,0,0,0,0,0

