Block,Time,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_36,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/31102037/L_NR_2019_11,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06,NR/01102023/02122045/L_NR_2021_13,NR/01102023/14082046/L_NR_2021_16,NR/01102023/05012040/L_NR_2020_02,WR/01102023/29112042/L_NR_2019_05,NR/26072023/31072042/L_NR_2023_07,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/23072042/L_NR_2012_04,WR/01102023/31032046/L_NR_2020_05,NR/01102023/31052040/LT-31,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/26072023/25122043/L_NR_2023_10,WR/01102023/24112044/L_NR_2020_07,NR/01102023/19072037/LT-05,NR/01102023/02012046/L_NR_2021_17,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/01102023/L_NR_2020_06,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,L_NR_2019_19,SR/01102023/07102043/L_NR_2018_61
1,00:00-00:15,246.220000,0.000000,0.000000,3.660000,101.380000,29.040000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,26.94,0.000000,0,0,8.98,118.080000,0,0,6.66,25.84,25.84,8.97,0,0,0,7.11

2,00:15-00:30,246.220000,0.000000,0.000000,3.660000,101.380000,29.040000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,27.56,0.000000,0,0,9.19,118.080000,0,0,6.66,26.31,26.31,9.17,0,0,0,7.01

3,00:30-00:45,232.300000,0.000000,0.000000,3.660000,101.380000,29.040000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,28.2,0.000000,0,0,9.4,118.080000,0,0,6.66,27.27,27.27,9.39,0,0,0,7.16

4,00:45-01:00,232.300000,0.000000,0.000000,3.660000,101.380000,29.040000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,23.48,0.000000,0,0,7.83,118.080000,0,0,6.66,20.78,20.78,7.82,0,0,0,7.08

5,01:00-01:15,232.300000,0.000000,0.000000,3.660000,101.380000,29.040000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,24.83,0.000000,0,0,8.28,109.760000,0,0,6.66,21.14,21.14,8.26,0,0,0,7.17

6,01:15-01:30,232.300000,0.000000,0.000000,3.660000,101.380000,28.070000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,26.44,0.000000,0,0,8.81,109.760000,0,0,6.66,16.75,16.75,8.81,0,0,0,7.17

7,01:30-01:45,232.300000,0.000000,0.000000,3.660000,101.380000,28.070000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,27.91,0.000000,0,0,9.3,109.760000,0,0,6.66,17.07,17.07,9.31,0,0,0,7.14

8,01:45-02:00,232.300000,0.000000,0.000000,3.660000,101.380000,28.070000,3.310000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,29.52,0.000000,0,0,9.84,109.760000,0,0,6.66,17.38,17.38,9.84,0,0,0,7.09

9,02:00-02:15,232.300000,0.000000,0.000000,3.660000,101.380000,28.070000,3.160000,30.970000,71.430000,0.000000,30.970000,0,0,3.490000,0,0,0,272.220000,30.21,0.000000,0,0,10.07,109.760000,0,0,6.66,17.86,17.86,10.06,0,0,0,7.08

