,,NA,HIMACHAL PRADESH,NA,GOA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,RAJASTHAN,HIMACHAL PRADESH,MAHARASHTRA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,HIMACHAL PRADESH,NA,TAMIL NADU,HIMACHAL PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,UTTAR PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,MP,KERALA,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NAGALAND,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,HIMACHAL PRADESH,ANDHRA PRADESH,NA,MAHARASHTRA,MAHARASHTRA,NA,
,,SOLAPUR_SOLAR,HP-GOVT,KAMENG,GOA_Beneficiary,UTTARAKHAND,SHPPBPL,APL_Raipur TPP,SIMHAPURI,RKM_POWER,SHPPBPL,SHPPBPL,GBHHPL,RUVNL,SHPPBPL,A_A_Energy_MH_Bio,IEPLBELA2022,SHPPBPL,JPL-2,SEIL,HP-GOVT,JPL-2,TANGEDCO,GBHHPL,IND_BHARAT,JPL-2,JPL_DHULE,HP,SEILP2,PPGCL,NHCPL_HP,SHPPBPL,JP BINA,KSEB,ACBIL,SKS Raigarh,GBHHPL,AEML,HP,SHPPBPL,JSWEL,Nagaland_Ben,JHAJJAR,SHPPBPL,HP-GOVT,TANGEDCO,SHPPBPL,ITCWIND,RKM_POWER,JSWEL MSEB,JPL_DHULE,JHAJJAR,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,MES (Delhi),BRPL,TPDDL,BRPL,BYPL,BAL234,BRPL,BRPL,NDMC,DTCP,BAL184,DIAPL,BYPL,MSSH,MES (Delhi),BRPL,BAL224,BRPL,TPDDL,BRPL,NDMC,BRPL,DIAPL,BRPL,TPDDL,TPDDL,BRPL,BRPL,BRPL,MES (Delhi),JHPL-DL,TPDDL,BYPL,BRPL,NDMC,BRPL,BYPL,BYPL,MHIL,BRPL,BYPL,TPDDL,BMDRC,BRPL,BYPL,UHL,ITCLH,NDMC,BRPL,BRPL,TPDDL,
,,West-North,North-North,North East-East-North,West-North,North-North,North-North,West-North,South-West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,South-West-North,North-North,West-North,South-West-North,North-North,East-West-North,West-North,West-North,North-North,South-West-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North-North,West-North,North-North,North-North,South-East-West-North,North East-East-North,North-North,North-North,North-North,South-West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,
24,05:45-06:00,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,5.800000,0.000000,96.600000,72.450000,108.680000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,36.220000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,57.960000,1670.34

25,06:00-06:15,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,57.960000,1510.95

26,06:15-06:30,0,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,57.960000,1510.95

27,06:30-06:45,0.18,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,57.960000,1511.13

28,06:45-07:00,0.57,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.530000,32.930000,0.000000,0.000000,57.960000,1511.52

29,07:00-07:15,0.89,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,2.900000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.680000,32.930000,0.000000,0.000000,57.960000,1510.06

30,07:15-07:30,1.27,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,2.900000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.680000,32.930000,0.000000,0.000000,57.960000,1510.44

31,07:30-07:45,1.57,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,2.900000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.680000,32.930000,0.000000,0.000000,57.960000,1510.74

32,07:45:08:00,1.77,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,2.900000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.680000,32.930000,0.000000,0.000000,57.960000,1510.94

33,08:00-08:15,1.81,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,0.000000,57.960000,1706.76

34,08:15-08:30,2.61,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,73.420000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,0.000000,57.960000,1707.56

35,08:30-08:45,3.99,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,0.000000,57.960000,1757.23

36,08:45:09:00,4.55,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,0.000000,57.960000,1757.79

37,09:00:09:15,5.51,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1918.14

38,09:15-09:30,5.01,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1917.64

39,09:30-09:45,4.88,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1917.51

40,09:45-10:00,6.36,0.000000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,3.860000,0.000000,96.600000,72.450000,0.000000,0.000000,0.000000,1.930000,1.590000,48.300000,121.710000,0.000000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1918.99

41,10:00-10:15,4.54,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2058.21

42,10:15-10:30,5.08,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2058.75

43,10:30-10:45,6.93,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2060.6

44,10:45-11:00,6.91,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2060.58

45,11:00-11:15,6.85,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2060.52

46,11:15-11:30,9.04,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2062.71

47,11:30-11:45,5.22,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2058.89

48,11:45-12:00,6.82,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,0.000000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2060.49

49,12:00-12:15,9.52,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2076.71

50,12:15-12:30,7.65,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2074.84

51,12:30-12:45,8.74,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2075.93

52,12:45-13:00,8.92,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2076.11

53,13:00-13:15,7.98,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2075.17

54,13:15-13:30,6.19,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2073.38

55,13:30-13:45,7.25,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2074.44

56,13:45-14:00,6.96,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,243.200000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,2074.15

57,14:00-14:15,8.89,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1881.55

58,14:15-14:30,8.32,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1880.98

59,14:30-14:45,7.3,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1879.96

60,14:45-15:00,4.95,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,4.830000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1877.61

61,15:00-15:15,7.64,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1882.23

62,15:15-15:30,5.62,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1880.21

63,15:30-15:45,5.54,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1880.13

64,15:45-16:00,3.06,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,48.300000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,38.640000,0.520000,24.150000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.970000,32.930000,0.000000,48.300000,57.960000,1877.65

65,16:00-16:15,5.91,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.820000,32.930000,0.000000,0.000000,57.960000,1720.96

66,16:15-16:30,4.67,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.820000,32.930000,0.000000,0.000000,57.960000,1719.72

67,16:30-16:45,3.57,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.820000,32.930000,0.000000,0.000000,57.960000,1718.62

68,16:45-17:00,3.22,67.620000,168.810000,11.740000,84.220000,0.880000,193.200000,0.000000,32.930000,0.480000,0.350000,2.900000,66.840000,0.680000,1.930000,0.000000,0.520000,0.000000,24.150000,96.600000,32.930000,48.670000,6.760000,0.000000,96.600000,72.450000,0.000000,24.150000,24.150000,1.930000,1.590000,48.300000,121.710000,24.150000,10.970000,0.000000,90.800000,0.000000,0.880000,0.000000,13.520000,183.540000,0.980000,0.000000,64.800000,0.610000,0.820000,32.930000,0.000000,0.000000,57.960000,1718.27

