Block,Time Block,NLCEXP,NAPP,NJPC,MAPS,KKNPPU2,KOLDAM,KUDGI,KOTESHWR,ANTA_GF,VALLURNTECL,AURY_CRF,UNCHAHAR4,AURY_RF,DADRI_LF,ANTA_CRF,URI2,ANTA_RF,UNCHAHAR3,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,URI,DADRI_CRF,UNCHAHAR1,TelanganaSTPP,UNCHAHAR2,BSIUL,BRBCL,CHAMERA3,CHAMERA2,DADRT2,CHAMERA1,TEHRI,TANDA2,TALST2,TANAKPUR,TALA,RAMPUR,RAPPC,NTPL,PARBATI3,RAPPB,SIMHST1,SINGRAULI_HYDRO,RSTPSU1TO6,SIMHST2,RSTPSU7,SALAL,SEWA2,SINGRAULI,RIHAND3,RIHAND2,SASAN,RIHAND1,NLCTS2EXP,NNTPP,KGSU1AND2,DULHASTI,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,JHAJJAR,KHSTPP-I,DHAULIGNGA,FSTPP I & II,DADRI_RF,NLCIIST1,NLCIIST2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,39.9,21.03,0,0,0,0,8.56,0,0,0,0,0,0,0,4.41,0,25.48,0,0,0,0,2.13,0,19.85,0,40.94,0,14.48,0,2.32,328.16,0,14.41,0,0,11.5,0,0,50.11,0,0,0,0,0,0,0,0,2.25,0,134.86,120.03,114.66,393.2,88.83,0,0,0,31.82,0,143.18,0,0,342.55,42.78,8.8,20.08,0,0,0,0,0,0,0,0

2,00:15-00:30,0,39.9,21.03,0,0,0,0,8.56,0,0,0,0,0,0,0,4.41,0,25.48,0,0,0,0,2.13,0,19.85,0,40.94,0,14.48,0,2.32,328.16,0,14.41,0,0,11.5,0,0,50.11,0,0,0,0,0,0,0,0,17.95,0,134.86,120.03,114.66,393.2,88.83,0,0,0,31.82,0,143.18,0,0,342.55,42.78,8.8,20.08,0,0,0,0,0,0,0,0

3,00:30-00:45,0,39.9,21.03,0,0,0,0,8.56,0,0,0,0,0,0,0,4.41,0,25.48,0,0,0,0,2.13,0,19.85,0,40.94,0,14.48,0,2.32,328.16,0,14.41,0,0,11.5,0,0,50.11,0,0,0,0,0,0,0,0,76.64,0,134.86,120.03,114.66,393.2,88.83,0,0,0,31.82,0,143.18,0,0,305.86,42.78,8.8,20.08,0,0,0,0,0,0,0,0

4,00:45-01:00,0,39.9,21.03,0,0,0,0,8.56,0,0,0,0,0,0,0,4.41,0,25.48,0,0,0,0,2.13,0,19.85,0,40.94,0,14.48,0,2.32,328.16,0,14.41,0,0,6.81,0,0,50.11,0,0,0,0,0,0,0,0,76.64,0,134.86,120.03,114.66,393.2,88.83,0,0,0,31.82,0,143.18,0,0,305.86,42.78,8.8,20.08,0,0,0,0,0,0,0,0

5,01:00-01:15,0,39.9,21.03,0,0,0,0,8.56,0,0,0,0,0,0,0,4.41,0,25.48,0,0,0,0,2.13,0,19.85,0,40.94,0,14.48,0,2.32,328.16,0,14.41,0,0,6.81,0,0,50.11,0,0,0,0,0,0,0,0,76.64,0,134.86,120.03,114.66,393.2,88.83,0,0,0,31.82,0,143.18,0,0,305.86,40.44,8.8,20.08,0,0,0,0,0,0,0,0

