Block,Time,CHAMERA2,FSTPP I & II,NLCIIST2,PARBATI3,RSTPSU1TO6,SINGRAULI,TALA,ANTA_CRF,DADRT2,KGSU1AND2,KISHANGANGA,KOTESHWR,NJPC,NLCTS2EXP,TALST2,UNCHAHAR1,UNCHAHAR3,URI,VALLURNTECL,DADRI_RF,KHSTPP-I,KUDGI,NNTPP,PARBATI2,SALAL,SIMHST2,TANDA2,TelanganaSTPP,ANTA_RF,AURY_CRF,AURY_LF,DADRI_LF,CHAMERA3,DULHASTI,JHAJJAR,MAPS,RAPPD,TANAKPUR,ANTA_GF,ANTA_LF,DADRI_CRF,DHAULIGNGA,NAPP,NLCIIST1,RIHAND2,RIHAND3,SASAN,TEHRI,UNCHAHAR4,URI2,AURY_GF,DADRI_GF,CHAMERA1,KGSU3AND4,KHSTPP-II,RAPPB,AURY_RF,KKNP,KKNPPU2,KOLDAM,RAMPUR,SIMHST1,SINGRAULI_HYDRO,BRBCL,BSIUL,NLCEXP,NTPL,RAPPC,RIHAND1,RSTPSU7,SEWA2,UNCHAHAR2
1,00:00-00:15,48.81,20.8,0,36.83,0,150.34,0,0,482.83,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,98.41,45.83,0,0,30.06,0,0,5.7,0,51.17,0,0,0,35,59.5,312.44,0,22.02,6.27,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.66,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,19.56,0,0,68.56,97.23,0,18.9,44.5

2,00:15-00:30,48.81,20.8,0,36.83,0,150.34,0,0,548.92,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,98.41,45.83,0,0,30.06,0,0,5.7,0,51.17,0,0,0,35,59.5,312.44,0,22.02,6.27,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.66,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,19.56,0,0,68.56,97.23,0,18.9,44.5

3,00:30-00:45,48.81,20.8,0,36.83,0,150.34,0,0,548.92,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,99.78,45.83,0,0,30.06,0,0,5.7,0,51.17,0,0,0,35,59.5,312.44,0,22.02,6.27,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.15,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,13.04,0,0,68.56,97.23,0,18.9,44.5

4,00:45-01:00,48.81,20.8,0,36.83,0,150.34,0,0,548.92,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,99.78,45.83,0,0,30.06,0,0,5.7,0,51.17,0,0,0,35,59.5,312.44,0,22.02,6.27,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.15,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,13.04,0,0,68.56,97.23,0,18.9,44.5

5,01:00-01:15,48.81,20.8,0,36.83,0,150.34,0,0,548.92,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,99.78,45.83,0,0,30.06,0,0,5.7,0,51.17,0,0,0,35,59.5,312.44,0,22.02,6.27,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.15,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,13.04,0,0,68.56,97.23,0,18.9,44.5

6,01:15-01:30,48.81,20.8,0,36.83,0,150.34,0,0,548.92,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,99.78,45.83,0,0,30.06,0,0,5.7,0,51.17,0,0,0,35,59.5,312.44,0,22.02,6.27,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.15,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,13.04,0,0,68.56,97.23,0,18.9,44.5

7,01:30-01:45,48.81,20.8,0,36.83,0,150.34,0,0,548.92,0,8.63,10.43,138.33,0,0,21.64,27.68,49.68,0,99.78,45.83,0,0,30.06,0,0,5.7,0,51.83,0,0,0,35,59.5,312.44,0,22.02,0,0,0,0,10.95,28.94,0,124.58,130.79,343.12,34.18,2.3,38.1,0,0,42.15,0,148.3,0,80.77,0,0,9.59,5.42,0,1,15,13.04,0,0,68.56,97.23,0,18.9,44.5

