Block,Time,DADRT2,CHAMERA3,TANDA2,NAPP,RAPPC,AURY_CRF,TANAKPUR,UNCHAHAR1,ANTA_LF,DULHASTI,RIHAND3,CHAMERA1,ANTA_RF,UNCHAHAR2,BSIUL,DADRI_GF,AURY_RF,UNCHAHAR4,URI2,SALAL,JHAJJAR,UNCHAHAR3,NJPC,ANTA_GF,TEHRI,DADRI_RF,KOLDAM,ANTA_CRF,AURY_GF,DADRI_CRF,SINGRAULI_HYDRO,KOTESHWR,AURY_LF,CHAMERA2,DHAULIGNGA,SINGRAULI,RIHAND2,PARBATI3,DADRI_LF,KISHANGANGA,URI,SEWA2,RIHAND1,RAMPUR,RAPPB,TALA,KHSTPP-I,BRBCL,FSTPP I & II,SASAN,KUDGI,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,664.322252,28.112454,0.000000,36.984135,49.345649,29.938902,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,19.346000,0.000000,55.128362,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,15.287256,88.991600,0.000000,0.000000,27.016689,27.647905,14.509484,7.006434,329.728388,87.06,141.478169,0,0,0,0,0

2,00:15-00:30,664.322252,28.112454,0.000000,36.984135,49.345649,29.938902,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,33.516945,0.000000,55.128362,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,15.287256,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.465268,329.728388,87.06,141.478169,0,0,0,0,0

3,00:30-00:45,664.322252,28.112454,0.000000,36.984135,49.345649,29.938902,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,33.516945,0.000000,48.365000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,46.987565,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

4,00:45-01:00,664.322252,28.112454,0.000000,36.984135,49.345649,29.938902,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,33.516945,0.000000,48.365000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,46.987565,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

5,01:00-01:15,664.322252,28.112454,0.000000,36.984135,49.345649,29.938902,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,48.365000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

6,01:15-01:30,664.322252,28.112454,0.000000,36.984135,49.345649,29.938902,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,48.365000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

7,01:30-01:45,664.322252,28.112454,0.000000,36.984135,49.345649,27.223811,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,28.051700,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.496267,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

8,01:45-02:00,664.322252,28.112454,0.000000,36.984135,49.345649,11.557563,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

9,02:00-02:15,664.322252,28.112454,0.000000,36.984135,49.345649,9.184997,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

10,02:15-02:30,664.322252,28.112454,0.000000,36.984135,49.345649,9.184997,11.647646,9.112063,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,631.792092,25.527144,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

11,02:30-02:45,664.322252,28.112454,0.000000,36.984135,49.345649,9.184997,11.647646,8.011952,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,625.577189,18.184853,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,10.212134,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

12,02:45-03:00,664.322252,28.112454,0.000000,36.984135,49.345649,9.184997,11.647646,8.011952,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,83.176192,625.577189,18.184853,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,5.028703,88.991600,0.000000,0.000000,27.016689,31.119008,14.509484,8.874010,329.728388,87.06,141.478169,0,0,0,0,0

13,03:00-03:15,664.322252,28.112454,0.000000,36.984135,49.345649,9.184997,10.532446,6.077352,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,81.490188,625.577189,18.184853,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,5.028703,88.991600,0.000000,0.000000,27.016689,31.118138,14.509484,9.685450,329.728388,87.06,141.478169,0,0,0,0,0

14,03:15-03:30,664.322252,28.112454,0.000000,36.984135,49.345649,9.184997,10.532446,6.077352,0.000000,47.819981,119.621759,40.730101,0.000000,41.003944,6.307570,0.000000,0.000000,0.000000,29.927875,81.490188,625.577189,18.184853,147.939346,0.000000,43.876728,21.203216,0.000000,0.000000,0.000000,19.346000,0.000000,25.751461,0.000000,38.218139,35.395151,134.754563,114.262312,0.000000,0.000000,0.000000,40.580170,5.028703,88.991600,0.000000,0.000000,27.016689,31.118138,14.509484,10.084102,329.728388,87.06,141.478169,0,0,0,0,0

