Block,Time,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/30042040/GNA_LT_35,NR/01102023/19072037/LT-05,SR/01032024/15032024/SWAP ARRANGEMENT LOA.NO.365 DT.31-08-2023,NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/01102023/05012040/L_NR_2020_02,NR/01032024/31032024/NVVN/OA/16997,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/06022042/L_NR_2012_02,L_NR_2019_19,NR/01102023/15082037/GNA_NR_2012_01,NR/01032024/22032024/HP-59,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,NR/01102023/14082046/L_NR_2021_16,WR/11032024/12032024/L_NR_2019_19,NR/30092023/31122025/SH-07,NR/01012024/31032024/ ChanjuII,NR/30092023/26122029/SH-06,NR/01102023/31102037/L_NR_2019_11,NR/01032024/15032024/HP-62,WR/01032024/15032024/TPDDL/PMG/MSEDCL/Banking/12112023,WR/01102023/01102023/L_NR_2020_06,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01032024/22032024/HP-56,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31052040/LT-31,WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/RUMS(L_NR_2019_06),SR/01032024/31032024/SWAP ARRANGEMENT LOA D.NO.366 DT.31-08-2023,SR/01032024/15032024/BYPL-APPCPL-KSEB,NR/01102023/22052037/LT-59,WR/01102023/24112044/L_NR_2020_07,WR/01102023/16072048/L_NR_2022_08,WR/01102023/31032046/L_NR_2020_05,SR/01032024/31032024/SJVN010324NR1590,NR/01102023/30042040/GNA_LT_36,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/01102023/02012046/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,NR/01032024/31032024/SJVN010324NR1588,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,NR/01032024/31032024/SJVN010324NR1589,NR/01102023/13082046/L_NR_2021_12,NR/26072023/25122043/L_NR_2023_10
1,00:00-00:15,25.990000,0.000000,35.100000,96.26,231.020000,12.01,1.340000,48.130000,0.000000,203.760000,0,57.760000,32.760000,0,47.33,0,0.000000,24.900000,4.320000,24.900000,1.150000,98.190000,144.390000,14.16,0,76.520000,33.690000,0.000000,47.33,0,48.13,96.26,1.090000,14.17,12.66,42.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,25.990000,0.000000,35.100000,96.26,192.520000,11.61,1.340000,48.130000,0.000000,154.670000,0,57.760000,32.760000,0,47.67,0,0.000000,24.900000,4.320000,24.900000,1.150000,98.190000,144.390000,14,0,76.520000,33.690000,0.000000,47.67,0,48.13,96.26,1.090000,14,12.66,42,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,25.030000,0.000000,35.100000,96.26,192.520000,11.21,1.340000,48.130000,0.000000,145.040000,0,57.760000,32.760000,0,48,0,0.000000,24.900000,4.320000,24.900000,1.150000,98.190000,144.390000,13.84,0,76.520000,33.690000,0.000000,48,0,48.13,96.26,0.930000,13.83,13,41.5,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,25.030000,0.000000,35.100000,96.26,192.520000,10.61,1.340000,48.130000,0.000000,145.040000,0,57.760000,32.760000,0,48.33,0,0.000000,24.900000,4.320000,24.900000,1.150000,98.190000,144.390000,13.66,0,76.520000,33.690000,0.000000,48.33,0,48.13,96.26,0.930000,13.67,13,41,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,25.030000,0.000000,35.100000,96.26,148.890000,13,1.340000,48.130000,0.000000,111.660000,0,57.760000,32.760000,0,48.67,0,0.000000,24.900000,4.320000,24.900000,1.110000,98.190000,144.390000,13.66,0,76.520000,33.690000,0.000000,48.67,0,48.13,96.26,0.930000,13.67,13,41,0,0.000000,0,0,0,0,0,0,0,0,0,0,0

