Column1,Time,WR/01102023/30052048/L_NR_2022_10,WR/01102023/01102023/L_NR_2022_09,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,NR/22102023/11042047/L_NR_2021_17,NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,NR/26072023/25122043/L_NR_2023_10,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/02122045/L_NR_2021_13,WR/01102023/29112042/L_NR_2019_05,WR/01102023/24112044/L_NR_2020_07,GNA/NR/2025/02/01/2594,GNA/WR/2024/11/01/4200,GNA/SR/2025/02/01/6460,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/WR/2025/01/01/9606,GNA/NR/2025/02/16/1380,NR/01102023/19072037/LT-05,GNA/SR/2025/02/01/7432,GNA/NR/2025/02/01/4863,NR/01102023/30042040/GNA_LT_36,GNA/NR/2025/02/16/1676,NR/01102023/06022042/L_NR_2012_07,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/31102037/L_NR_2019_11,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/02/01/5886,GNA/WR/2025/01/01/8625,GNA/NR/2025/02/01/9969,GNARE/SR/2025/01/13/4532,L_NR_2019_19,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,GNARE/NR/2024/12/20/3668,NR/01102023/31052040/LT-31,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/02/01/2143,NR/01102023/30042040/GNA_LT_35,NR/30092023/26122029/SH-06
1,00:00-00:15,28.34,28.33,7.33,8.33,0,0,0,0,25.01,0,0,0,0,8.33,23.07,0,75,133.38,0,7.93,70.12,0,8.65,0,23.78,74.52,1.65,32,0,208.27,0.62,0.92,1.2,8.65,0,23.07,10,0,0,0,0,0,0,0,23.07,0,32

2,00:15-00:30,28.34,28.33,7.33,8.33,0,0,0,0,25.01,0,0,0,0,8.33,23.07,0,75,133.38,0,7.93,70.12,0,8.65,0,23.78,74.52,1.65,32,0,208.27,0.62,0.92,1.2,8.65,0,23.07,9.2,0,0,0,0,0,0,0,23.07,0,32

3,00:30-00:45,28.66,28.67,7.33,8.33,0,0,0,0,25.01,0,0,0,0,8.33,23.07,0,75,133.38,0,7.93,70.12,0,8.65,0,23.78,74.52,1.65,26.99,0,208.27,0.62,0,1.2,8.65,0,23.07,9,0,0,0,0,0,0,0,23.07,0,26.99

4,00:45-01:00,28.66,28.67,7.33,8.33,0,0,0,0,25.01,0,0,0,0,8.33,23.07,0,75,133.38,0,7.93,70.12,0,8.65,0,23.78,74.52,1.65,26.99,0,208.27,0.62,0,1.2,8.65,0,23.07,7.8,0,0,0,0,0,0,0,23.07,0,26.99

5,01:00-01:15,28.66,28.67,7.33,8.33,0,0,0,0,25.01,0,0,0,0,8.33,23.07,0,75,133.38,0,7.93,70.12,0,8.65,0,23.78,57.34,1.65,26.99,0,169.82,0.62,0.92,1.2,8.65,0,23.07,7.2,0,0,0,0,0,0,0,23.07,0,26.99

6,01:15-01:30,28.34,28.33,7.33,8.33,0,0,0,0,25.01,0,0,0,0,8.33,23.07,0,75,133.38,0,7.93,70.12,0,8.65,0,23.78,57.34,1.65,26.99,0,169.82,0.62,0.92,1.2,8.65,0,23.07,6.6,0,0,0,0,0,0,0,23.07,0,26.99

