Column1,Block,NR/2025/26199/A/68978,NR/2025/26433/C,NR/2025/26336/A/68661,NR/2025/26467/C,NR/2025/26265/A/68948,NR/2025/26289/A/68946,NR/2025/26435/C,NR/2025/26439/C,NR/2025/26431/C,NR/2025/26312/A/68486,NR/2025/26432/C,NR/2025/26202/A/69056,NR/2025/26191/A/68515,NR/2025/26201/A/68976,NR/2025/26232/A/68950,NR/2025/26233/A/68949,NR/2025/26153/A/68488,GNARE/NR/2024/12/20/3668,NR/2025/26236/A/68487,NR/2025/26335/A/68663,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/01/9320,GNA/NR/2025/05/01/9252,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/7902,GNA/NR/2025/05/01/9154,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/2474,NR/30092023/26122029/SH-06,NR/2025/26470/C,NR/2025/26291/A/68943,NR/2025/26002/A/68885,NR/2025/26434/C,GNA/NR/2025/05/01/9395,NR/2025/26197/A/68982,NR/30092023/31122025/SH-07,NR/2025/26471/C,NR/2025/26456/C,NR/2025/26200/A/68977,ER/2025/17329/C,NR/2025/26457/C,NR/2025/25858/A/68890,NR/2025/26198/A/68979,GNA/NR/2025/05/01/3877,NR/2025/25855/A/68891,NR/2025/26101/A/68578,NR/2025/26286/A/68596,NR/2025/26453/C,NR/2025/26085/A/68501,GNA/NR/2025/05/01/4138,GNA/NR/2025/05/01/6363,Total
,,APPCPL,HPXL,BRPL,APPCPL,HPXL,HPXL,HPXL,IEXL,HPXL,IEXL,HPXL,NVVNL,PXIL,APPCPL,HPXL,HPXL,IEXL,SECI_Trader,IEXL,BRPL,HPXL,PowerPulse,HPXL,DELHI,PXIL,PXIL,PXIL,PowerPulse,PXIL,HPXL,PowerPulse,IEXL,NDMC,PUNJAB,APPCPL,HPXL,PowerPulse,HPXL,IEXL,APPCPL,BAWANA_GAS,APPCPL,NVVNL,APPCPL,PXIL,NVVNL,PowerPulse,APPCPL,PXIL,PowerPulse,GMRETL,DIAPL,TPDDL,ITCLH,PowerPulse,PXIL,
,,NA,GEB_State,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,GEB_State,GEB_State,TAMILNADU_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,ODISHA_STATE,Meghalaya_State,NA,NA,CSEB_State,MSEB_State,NA,ODISHA_STATE,NA,DELHI_UT,NA,MP_State,NA,MP_State,JK_and_LADAKH_UT,NA,DELHI_UT,NA,NA,NA,DELHI_UT,NA,NA,NA,UTTARPRADESH_STATE,NA,HIMACHAL_STATE,HIMACHAL_STATE,NA,ANDHRA_PRADESH_STATE,NA,ODISHA_STATE,
,,JPL2,PCBL_PALEJ,DADRT2,JPL2,JPL,SIMHAPURI,JPL,MBMP,SIMHAPURI,MBMP,PCBL_MUNDRA,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,RKM_POWER,PCBL_PALEJ,PCBL_MUNDRA,SURYADEV_ALLOYSTN,APSEPL_FTG,TPSL_BKN2,TS1PL_BKN,JPL,COASTGEN,KGEPL_HP,CHANJUII,FACORPOWER,Meghalaya_Ben,SINGOLI,MAHAN_ENERGEN,SKSIPL,GRETAENERGY,APL_Raipur_TPP,VSL,JIPL,BAWANA_GAS,TRN_ENERGY,Ultratech_Sidhi_MP,COASTGEN,Ultratech_Sidhi_MP,O2ZTPL,SKS_Raigarh,BAWANA_GAS,RKM_POWER,Kameng,TRN_ENERGY,BRPL,SORANG_HEP,APL_Raipur_TPP,RKM_POWER,LAPL_UP,APL_Raipur_TPP,GBHHPL,GBHHPL,JHAJJAR,ITCWIND,COASTGEN,FACORPOWER,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,BIHAR_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,BRPL,BRPL,NDMC,BRPL,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,TPDDL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,PUNJAB,NDMC,BRPL,BRPL,BRPL,BRPL,NDMC,HARYANA,NDMC,TPDDL,NDMC,BSPHCL,TPDDL,TPDDL,NDMC,BRPL,TPDDL,TPDDL,DIAPL,TPDDL,ITCLH,BRPL,BRPL,
,,West-North,West-North,North-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,North-North,North-North,North-North,West-North,South-East-North,North-North,North-North,East-North,North East-East-North,North-North,West-North,West-North,West-North,West-North,East-North,East-North,North-North,West-North,West-North,South-West-North,West-North,North-North,West-North,North-North,West-North,North East-East-North,West-North,North-East,North-North,West-North,West-North,North-North,West-North,North-North,North-North,North-North,South-West-North,South-East-North,East-North,
1,00:00-00:15,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.58,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.77,0,14.45,1440.2500000000002

2,00:15-00:30,37.21,0,134.86,0,96.33,48.16,0,0,0,0,0,0,48.16,37.21,4.82,4.82,62.61,0,0,0,0,163.76,13.49,9.58,14.45,67.43,28.9,122.82,10.6,5.78,163.76,0,17.51,30,0,0,0,0,0,12.41,26.26,0,51.03,12.41,0,0,0,37.21,28.9,0,0,4.82,129.73,0.77,0,14.45,1440.2500000000002

