Block,Time,L_NR_2012_02,L_NR_2012_01,LT-35,L_NR_2023_04,LT_MEJA_Delhi,L_NR_2012_04,LT-05,L_NR_2019_11,L_NR_2020_02,SH-07,L_NR_2012_07,LT-31,SH-06,LT-36,LT-59,L_NR_2020_06,L_NR_2021_12,L_NR_2021_13,L_NR_2019_07,L_NR_2021_14,L_NR_2021_16,L_NR_2020_05,L_NR_2019_06,L_NR_2021_15,L_NR_2022_10,L_NR_2020_07,L_NR_2022_08,L_NR_2018_61,L_NR_2019_05,L_NR_2019_19,L_NR_2022_09,L_NR_2021_17
1,00:00-00:15,261.940000,101.400000,0.000000,0.000000,3.960000,272.250000,116.200000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,12.78,0,0,0,0,0,38.33,0,0,33.43,12.78,15.12,30.12,0,0,33.43,0

2,00:15-00:30,261.940000,101.400000,0.000000,0.000000,3.960000,272.250000,116.200000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,13,0,0,0,0,0,38.99,0,0,33.44,13,14.77,30.79,0,0,33.44,0

3,00:30-00:45,261.940000,101.400000,0.000000,0.000000,3.960000,272.250000,116.200000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,13.24,0,0,0,0,0,39.71,0,0,33.46,13.22,14.54,21.11,0,0,33.46,0

4,00:45-01:00,261.940000,101.400000,0.000000,0.000000,3.960000,272.250000,107.650000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,13.26,0,0,0,0,0,39.76,0,0,33.28,13.25,14.21,21.04,0,0,33.28,0

5,01:00-01:15,226.430000,72.360000,0.000000,0.000000,3.960000,272.250000,66.450000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,13.28,0,0,0,0,0,39.83,0,0,33.39,13.27,13.98,20.85,0,0,33.39,0

6,01:15-01:30,226.430000,48.400000,0.000000,0.000000,3.960000,272.250000,66.450000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,13.41,0,0,0,0,0,40.22,0,0,33.41,13.4,14.19,20.67,0,0,33.41,0

7,01:30-01:45,226.430000,48.400000,0.000000,0.000000,3.960000,272.250000,66.450000,10.780000,11.920000,0.000000,68.320000,0.000000,0.000000,0.000000,10.360000,13.62,0,0,0,0,0,40.86,0,0,33.39,13.62,14.37,20.29,0,0,33.39,0

8,01:45-02:00,226.430000,67.760000,0.000000,0.000000,3.960000,272.250000,66.450000,10.780000,11.920000,0.000000,51.940000,0.000000,0.000000,0.000000,10.360000,15.1,0,0,0,0,0,45.3,0,0,33.18,15.1,14.19,16.02,0,0,33.18,0

9,02:00-02:15,226.430000,77.440000,0.000000,0.000000,3.960000,272.250000,66.450000,10.780000,11.920000,0.000000,51.940000,0.000000,0.000000,0.000000,10.360000,15.16,0,0,0,0,0,45.49,0,0,33.17,15.17,14.25,15.75,0,0,33.17,0

10,02:15-02:30,226.430000,58.080000,0.000000,0.000000,3.960000,272.250000,66.450000,10.780000,11.920000,0.000000,51.940000,0.000000,0.000000,0.000000,10.360000,15.36,0,0,0,0,0,46.08,0,0,33.07,15.35,14.4,15.35,0,0,33.07,0

11,02:30-02:45,226.430000,48.400000,0.000000,0.000000,3.960000,272.250000,70.630000,10.780000,11.920000,0.000000,51.940000,0.000000,0.000000,0.000000,10.360000,15.45,0,0,0,0,0,46.35,0,0,32.73,15.46,14.39,15.25,0,0,32.73,0

12,02:45-03:00,175.430000,48.400000,0.000000,0.000000,3.960000,232.320000,70.630000,10.780000,11.920000,0.000000,51.940000,0.000000,0.000000,0.000000,10.360000,15.36,0,0,0,0,0,46.08,0,0,32.39,15.35,14.14,15.05,0,0,32.39,0

13,03:00-03:15,175.430000,48.400000,0.000000,0.000000,2.040000,232.320000,70.630000,10.780000,11.920000,0.000000,31.940000,0.000000,0.000000,0.000000,10.360000,15.2,0,0,0,0,0,45.6,0,0,32.01,15.19,13.91,14.73,0,0,32.01,0

14,03:15-03:30,175.430000,48.400000,0.000000,0.000000,2.020000,193.600000,70.630000,10.780000,11.920000,0.000000,31.940000,0.000000,0.000000,0.000000,10.360000,15.12,0,0,0,0,0,45.36,0,0,31.67,15.12,13.69,30.1,0,0,31.67,0

15,03:30-03:45,175.430000,48.400000,0.000000,0.000000,2.020000,193.600000,70.630000,10.780000,11.920000,0.000000,31.940000,0.000000,0.000000,0.000000,10.360000,13.19,0,0,0,0,0,39.57,0,0,31.27,13.19,13.62,29.86,0,0,31.27,0

