Column1,Block,GNA/NR/2025/05/16/9317,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/05/01/9252,NR/30092023/31122025/SH-07,GNA/NR/2025/05/01/2474,NR/2025/27681/C,NR/2025/27684/C,NR/2025/27670/C,GNARE/NR/2024/12/20/3668,NR/2025/26335/A/76248,NR/2025/27699/C,NR/2025/27644/C,NR/2025/27680/C,NR/2025/27577/C,NR/2025/26005/A/76118,NR/2025/26828/A/76633,NR/2025/27721/C,NR/2025/26202/A/76599,NR/2025/27723/C,NR/2025/26153/A/76061,NR/2025/26191/A/76115,NR/2025/26879/A/76246,NR/2025/27580/C,NR/2025/26291/A/76569,NR/2025/27704/C,NR/2025/26233/A/76570,NR/2025/25967/A/76528,NR/2025/27579/C,NR/2025/26825/A/76635,NR/2025/27575/C,NR/2025/26004/A/76117,NR/2025/25861/A/76533,NR/2025/26082/A/76600,NR/2025/25860/A/76534,NR/2025/27722/C,NR/2025/27706/C,NR/2025/27703/C,NR/2025/26232/A/76571,NR/2025/26336/A/76247,NR/2025/26827/A/76634,NR/2025/27573/C,NR/2025/26829/A/76632,NR/2025/27574/C,NR/2025/27149/A/76191,NR/2025/26265/A/76567,NR/2025/26289/A/76568,NR/2025/26085/A/76040,GNA/NR/2025/05/01/4138,NR/2025/26959/A/76190,NR/2025/25859/A/76535,NR/2025/27702/C,NR/2025/26785/A/76057,NR/2025/26101/A/76169,NR/2025/26379/A/76527,NR/2025/26822/A/76636,NR/2025/27576/C,NR/2025/27626/C,NR/2025/26755/A/76054,GNA/NR/2025/05/01/8068,GNA/NR/2025/05/01/7791,GNA/NR/2025/05/01/3877,GNA/NR/2025/05/01/6363,GNA/NR/2025/05/01/6957,GNA/NR/2025/05/01/5800,GNA/NR/2025/05/01/2069,GNA/NR/2025/05/16/1698,GNA/NR/2025/05/01/9395,GNA/NR/2025/05/01/6160,GNA/NR/2025/05/01/8954,GNA/NR/2025/05/01/7902,Total
,,JPL,PUNJAB,DELHI,HPXL,BAWANA_GAS,NDMC,NVVNL,NVVNL,TPDDL,SECI_Trader,BRPL,APPCPL,PowerPulse,NVVNL,HPXL,PXIL,APPCPL,GEPL_Trader,NVVNL,GEPL_Trader,IEXL,PXIL,BRPL,IEXL,HPXL,APPCPL,HPXL,PowerPulse,IEXL,APPCPL,HPXL,PXIL,PowerPulse,NVVNL,PowerPulse,GEPL_Trader,APPCPL,APPCPL,HPXL,BRPL,APPCPL,HPXL,APPCPL,HPXL,DIAPL,HPXL,HPXL,ITCLH,PowerPulse,DIAPL,PowerPulse,APPCPL,IEXL,GMRETL,PowerPulse,APPCPL,HPXL,PXIL,IEXL,PXIL,IEXL,PXIL,PXIL,PowerPulse,PXIL,HPXL,SIMHAPURI,IEXL,PXIL,HPXL,PXIL,
,,NA,DELHI_UT,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,NA,NA,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,KARNATAKA_STATE,NA,NA,TAMILNADU_State,NA,NA,TAMILNADU_State,MP_State,NA,GEB_State,NA,NA,NA,MP_State,NA,NA,NA,NA,NA,NA,NA,GEB_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,HIMACHAL_STATE,NA,NA,NA,HIMACHAL_STATE,NA,NA,GEB_State,NA,NA,CSEB_State,ODISHA_STATE,UTTARPRADESH_STATE,ODISHA_STATE,NA,Meghalaya_State,NA,NA,JK_and_LADAKH_UT,ODISHA_STATE,MSEB_State,NA,
,,JPL2,BAWANA_GAS,CHANJUII,KGEPL_HP,BAWANA_GAS,JIPL,SORANG_HEP,JPNIGRIE_JNSTPP,JHAJJAR,APSEPL_FTG,TS1PL_BKN,SKS_Raigarh,COASTGEN,Kameng,PCBL_MUNDRA,SKS_Raigarh,TRN_ENERGY,TADASWIND_KAR,JPNIGRIE_JNSTPP,DIKCHU,SURYADEV_ALLOYSTN,JPNIGRIE_JNSTPP,RIHAND3,SURYADEV_ALLOYSTN,Ultratech_Sidhi_MP,TRN_ENERGY,PCBL_MUNDRA,MAHAN_ENERGEN,MBMP,RKM_POWER,Ultratech_Sidhi_MP,ILFS,APL_Raipur_TPP,SKS_Raigarh,APL_Raipur_TPP,SORANG_HEP,RKM_POWER,JPL2,PCBL_PALEJ,DADRT2,JPL2,JPL,RKM_POWER,SIMHAPURI,GBHHPL,JPL,SIMHAPURI,ITCWIND,COASTGEN,GBHHPL,APL_Raipur_TPP,RKM_POWER,MBMP,GBHHPL,COASTGEN,SKS_Raigarh,PCBL_PALEJ,JPNIGRIE_JNSTPP,TPSL_BKN2,SKSIPL,VSL,LAPL_UP,FACORPOWER,APL_Raipur_TPP,Meghalaya_Ben,JPL,SIMHAPURI,O2ZTPL,FACORPOWER,GRETAENERGY,SINGOLI,
,,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,BRPL,PUNJAB,TPDDL,BRPL,HARYANA,NDMC,TPDDL,TPDDL,TPDDL,TPDDL,BRPL,NDMC,BRPL,TPDDL,BRPL,BYPL,NDMC,BYPL,TPDDL,BYPL,BRPL,BRPL,BRPL,BRPL,BRPL,NDMC,BRPL,BRPL,NDMC,NDMC,BRPL,BYPL,TPDDL,BYPL,TPDDL,BYPL,NDMC,NDMC,BRPL,BRPL,NDMC,BRPL,NDMC,BRPL,DIAPL,BRPL,BRPL,ITCLH,BRPL,DIAPL,TPDDL,NDMC,NDMC,TPDDL,BRPL,NDMC,BRPL,BRPL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,West-North,North-North,North-North,North-North,North-North,East-North,North-North,West-North,North-North,North-North,North-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,South-West-North,West-North,East-North,South-West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,South-West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,North-North,West-North,South-West-North,South-West-North,South-East-North,North-North,West-North,West-North,West-North,North-North,South-West-North,West-North,West-North,West-North,North-North,West-North,East-North,North-North,East-North,West-North,North East-East-North,West-North,South-West-North,North-North,East-North,West-North,North-North,
1,00:00-00:15,82.12,32,13.23,13.53,32,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.77,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2293.88

2,00:15-00:30,82.12,32,13.23,13.53,32,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.77,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2293.88

3,00:30-00:45,82.12,32,13.23,13.53,32,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.77,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2293.88

4,00:45-01:00,82.12,32,13.23,13.53,32,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.77,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2293.88

5,01:00-01:15,82.12,26.93,13.23,13.53,26.93,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.68,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2283.6500000000005

6,01:15-01:30,82.12,26.93,13.23,13.53,26.93,17.56,0,0,62.8,0,0,0,0,108.55,0,48.3,14.64,18.14,96.61,88.61,62.8,48.3,33.81,0,24.15,0,4.83,164.24,0,29.55,0,48.3,0,47.34,144.92,86.95,0,0,4.83,111.1,43.91,0,25.13,0,1.93,96.61,48.3,0.68,0,6.76,96.61,0,0,0,164.24,14.64,0,0,0,10.63,0,28.98,14.49,164.24,67.63,0,20.53,0,14.49,5.8,28.98,2283.6500000000005

