Block,Time,CHAMERA1,CHAMERA2,FSTPP I & II,KGSU1AND2,KGSU3AND4,KHSTPP-I,KKNP,NLCIIST2,NLCTS2EXP,RAMPUR,RAPPD,RIHAND1,TALST2,UNCHAHAR1,ANTA_LF,DADRI_GF,BRBCL,DADRT2,DULHASTI,RAPPB,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR2,NAPP,NNTPP,RAPPC,RIHAND3,SIMHST1,CHAMERA3,KHSTPP-II,NLCEXP,NLCIIST1,RIHAND2,TALA,AURY_GF,AURY_LF,DADRI_CRF,DADRI_LF,DHAULIGNGA,JHAJJAR,KKNPPU2,PARBATI3,SALAL,SASAN,BSIUL,KOTESHWR,PARBATI2,UNCHAHAR3,UNCHAHAR4,ANTA_CRF,ANTA_GF,DADRI_RF,KOLDAM,MAPS,NTPL,TANDA2,TelanganaSTPP,KISHANGANGA,KUDGI,NJPC,RSTPSU1TO6,RSTPSU7,SEWA2,SINGRAULI,TANAKPUR,TEHRI,URI,URI2,VALLURNTECL,ANTA_RF,AURY_CRF,AURY_RF
1,00:00-00:15,42.15,48.9,20.8,0,0,45.83,0,0,0,5.8,27.91,64.81,0,21.83,0,0,20,531.46,58.79,0,0,1.16,45.12,24.89,0,68.9,92.37,0,23.37,148.3,0,0,96.8,6.17,0,0,0,0,21.95,670.85,0,38.42,84.83,416.25,6.52,10.44,22.62,27.99,2.48,0,0,76.68,9.69,0,0,6.87,0,8.76,0,144.71,0,0,12.62,155.58,2.44,28.23,51.34,38.16,0,49.95,0,80.92

2,00:15-00:30,42.15,48.9,20.8,0,0,45.83,0,0,0,5.8,27.91,64.81,0,21.83,0,0,20,575.85,58.79,0,0,1.16,45.12,24.89,0,68.9,92.37,0,23.37,148.3,0,0,96.8,6.17,0,0,0,0,21.95,670.85,0,38.42,84.83,416.25,6.52,10.44,22.62,27.99,2.48,0,0,76.68,9.69,0,0,6.87,0,8.76,0,144.71,0,0,6.31,155.58,2.44,28.23,51.34,38.16,0,49.95,0,80.92

3,00:30-00:45,28.1,48.9,20.8,0,0,45.83,0,0,0,5.8,27.91,64.81,0,21.83,0,0,20,575.85,58.79,0,0,1.16,45.12,24.89,0,68.9,92.37,0,23.37,148.3,0,0,96.8,6.76,0,0,0,0,10.97,670.85,0,38.42,84.83,416.25,6.52,10.44,22.62,27.99,2.48,0,0,76.68,7.26,0,0,6.87,0,8.76,0,144.71,0,0,6.31,155.58,2.44,28.23,51.34,38.16,0,49.95,0,80.92

4,00:45-01:00,28.1,48.9,20.8,0,0,45.83,0,0,0,4.44,27.91,64.81,0,21.83,0,0,20,575.85,58.79,0,0,1.16,45.12,24.89,0,68.9,92.37,0,23.37,148.3,0,0,96.8,6.76,0,0,0,0,10.97,670.85,0,38.42,84.83,416.25,6.52,10.44,22.62,27.99,2.48,0,0,76.68,7.26,0,0,6.87,0,8.76,0,110.82,0,0,6.31,155.58,2.44,28.23,51.34,38.16,0,49.95,0,80.92

5,01:00-01:15,28.1,48.9,20.8,0,0,45.83,0,0,0,4.44,27.91,64.81,0,21.83,0,0,20,575.85,58.79,0,0,1.16,45.12,24.89,0,68.9,92.37,0,23.37,148.3,0,0,96.8,7.64,0,0,0,0,10.97,670.85,0,38.42,84.83,416.25,6.52,10.44,22.62,27.99,2.48,0,0,76.68,7.26,0,0,6.87,0,8.76,0,110.82,0,0,6.31,155.58,2.44,28.23,51.34,38.16,0,51.27,0,80.92

