Block,Time Block,KOTESHWR,CHAMERA3,CHAMERA2,KHSTPP-I,KHSTPP-II,KKNP,KISHANGANGA,MAPS,BSIUL,CHAMERA1,BRBCL,KGSU1AND2,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU3AND4,DADRT2,JHAJJAR,KUDGI,RSTPSU1TO6,TALST2,TANAKPUR,RSTPSU7,SINGRAULI_HYDRO,SALAL,SEWA2,TALA,SIMHST2,SINGRAULI,TEHRI,SIMHST1,TANDA2,SASAN,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RIHAND2,PARBATI3,RIHAND1,RAPPB,PARBATI2,RIHAND3,RAPPD,RAMPUR,RAPPC,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,NAPP,NJPC,NLCEXP,NLCIIST1,KOLDAM,KKNPPU2,VALLURNTECL,TelanganaSTPP,UNCHAHAR3,URI2,UNCHAHAR2,URI,TEHRIPSP,UNCHAHAR1,UNCHAHAR4,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,20.18,33.91,47.25,32.84,142.82,0,8.42,0,12.6,40.73,17.64,0,42.37,19.77,38.4,0,532.29,501.36,0,0,0,11.63,0,1.18,82.53,0,1.42,0,147.46,28.22,0,5.96,404.66,0,0,0,0,69.9,65.35,62.02,0,43.72,89.26,24.78,6.8,65.92,0,0,0,0,0,0,0,0,0,0,0,0,23.16,175.05,0,0,10.29,0,0,0,27.05,36.87,43.09,49.08,50.24,19.64,2.31,0,0,0,0,0

2,00:15-00:30,20.18,33.91,47.25,32.84,142.82,0,8.42,0,12.6,40.73,13.11,0,42.37,20.1,38.4,0,532.29,501.36,0,0,0,11.63,0,1.18,82.53,0,1.42,0,147.46,28.22,0,5.96,404.66,0,0,0,0,68.51,65.35,62.02,0,43.72,89.26,24.78,6.8,65.92,0,0,0,0,0,0,0,0,0,0,0,0,23.16,175.05,0,0,10.29,0,0,0,27.05,36.87,43.09,49.08,50.24,19.64,2.31,0,0,0,0,0

3,00:30-00:45,20.18,33.91,47.25,32.84,142.82,0,8.42,0,12.6,40.73,13.21,0,42.37,20.1,38.4,0,532.29,501.36,0,0,0,11.63,0,1.18,82.53,0,0.85,0,147.46,28.22,0,5.96,404.66,0,0,0,0,68.51,53.48,62.02,0,43.72,89.26,24.78,6.8,65.92,0,0,0,0,0,0,0,0,0,0,0,0,23.16,175.05,0,0,10.29,0,0,0,27.05,36.87,43.09,49.08,50.24,19.64,2.31,0,0,0,0,0

4,00:45-01:00,20.18,33.91,47.25,32.84,142.82,0,8.42,0,12.6,40.73,12.08,0,42.37,20.1,38.4,0,532.29,501.36,0,0,0,11.63,0,1.18,82.53,0,0.85,0,147.46,28.22,0,5.96,404.66,0,0,0,0,68.51,53.48,62.02,0,43.72,89.26,24.78,6.8,65.92,0,0,0,0,0,0,0,0,0,0,0,0,23.16,175.05,0,0,10.29,0,0,0,27.05,36.87,43.09,49.08,50.24,19.64,2.31,0,0,0,0,0

5,01:00-01:15,10.09,33.91,47.25,32.84,142.82,0,8.42,0,12.6,40.73,11.83,0,42.37,20.1,38.4,0,527.14,480.71,0,0,0,11.63,0,1.18,82.53,0,0.85,0,147.46,28.22,0,5.96,404.66,0,0,0,0,81.62,53.48,62.02,0,43.72,89.26,24.78,6.8,65.92,0,0,0,0,0,0,0,0,0,0,0,0,23.16,175.05,0,0,10.29,0,0,0,27.05,36.87,43.09,49.08,50.24,19.64,2.31,0,0,0,0,0

6,01:15-01:30,10.09,33.91,47.25,32.84,142.82,0,8.42,0,12.6,40.73,11.33,0,42.37,20.1,38.4,0,527.14,452.68,0,0,0,11.63,0,1.18,82.53,0,0.85,0,147.46,28.22,0,5.96,404.66,0,0,0,0,99.46,53.48,62.02,0,43.72,89.26,24.78,6.8,65.92,0,0,0,0,0,0,0,0,0,0,0,0,23.16,175.05,0,0,10.29,0,0,0,27.05,36.87,43.09,49.08,50.24,19.64,2.31,0,0,0,0,0

