Block,Time,DADRT2,FSTPP I & II,KGSU1AND2,NAPP,RAPPC,TelanganaSTPP,URI2,DADRI_GF,CHAMERA3,DHAULIGNGA,PARBATI2,RAPPB,RIHAND2,RSTPSU7,URI,ANTA_RF,AURY_LF,KGSU3AND4,SEWA2,AURY_GF,CHAMERA1,KHSTPP-II,KOLDAM,KUDGI,MAPS,RIHAND3,RSTPSU1TO6,SIMHST1,SINGRAULI_HYDRO,UNCHAHAR3,DADRI_LF,BRBCL,KKNPPU2,NNTPP,NTPL,PARBATI3,RAPPD,RIHAND1,SASAN,UNCHAHAR1,UNCHAHAR4,VALLURNTECL,AURY_RF,DADRI_CRF,BSIUL,JHAJJAR,NLCIIST2,NLCTS2EXP,TEHRIPSP,UNCHAHAR2,ANTA_GF,DULHASTI,KISHANGANGA,KKNP,KOTESHWR,NLCEXP,RAMPUR,SINGRAULI,TALA,TALST2,ANTA_CRF,AURY_CRF,DADRI_RF,CHAMERA2,KHSTPP-I,NJPC,NLCIIST1,SALAL,SIMHST2,TANAKPUR,TANDA2,TEHRI,ANTA_LF
1,00:00-00:15,685.7,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,52.36,52.09,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.09,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.25,1.62,0,80.91,0,0,667.25,0,0,177.18,43.7,0,53.88,4.64,0,43.96,0,0,113.75,20.4,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

2,00:15-00:30,685.7,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,52.36,52.09,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.09,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.25,1.62,0,80.91,0,0,667.25,0,0,177.18,43.7,0,53.88,4.64,0,43.96,0,0,113.75,20.4,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

3,00:30-00:45,685.7,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,44.16,52.09,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.09,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.25,1.62,0,80.91,0,0,667.25,0,0,177.18,43.7,0,53.88,4.64,0,43.96,0,0,113.75,20.4,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

4,00:45-01:00,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,44.16,52.09,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.09,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.25,1.62,0,80.91,0,0,667.25,0,0,177.18,43.7,0,53.88,4.64,0,43.96,0,0,113.75,20.4,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

5,01:00-01:15,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.34,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.09,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.23,1.62,0,80.91,0,0,667.25,0,0,177.18,44.39,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

6,01:15-01:30,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.34,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.09,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.23,1.62,0,80.91,0,0,667.25,0,0,177.18,43.61,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

7,01:30-01:45,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,47.47,52.34,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.41,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.23,2.66,0,80.91,0,0,667.25,0,0,177.18,43.61,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,83.67,0,3.85,3.13,74.64,0

8,01:45-02:00,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,47.47,52.34,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.65,1.58,0,80.91,0,0,667.25,0,0,177.18,43.61,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,83.67,0,3.85,3.13,74.64,0

9,02:00-02:15,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,39.6,0,53.88,4.64,0,43.96,0,0,113.75,20.75,0,0,0,105.39,47.12,45.53,0,0,83.67,0,3.85,3.13,74.64,0

10,02:15-02:30,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,40.86,0,53.88,4.64,0,43.96,0,0,113.75,20.75,0,0,0,105.39,47.12,45.53,0,0,83.67,0,11.91,3.13,74.64,0

11,02:30-02:45,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.69,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,40.99,0,53.88,4.64,0,43.96,0,0,113.75,20.75,0,0,0,105.39,47.12,45.53,0,0,83.67,0,11.91,3.13,74.64,0

12,02:45-03:00,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27,0,24.99,0,0,0,56.49,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,39.6,0,53.88,4.64,0,43.96,0,0,113.75,20.75,0,0,0,105.39,47.12,45.53,0,0,83.67,0,13.06,3.13,74.64,0

13,03:00-03:15,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,39.6,0,53.88,4.64,0,43.96,0,0,113.75,20.75,0,0,0,105.39,47.12,45.53,0,0,80.18,0,13.06,3.13,74.64,0

14,03:15-03:30,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,40.09,0,53.88,4.64,0,43.96,0,0,113.75,20.75,0,0,0,105.39,47.12,45.53,0,0,80.18,0,13.06,3.13,74.64,0

15,03:30-03:45,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.69,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,40.99,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,80.18,0,13.06,3.13,74.64,0

16,03:45-04:00,689.38,19.46,0,25,65.42,0,32.74,0,33.94,0,15.48,0,125.27,0,44.16,52.59,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.69,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,40.99,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,80.18,0,13.06,3.13,74.64,0

17,04:00-04:15,689.38,19.46,0,25,65.42,0,37.42,0,33.94,0,15.48,0,125.27,0,44.16,52.85,0,0,18.34,0,42.15,98.87,8.62,0,0,130.84,0,0,0,27.69,0,24.99,0,0,0,52.03,24.14,98.32,418.77,21.65,1.52,0,80.91,0,0,667.25,0,0,177.18,40.99,0,53.88,4.64,0,43.96,0,0,113.75,20.61,0,0,0,105.39,47.12,45.53,0,0,80.18,0,13.06,3.13,74.64,0

