Time,Block,NR/2024/19354/C,NR/2024/19115/A/14031,NR/2024/19245/A/14155,NR/2024/19024/A/14156,NR/2024/18996/A/14627,NR/2024/19121/A/14339,NR/2024/19043/A/14017,NR/2024/19030/A/14040,NR/2024/18976/A/14096,NR/2024/18919/A/14569,NR/2024/19143/A/14029,NR/2024/18934/A/14086,NR/2024/19172/A/14693,NR/2024/18986/A/14099,NR/2024/18977/A/14097,NR/2024/18935/A/14087,NR/2024/18855/A/14341,NR/2024/19290/A/14692,NR/2024/18978/A/14098,NR/2024/19075/A/14037,NR/2024/19353/C,NR/2024/18936/A/14088,Total
,,NVVNL,IEXL,DIAPL,DIAPL,PTC,GMRETL,IEXL,IEXL,PXIL,APPCPL,IEXL,PXIL,TPDDL,ITCLH,PXIL,PXIL,GMRETL,TPDDL,PXIL,IEXL,NVVNL,PXIL,Total

,,NA,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,MAHARASHTRA,RAJASTHAN,NA,NA,ODISHA,NAGALAND,DELHI,TAMIL NADU,NA,ANDHRA PRADESH,NA,TAMIL NADU,RAJASTHAN,NA,TAMIL NADU,ODISHA,NA,TAMIL NADU,
,,KAMENG,SWPL,GBHHPL,GBHHPL,JPL_DHULE,RUVNL,MBMP,JHABUA_IPP,FACORPOWER,Nagaland_Ben,EDWPCL12,SAKTHISUGRAR_TN,JHAJJAR,ITCWIND,MEENAKSHI,SAKTHISUGARS_ELMTN,RUVNL,JHAJJAR,BIRLACARBONTN,VSL,SOLAPUR_SOLAR,SAKTHISUGARSLTD,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,UTTAR PRADESH,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,DIAPL,DIAPL,BRPL,BYPL,BRPL,BRPL,BRPL,BYPL,UPPCL,BRPL,TPDDL,ITCLH,BRPL,BRPL,BYPL,TPDDL,BRPL,BRPL,MES (Delhi),BRPL,
,,North East-East-North,West-East-North,North-North,North-North,West-North,North-North,West-East-North,West-East-North,East-West-North,North East-East-North,North-North,South-West-North,North-North,South-West-North,South-West-North,South-West-North,North-North,North-North,South-West-North,East-North,West-North,South-West-North,
1,00:00-00:15,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.530000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.41

2,00:15-00:30,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.530000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.41

3,00:30-00:45,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.530000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.41

4,00:45-01:00,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.530000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.41

5,01:00-01:15,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

6,01:15-01:30,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

7,01:30-01:45,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

8,01:45-02:00,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

9,02:00-02:15,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

10,02:15-02:30,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

11,02:30-02:45,52.630000,0.000000,0.000000,4.840000,0.000000,0.000000,0.000000,0.000000,0.000000,9.670000,2.000000,0.000000,116.090000,0.480000,0.000000,0.000000,66.930000,67.720000,0.000000,0.000000,0,0.000000,320.36

