Block,Time,NR/01102023/23072042/L_NR_2012_04,NR/16042024/30042024/IEX_240323_06617,NR/01102023/25122043/GNA_MEJA_DELHI,NR/30092023/31122025/SH-07,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/22102023/11042047/L_NR_2021_16,NR/30092023/26122029/SH-06,WR/01102023/24112044/L_NR_2020_07,NR/01102023/30042040/GNA_LT_36,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/04042024/30042024/SJVN040424NR1694,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/01102023/02012046/L_NR_2021_17,NR/01102023/05012040/L_NR_2020_02,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/30052048/L_NR_2022_10,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/13082046/L_NR_2021_12,NR/22102023/11042047/L_NR_2021_17,WR/01102023/16072048/L_NR_2022_08,NR/01102023/14082046/L_NR_2021_16,NR/01042024/31072024/LT_MEJA_DELHI,L_NR_2019_19,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,SR/01102023/07102043/L_NR_2018_61,NR/01102023/08032047/L_NR_2021_14,NR/01102023/15082037/GNA_NR_2012_01,WR/01102023/31032046/L_NR_2020_05,NR/01042024/30042024/PTC/OA/32001,NR/16042024/31052024/IEX_240323_06618,NR/01102023/19072037/LT-05,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/02122045/L_NR_2021_13,NR/26072023/25122043/L_NR_2023_10,NR/01102023/30042040/GNA_LT_35
1,00:00-00:15,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,14.17,0.000000,0,0,14.16,35.67,0,3.440000,30.270000,35.67,3.730000,84.980000,0,0,11.6,0,16.110000,0,12.450000,0,0,0,273.050000,9.01,0,100.610000,42.5,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

2,00:15-00:30,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,14.67,0.000000,0,0,14.66,36,0,3.440000,30.270000,36,3.730000,84.980000,0,0,11.64,0,16.110000,0,12.450000,0,0,0,273.050000,8.81,0,100.610000,44,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

3,00:30-00:45,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,15.33,0.000000,0,0,15.34,36.33,0,3.440000,30.270000,36.33,3.730000,84.980000,0,0,11.94,0,16.110000,0,12.450000,0,0,0,273.050000,8.21,0,100.610000,46,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

4,00:45-01:00,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,16.5,0.000000,0,0,16.5,37,0,3.440000,30.270000,37,3.730000,84.980000,0,0,12.34,0,16.110000,0,12.450000,0,0,0,273.050000,7.21,0,100.610000,49.5,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

5,01:00-01:15,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,16.33,0.000000,0,0,16.34,37.67,0,3.440000,30.270000,37.67,3.730000,84.980000,0,0,12.53,0,16.110000,0,12.350000,0,0,0,273.050000,7.21,0,100.610000,49,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

6,01:15-01:30,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,16.83,0.000000,0,0,16.84,38,0,3.440000,29.770000,38,3.730000,84.980000,0,0,12.84,0,16.110000,0,12.350000,0,0,0,273.050000,7.21,0,100.610000,50.5,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

7,01:30-01:45,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,17.17,0.000000,0,0,17.16,38.33,0,3.440000,29.770000,38.33,3.570000,84.980000,0,0,12.73,0,16.110000,0,12.350000,0,0,0,273.050000,7.21,0,100.610000,51.5,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

8,01:45-02:00,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,17.17,0.000000,0,0,17.16,39,0,3.440000,29.770000,39,3.570000,84.980000,0,0,12.64,0,16.110000,0,12.350000,0,0,0,273.050000,6.61,0,100.610000,51.5,41.040000,48.280000,115.830000,0.000000,3.610000,262.190000,0,0,0.000000

9,02:00-02:15,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,17.17,0.000000,0,0,17.16,38.67,0,3.440000,29.770000,38.67,3.570000,84.980000,0,0,14.94,0,16.110000,0,12.170000,0,0,0,273.050000,6.61,0,100.610000,51.5,41.040000,48.280000,115.830000,0.000000,3.530000,262.190000,0,0,0.000000

10,02:15-02:30,0.000000,9.660000,0.000000,30.900000,0,0,30.900000,17.17,0.000000,0,0,17.16,39,0,3.440000,29.770000,39,3.570000,84.980000,0,0,14.8,0,16.110000,0,12.170000,0,0,0,273.050000,6.61,0,100.610000,51.5,41.040000,48.280000,115.830000,0.000000,3.530000,262.190000,0,0,0.000000

