Block,Time,SASAN,KHSTPP-II,TALA,FSTPP I & II,BRBCL,KHSTPP-I,RIHAND3,DADRI_LF,SEWA2,AURY_RF,UNCHAHAR4,DULHASTI,RAMPUR,TEHRI,SINGRAULI_HYDRO,UNCHAHAR2,AURY_LF,SINGRAULI,DADRT2,JHAJJAR,RIHAND2,BSIUL,AURY_CRF,DADRI_RF,ANTA_GF,DADRI_GF,ANTA_CRF,TANDA2,DHAULIGNGA,UNCHAHAR1,TANAKPUR,URI,CHAMERA1,DADRI_CRF,RAPPC,ANTA_RF,SALAL,NAPP,RIHAND1,KOTESHWR,KISHANGANGA,AURY_GF,CHAMERA3,KOLDAM,ANTA_LF,URI2,RAPPB,UNCHAHAR3,PARBATI3,NJPC,CHAMERA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,402.248247,40.374600,0.000000,4.806500,14.419524,14.754997,118.879765,0.000000,0.000000,0.000000,0.000000,15.841120,0.000000,29.917579,0.570080,12.496900,0.000000,118.600388,340.300200,113.433400,113.553562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.806500,2.462851,38.205907,0.000000,0.000000,52.333268,0.000000,2.234061,0.000000,88.439600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,5.767800,0.000000,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,402.563601,40.374600,0.000000,4.806500,14.419524,10.574300,118.879765,0.000000,0.000000,0.000000,0.000000,15.841120,0.000000,14.958789,0.570080,12.496900,0.000000,118.600388,340.300200,113.433400,113.553562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.806500,2.462851,38.205907,0.000000,0.000000,52.333268,0.000000,2.234061,0.000000,88.439600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,5.767800,0.000000,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,402.563601,40.374600,0.000000,4.806500,14.419524,10.574300,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.570080,12.496900,0.000000,118.600388,340.300200,113.433400,113.553562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.806500,2.462851,5.306376,0.000000,0.000000,52.333268,0.000000,12.287337,0.000000,88.439600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,5.767800,0.000000,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,402.563601,40.374600,0.000000,4.806500,14.419524,10.574300,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.570080,12.496900,0.000000,118.600388,340.300200,113.433400,113.553562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.806500,2.462851,5.306376,0.000000,0.000000,52.333268,0.000000,68.138867,0.000000,88.439600,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,5.767800,0.000000,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,402.563601,40.374600,0.000000,4.806500,14.419524,10.574300,118.879765,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.570080,12.496900,0.000000,118.600388,340.300200,113.433400,113.553562,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,4.806500,2.462851,5.306376,0.000000,0.000000,52.333268,0.000000,68.138867,0.000000,63.696670,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,23.793790,0.000000,5.767800,0.000000,0.000000,0.000000,0,0,0,0,0

