Block,Time,BSIUL,KHSTPP-I,KHSTPP-II,NLCEXP,RAPPC,SINGRAULI,TALST2,TANDA2,TEHRI,TelanganaSTPP,UNCHAHAR1,ANTA_LF,DULHASTI,JHAJJAR,RSTPSU7,UNCHAHAR4,URI2,ANTA_CRF,DADRI_CRF,DHAULIGNGA,FSTPP I & II,KGSU1AND2,RSTPSU1TO6,DADRI_LF,CHAMERA2,CHAMERA3,KISHANGANGA,KKNPPU2,KOLDAM,NLCIIST2,RIHAND1,SINGRAULI_HYDRO,UNCHAHAR2,URI,ANTA_RF,AURY_CRF,AURY_LF,KGSU3AND4,NJPC,RAPPB,RIHAND3,SIMHST2,TALA,AURY_GF,AURY_RF,DADRT2,KUDGI,NAPP,NTPL,PARBATI3,RAMPUR,SIMHST1,TANAKPUR,DADRI_GF,DADRI_RF,KOTESHWR,MAPS,NLCTS2EXP,NNTPP,RIHAND2,SALAL,SASAN,VALLURNTECL,ANTA_GF,BRBCL,CHAMERA1,KKNP,NLCIIST1,SEWA2,UNCHAHAR3
1,00:00-00:15,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,5.76,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

2,00:15-00:30,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,5.76,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

3,00:30-00:45,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,5.76,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

4,00:45-01:00,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,5.76,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

5,01:00-01:15,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,5.76,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

6,01:15-01:30,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,5.76,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

7,01:30-01:45,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

8,01:45-02:00,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

9,02:00-02:15,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

10,02:15-02:30,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

11,02:30-02:45,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,44.83,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

12,02:45-03:00,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,45.05,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

13,03:00-03:15,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,45.05,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

14,03:15-03:30,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,45.05,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

15,03:30-03:45,0,33.69,98.87,0,53.3,125.96,0,0,0,0,10.27,0,16.48,654.3,0,0,4.31,0,0,0,20.8,0,0,23.57,0,0,0,0,0,0,92,0,42.39,1.11,45.05,0,0,0,0,0,124.32,0,0,0,53.76,683.14,0,43.37,0,0,0,0,0,0,69.05,8.88,0,0,0,118.75,1.4,416.25,0,0,20,0,0,0,0,26.39

