Time,Block,WR/2024/21675/A/6587,NR/2024/18691/A/6640,WR/2024/21740/A/6643,NR/2024/18732/C,NR/2024/18388/A/6415,WR/2024/21710/A/6639,NER/2024/2023/A/6584,SR/2024/12054/C,SR/2024/12045/C,Total
,,APPCPL,MANIKARAN,MANIKARAN,NVVNL,ITCLH,MANIKARAN,APPCPL,PXIL,IEXL,Total

,,DELHI,DELHI,DELHI,NA,ANDHRA PRADESH,DELHI,DELHI,DELHI,DELHI,
,,BRPL,BRPL,BYPL,SOLAPUR_SOLAR,ITCWIND,BRPL,BRPL,BYPL,BYPL,
,,GOA,HIMACHAL PRADESH,MAHARASHTRA,DELHI,DELHI,GOA,MANIPUR,TAMIL NADU,TAMIL NADU,
,,GOA_Beneficiary,HP,AEML,MES (Delhi),ITCLH,GOA_Beneficiary,Manipur_Ben,TANGEDCO,TANGEDCO,
,,North-West,North-North,North-West,West-North,South-West-North,North-West,North-East-North East,North-West-South,North-East-South,
1,00:00-00:15,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

2,00:15-00:30,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

3,00:30-00:45,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

4,00:45-01:00,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

5,01:00-01:15,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

6,01:15-01:30,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

7,01:30-01:45,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

8,01:45-02:00,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

9,02:00-02:15,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

10,02:15-02:30,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

11,02:30-02:45,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

12,02:45-03:00,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

13,03:00-03:15,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

14,03:15-03:30,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

15,03:30-03:45,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

16,03:45-04:00,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

17,04:00-04:15,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

18,04:15-04:30,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

19,04:30-04:45,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

20,04:45-05:00,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,100.00,275.39

21,05:00-05:15,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,0.00,175.39

22,05:15-05:30,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,0.00,175.39

23,05:30-05:45,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,0.00,175.39

24,05:45-06:00,0.000000,0.000000,100.000000,0,0.390000,0.000000,25.000000,50.00,0.00,175.39

25,06:00-06:15,0.000000,182.660000,100.000000,0,0.530000,0.000000,25.000000,0.00,0.00,308.19

26,06:15-06:30,0.000000,182.660000,100.000000,0,0.530000,0.000000,25.000000,0.00,0.00,308.19

27,06:30-06:45,0.000000,182.660000,100.000000,0,0.530000,0.000000,25.000000,0.00,0.00,308.19

28,06:45-07:00,0.000000,182.660000,100.000000,0,0.530000,0.000000,25.000000,0.00,0.00,308.19

29,07:00-07:15,0.000000,182.660000,100.000000,0.28,0.580000,0.000000,25.000000,0.00,0.00,308.52

30,07:15-07:30,0.000000,182.660000,100.000000,0.67,0.580000,0.000000,25.000000,0.00,0.00,308.91

31,07:30-07:45,0.000000,182.660000,100.000000,1.09,0.580000,0.000000,25.000000,0.00,0.00,309.33

32,07:45:08:00,0.000000,182.660000,100.000000,1.52,0.580000,0.000000,25.000000,0.00,0.00,309.76

33,08:00-08:15,0.000000,182.660000,100.000000,2.19,0.960000,0.000000,25.000000,0.00,0.00,310.81

34,08:15-08:30,0.000000,182.660000,100.000000,2.58,0.960000,0.000000,25.000000,0.00,0.00,311.2

35,08:30-08:45,0.000000,182.660000,100.000000,3.45,0.960000,0.000000,25.000000,0.00,0.00,312.07

36,08:45:09:00,0.000000,182.660000,100.000000,4.19,0.960000,0.000000,25.000000,0.00,0.00,312.81

37,09:00:09:15,0.000000,182.660000,100.000000,4.81,0.960000,0.000000,25.000000,0.00,0.00,313.43

38,09:15-09:30,0.000000,182.660000,100.000000,5.41,0.960000,0.000000,25.000000,0.00,0.00,314.03

39,09:30-09:45,0.000000,182.660000,100.000000,5.96,0.960000,0.000000,25.000000,0.00,0.00,314.58

40,09:45-10:00,0.000000,182.660000,100.000000,6.47,0.960000,0.000000,25.000000,0.00,0.00,315.09

41,10:00-10:15,0.000000,182.660000,100.000000,6.9,0.960000,0.000000,25.000000,0.00,0.00,315.52

42,10:15-10:30,0.000000,182.660000,100.000000,7.27,0.960000,0.000000,25.000000,0.00,0.00,315.89

43,10:30-10:45,0.000000,182.660000,100.000000,7.68,0.960000,0.000000,25.000000,0.00,0.00,316.3

44,10:45-11:00,0.000000,182.660000,100.000000,7.95,0.960000,0.000000,25.000000,0.00,0.00,316.57

45,11:00-11:15,0.000000,182.660000,100.000000,8.27,0.960000,0.000000,25.000000,0.00,0.00,316.89

46,11:15-11:30,0.000000,182.660000,100.000000,8.5,0.960000,0.000000,25.000000,0.00,0.00,317.12

47,11:30-11:45,0.000000,182.660000,100.000000,8.72,0.960000,0.000000,25.000000,0.00,0.00,317.34

48,11:45-12:00,0.000000,182.660000,100.000000,8.8,0.960000,0.000000,25.000000,0.00,0.00,317.42

49,12:00-12:15,0.000000,182.660000,100.000000,8.75,0.960000,0.000000,25.000000,0.00,0.00,317.37

50,12:15-12:30,0.000000,182.660000,100.000000,8.96,0.960000,0.000000,25.000000,0.00,0.00,317.58

51,12:30-12:45,0.000000,182.660000,100.000000,9.02,0.960000,0.000000,25.000000,0.00,0.00,317.64

52,12:45-13:00,0.000000,182.660000,100.000000,8.87,0.960000,0.000000,25.000000,0.00,0.00,317.49

53,13:00-13:15,0.000000,182.660000,100.000000,8.94,0.960000,0.000000,25.000000,0.00,0.00,317.56

54,13:15-13:30,0.000000,182.660000,100.000000,8.79,0.960000,0.000000,25.000000,0.00,0.00,317.41

55,13:30-13:45,0.000000,182.660000,100.000000,8.56,0.960000,0.000000,25.000000,0.00,0.00,317.18

56,13:45-14:00,0.000000,182.660000,100.000000,8.48,0.960000,0.000000,25.000000,0.00,0.00,317.1

57,14:00-14:15,0.000000,182.660000,100.000000,8.29,0.960000,0.000000,25.000000,0.00,0.00,316.91

58,14:15-14:30,0.000000,182.660000,100.000000,7.91,0.960000,0.000000,25.000000,0.00,0.00,316.53

59,14:30-14:45,0.000000,182.660000,100.000000,7.54,0.960000,0.000000,25.000000,0.00,0.00,316.16

60,14:45-15:00,0.000000,182.660000,100.000000,7.24,0.960000,0.000000,25.000000,0.00,0.00,315.86

61,15:00-15:15,0.000000,182.660000,100.000000,6.88,0.770000,0.000000,25.000000,0.00,0.00,315.31

62,15:15-15:30,0.000000,182.660000,100.000000,6.42,0.770000,0.000000,25.000000,0.00,0.00,314.85

63,15:30-15:45,0.000000,182.660000,100.000000,5.59,0.770000,0.000000,25.000000,0.00,0.00,314.02

64,15:45-16:00,0.000000,182.660000,100.000000,5.12,0.770000,0.000000,25.000000,0.00,0.00,313.55

65,16:00-16:15,0.000000,182.660000,100.000000,4.66,0.530000,0.000000,25.000000,0.00,0.00,312.85

66,16:15-16:30,0.000000,182.660000,100.000000,4.04,0.530000,0.000000,25.000000,0.00,0.00,312.23

67,16:30-16:45,0.000000,182.660000,100.000000,3.57,0.530000,0.000000,25.000000,0.00,0.00,311.76

68,16:45-17:00,0.000000,182.660000,100.000000,2.84,0.530000,0.000000,25.000000,0.00,0.00,311.03

69,17:00-17:15,0.000000,182.660000,100.000000,2.22,0.530000,0.000000,25.000000,0.00,0.00,310.41

70,17:15-17:30,0.000000,182.660000,100.000000,1.57,0.530000,0.000000,25.000000,0.00,0.00,309.76

71,17:30-17:45,0.000000,182.660000,100.000000,1.03,0.530000,0.000000,25.000000,0.00,0.00,309.22

72,17:45-18:00,0.000000,182.660000,100.000000,0.58,0.530000,0.000000,25.000000,0.00,0.00,308.77

73,18:00-18:15,57.760000,102.010000,100.000000,0.25,0.530000,25.000000,25.000000,0.00,0.00,310.55

74,18:15-18:30,57.760000,102.010000,100.000000,0.1,0.530000,25.000000,25.000000,0.00,0.00,310.4

75,18:30-18:45,57.760000,102.010000,100.000000,0,0.530000,25.000000,25.000000,0.00,0.00,310.3

