Block,Time,JHAJJAR,KKNPPU2,NJPC,NNTPP,UNCHAHAR3,URI2,ANTA_LF,ANTA_RF,AURY_CRF,AURY_LF,DHAULIGNGA,KGSU1AND2,KHSTPP-II,NTPL,RIHAND2,RSTPSU1TO6,SEWA2,TANDA2,ANTA_GF,AURY_RF,DADRI_LF,DULHASTI,KGSU3AND4,SIMHST2,SINGRAULI_HYDRO,TEHRI,BRBCL,CHAMERA3,FSTPP I & II,KISHANGANGA,KKNP,KOLDAM,KOTESHWR,NAPP,RAPPB,RAPPC,RAPPD,RIHAND1,SALAL,TALST2,TANAKPUR,DADRT2,KHSTPP-I,NLCEXP,PARBATI3,RIHAND3,RSTPSU7,TALA,TelanganaSTPP,UNCHAHAR1,VALLURNTECL,DADRI_CRF,CHAMERA1,NLCIIST1,NLCIIST2,SINGRAULI,AURY_GF,DADRI_GF,BSIUL,MAPS,NLCTS2EXP,PARBATI2,RAMPUR,SASAN,SIMHST1,UNCHAHAR2,DADRI_RF,CHAMERA2,KUDGI,UNCHAHAR4,URI,ANTA_CRF
1,00:00-00:15,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,20.38,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,6.27,458.92,45.53,0,33.76,95.79,0,11.76,0,21.94,0,0,42.15,0,0,150.34,0,0,6.52,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

2,00:15-00:30,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,9.95,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,6.27,458.92,45.53,0,33.76,95.79,0,11.76,0,21.94,0,0,42.15,0,0,150.34,0,0,6.52,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

3,00:30-00:45,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,9.95,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,6.27,458.92,45.53,0,33.76,95.79,0,11.76,0,21.94,0,0,42.15,0,0,150.34,0,0,13.04,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

4,00:45-01:00,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,10.19,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,6.27,458.92,45.53,0,33.76,95.79,0,11.76,0,21.94,0,0,42.15,0,0,150.34,0,0,13.04,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

5,01:00-01:15,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,10.19,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,6.27,458.92,45.53,0,33.76,95.79,0,11.76,0,21.94,0,0,42.15,0,0,150.34,0,0,13.04,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

6,01:15-01:30,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,10.19,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,6.27,458.92,45.53,0,33.76,95.79,0,11.76,0,21.94,0,0,42.15,0,0,150.34,0,0,13.04,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

7,01:30-01:45,381.93,0,165.99,0,27.68,33.74,0,51.17,0,0,10.95,0,148.3,0,124.58,0,18.9,5.7,0,78.08,0,59.5,0,0,0.98,10.19,20,35.03,15.43,8.63,0,9.59,10.43,25.38,0,69.07,21.66,97.23,84.24,0,0.51,458.92,45.53,0,33.76,95.79,0,11.17,0,21.94,0,0,42.15,0,0,150.34,0,0,13.04,0,0,33.82,6.5,414,0,44.5,98.4,48.81,0,2.3,36.98,0

