Block,Time,PARBATI3,RSTPSU7,SIMHST2,ANTA_GF,AURY_RF,KKNP,KOTESHWR,NLCTS2EXP,SALAL,UNCHAHAR2,CHAMERA3,KKNPPU2,KUDGI,NAPP,SINGRAULI_HYDRO,UNCHAHAR1,DADRI_CRF,BRBCL,CHAMERA1,CHAMERA2,KISHANGANGA,KOLDAM,NJPC,RSTPSU1TO6,URI,ANTA_CRF,ANTA_RF,DADRI_RF,DHAULIGNGA,KGSU3AND4,NLCIIST2,NNTPP,RAPPB,RIHAND1,SIMHST1,SINGRAULI,ANTA_LF,AURY_GF,AURY_LF,FSTPP I & II,KGSU1AND2,MAPS,NLCEXP,NTPL,RIHAND3,SASAN,SEWA2,TALST2,TANDA2,UNCHAHAR4,DADRI_GF,DADRI_LF,BSIUL,DADRT2,KHSTPP-I,KHSTPP-II,RAMPUR,RAPPC,RIHAND2,TANAKPUR,TelanganaSTPP,VALLURNTECL,AURY_CRF,DULHASTI,JHAJJAR,NLCIIST1,TALA,TEHRI,UNCHAHAR3,URI2
1,00:00-00:15,3.94,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,28.1,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,685.78,44.92,68.19,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,8.37,53.16,0,35.46

2,00:15-00:30,3.94,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,685.78,44.92,70.81,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,8.37,53.16,0,35.46

3,00:30-00:45,3.94,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,685.78,44.92,70.81,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,35.44,0,35.46

4,00:45-01:00,3.94,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,73.43,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,35.44,0,35.46

5,01:00-01:15,3.94,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,73.43,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,17.72,0,35.46

6,01:15-01:30,3.94,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,76.06,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,17.72,0,35.46

7,01:30-01:45,15.46,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,76.06,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,0,0,14.77

8,01:45-02:00,15.46,0,0,0,77.94,0,9.66,0,79.38,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,50.34,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,78.68,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,0,0,14.77

9,02:00-02:15,15.46,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,50.34,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,78.68,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,0,0,14.77

10,02:15-02:30,15.46,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,83.92,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.14,0,0,14.77

11,02:30-02:45,3.94,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,83.92,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.49,0,0,14.77

12,02:45-03:00,3.94,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,0,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,89.16,2.75,59.94,59.4,13,0,0,0,54.53,481.81,0,10.49,0,0,14.77

13,03:00-03:15,3.94,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,89.16,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10.14,0,0,14.77

14,03:15-03:30,3.94,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,94.41,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10.14,0,0,14.77

15,03:30-03:45,15.46,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,94.41,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10.29,0,0,14.77

16,03:45-04:00,15.46,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10.29,0,0,14.77

17,04:00-04:15,15.46,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,14.05,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10.29,0,0,14.77

18,04:15-04:30,3.94,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,28.1,26.85,1.44,4.01,127.78,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10.29,17.72,0,14.77

19,04:30-04:45,3.94,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,28.1,26.85,1.44,4.01,127.78,0,24.29,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,10,17.72,0,14.77

20,04:45-05:00,7.03,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,28.1,26.85,1.44,4.01,127.78,0,24.29,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,2.75,59.94,59.4,11.78,0,0,0,54.53,481.81,0,9.88,35.44,0,14.77

21,05:00-05:15,7.03,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,28.1,26.85,1.44,4.01,153.34,0,24.29,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,3.29,59.94,59.4,11.78,0,0,0,54.53,481.81,0,9.79,35.44,0,14.77

22,05:15-05:30,7.03,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,28.1,26.85,1.44,4.01,153.34,0,24.29,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,3.29,59.94,59.4,11.78,0,0,0,54.53,481.81,0,9.55,53.16,0,14.77

23,05:30-05:45,8.43,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,42.15,26.85,1.44,4.01,153.34,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,3.29,59.94,59.4,11.78,0,0,0,54.53,481.81,0,9.55,53.16,0,14.77

24,05:45-06:00,54.11,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,42.15,26.85,1.44,4.01,153.34,0,16.56,0,31.94,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,3.29,59.94,59.4,11.78,0,0,0,54.53,481.81,0,9.23,70.87,0,14.77

25,06:00-06:15,54.11,0,0,0,77.94,0,9.66,0,51.13,19.62,21.37,0,0,44.99,0,20.96,0,15,42.15,26.85,1.44,4.01,153.34,0,16.56,0,30.75,100.6,40.2,0,0,0,0,47.33,0,87.24,0,0,0,20.8,0,0,0,0,127.6,348.98,0,0,2.89,1.62,0,0,6.52,686.07,44.92,98.87,3.29,59.94,59.4,11.78,0,0,0,54.53,481.81,0,8.91,70.87,0,14.77

