Block,Time,CHAMERA2,NNTPP,SASAN,TALA,TALST2,TEHRI,VALLURNTECL,AURY_RF,DADRI_GF,BRBCL,KHSTPP-I,KISHANGANGA,KKNP,SEWA2,TANDA2,KGSU1AND2,KKNPPU2,KOTESHWR,KUDGI,NLCTS2EXP,RAMPUR,RIHAND2,RSTPSU1TO6,SIMHST1,UNCHAHAR1,ANTA_CRF,AURY_CRF,DADRI_CRF,FSTPP I & II,KOLDAM,NAPP,NLCEXP,PARBATI3,RAPPC,RSTPSU7,SINGRAULI,UNCHAHAR2,ANTA_LF,ANTA_RF,DADRI_LF,DULHASTI,JHAJJAR,NLCIIST2,RAPPB,URI2,BSIUL,NTPL,RIHAND3,TANAKPUR,TelanganaSTPP,ANTA_GF,CHAMERA1,CHAMERA3,DADRT2,DHAULIGNGA,KGSU3AND4,KHSTPP-II,NJPC,RIHAND1,SIMHST2,SINGRAULI_HYDRO,UNCHAHAR3,UNCHAHAR4,URI,MAPS,NLCIIST1,SALAL,AURY_GF,AURY_LF,DADRI_RF
1,00:00-00:15,20,0,343.12,10.35,0,46.69,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,9.42,0,0,124.32,13,0,0,14.05,19.36,341.57,27.48,0,98.87,61.56,46,0,0,0,0,10.49,0,0,63.92,0,0,88.77

2,00:15-00:30,20,0,343.12,10.35,0,46.69,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,9.42,0,0,124.32,13,0,0,0,19.36,341.57,27.48,0,98.87,61.56,46,0,0,0,0,10.49,0,0,63.92,0,0,88.77

3,00:30-00:45,20,0,343.12,10.35,0,46.69,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,31.9,0,0,124.32,13,0,0,0,19.36,341.57,27.48,0,98.87,85.23,46,0,0,0,0,10.49,0,0,63.92,0,0,88.77

4,00:45-01:00,20,0,343.12,10.35,0,31.13,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,31.9,0,0,124.32,13,0,0,0,19.36,341.57,27.48,0,98.87,85.23,46,0,0,0,0,10.49,0,0,63.92,0,0,88.77

5,01:00-01:15,22.66,0,365.62,10.44,0,31.13,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,24.89,0,0,124.32,13,0,0,0,19.36,341.57,27.48,0,98.87,85.23,46,0,0,0,0,11.04,0,0,63.92,0,0,88.77

6,01:15-01:30,22.66,0,374.62,10.44,0,31.13,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,24.89,0,0,124.32,13,0,0,0,19.36,341.57,27.48,0,98.87,85.23,46,0,0,0,0,11.04,0,0,63.92,0,0,88.77

7,01:30-01:45,22.66,0,383.62,10.56,0,31.13,0,68.42,0,15,44.92,0,0,0,0,0,0,8.87,0,0,0,118.76,0,0,20.56,0,0,0,20.8,0,40.58,0,0,51.39,0,123.75,42.4,0,28.35,0,49.43,474.31,0,0,24.89,0,0,124.32,13,0,0,0,19.36,341.57,27.48,0,98.87,85.23,46,0,0,0,0,11.04,0,0,63.92,0,0,88.77

