Block,Time,KUDGI,KHSTPP-I,BRBCL,TALA,KHSTPP-II,FSTPP I & II,SASAN,KISHANGANGA,RIHAND3,RAPPC,UNCHAHAR4,ANTA_RF,DADRI_RF,JHAJJAR,KOTESHWR,KOLDAM,DHAULIGNGA,AURY_CRF,SALAL,CHAMERA3,SEWA2,ANTA_LF,DULHASTI,DADRT2,NAPP,PARBATI3,ANTA_CRF,NJPC,RIHAND2,UNCHAHAR3,DADRI_CRF,RAMPUR,AURY_LF,SINGRAULI,CHAMERA1,DADRI_LF,URI,AURY_GF,URI2,CHAMERA2,ANTA_GF,AURY_RF,BSIUL,TANAKPUR,UNCHAHAR2,SINGRAULI_HYDRO,UNCHAHAR1,TANDA2,RIHAND1,TEHRI,DADRI_GF,RAPPB,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,89.01,41.696348,11.164466,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,1.762630,9.260571,0.000000,82.181578,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,67.103386,115.703325,25.849459,0.000000,0.764876,0.000000,137.385000,40.778267,0.000000,47.531340,0.000000,33.318819,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

2,00:15-00:30,86.11,41.696348,11.164466,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,1.762630,9.260571,0.000000,82.181578,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,67.103386,115.703325,25.849459,0.000000,0.764876,0.000000,137.385000,40.778267,0.000000,47.531340,0.000000,33.318819,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

3,00:30-00:45,84.17,41.696348,10.419001,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,1.175087,9.260571,0.000000,82.181578,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,57.517188,115.703325,25.849459,0.000000,0.655609,0.000000,137.385000,40.778267,0.000000,47.531340,0.000000,33.318819,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

4,00:45-01:00,80.30,41.696348,11.164466,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,1.175087,9.260571,0.000000,82.181578,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,38.344792,115.703325,25.849459,0.000000,0.437072,0.000000,137.385000,40.778267,0.000000,51.269760,0.000000,33.318819,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

5,01:00-01:15,80.30,41.696348,11.164466,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,0.587543,9.260571,0.000000,82.181578,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,38.344792,115.703325,25.849459,0.000000,0.437072,0.000000,137.385000,40.778267,0.000000,51.269760,0.000000,33.318819,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

6,01:15-01:30,77.40,41.696348,11.164466,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,0.587543,9.260571,0.000000,82.181578,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,38.344792,115.703325,25.849459,0.000000,0.437072,0.000000,137.385000,40.778267,0.000000,47.531340,0.000000,33.318819,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

7,01:30-01:45,75.46,41.696348,11.164466,0.000000,142.721246,20.056275,405.159975,1.408976,121.223194,54.595381,0.783675,0.000000,0.000000,606.336120,15.939587,0.000000,9.260571,0.000000,74.199510,29.579951,16.049727,0.000000,50.297625,430.140148,40.968445,0.000000,0.000000,38.344792,115.703325,25.849459,0.000000,0.437072,0.000000,137.385000,40.778267,0.000000,47.531340,0.000000,32.772608,40.503969,0.000000,0.000000,0.000000,2.478735,41.650875,0.976585,21.313058,1.345831,76.548600,25.419974,0.000000,0.000000,0,0,0,0,0

