Column1,Block,NR/2024/23907/C,GNA/NR/2024/11/01/4503,WR/2024/24788/A/42925,GNA/NR/2024/11/01/9061,NR/2024/23420/A/42801,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/23769/A/42798,NR/2024/23809/A/42797,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5474,GNA/NR/2024/11/01/3646,NR/2024/23911/C,NR/2024/23906/C,NR/2024/23912/C,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/9042,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/5428,GNA/NR/2024/11/01/1868,GNA/NR/2024/11/01/5444,Total
,,DIAPL,NDMC,APPCPL,NDMC,ITCLH,DELHI,IEXL,IEXL,BAWANA_GAS,PTC,PTC,SJVNL,NVVNL,SJVNL,PUNJAB,NDMC,MANIKARAN,APPCPL,NDMC,NDMC,NDMC,
,,HIMACHAL_STATE,NA,DELHI_UT,NA,ANDHRA_PRADESH_STATE,HIMACHAL_STATE,KARNATAKA_STATE,KARNATAKA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,NA,NA,NA,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,NA,NA,
,,GBHHPL,TRN_ENERGY,BRPL,JPL2,ITCWIND,CHANJUII,NSLSUGAR,NSLSTUNGBHDRA,BAWANA_GAS,BRPL,BYPL,RSRPL_BKN,SOLAPUR_SOLAR,TPSL_BKN2,BAWANA_GAS,JITPL,BRPL,BYPL,RKM_POWER,SKS_Raigarh,RKM_POWER,
,,DELHI_UT,DELHI_UT,GOA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,HIMACHAL_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,MSEB_State,MSEB_State,DELHI_UT,DELHI_UT,DELHI_UT,
,,DIAPL,NDMC,GOA_Beneficiary,NDMC,ITCLH,TPDDL,MES_Delhi,MES_Delhi,HARYANA,HP,HP,NDMC,MES_Delhi,NDMC,PUNJAB,NDMC,AEML,AEML,NDMC,NDMC,NDMC,
,,North-North,West-North,North-West,West-North,South-West-North,North-North,South-West-North,South-West-North,North-North,North-North,North-North,North-North,West-North,North-North,North-North,East-North,North-West,North-West,West-North,West-North,West-North,
1,00:00-00:15,0,8.68,0,26.03,0.48,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.07

2,00:15-00:30,0,8.68,0,26.03,0.48,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.07

3,00:30-00:45,0,8.68,0,26.03,0.48,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.07

4,00:45-01:00,0,8.68,0,26.03,0.48,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.07

5,01:00-01:15,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

6,01:15-01:30,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

7,01:30-01:45,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

8,01:45-02:00,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

9,02:00-02:15,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

10,02:15-02:30,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

11,02:30-02:45,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

12,02:45-03:00,0,8.68,0,26.03,0.48,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.7300000000001

13,03:00-03:15,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

14,03:15-03:30,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

15,03:30-03:45,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

16,03:45-04:00,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

17,04:00-04:15,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

18,04:15-04:30,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

19,04:30-04:45,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

20,04:45-05:00,0,8.68,0,26.03,0.43,3.22,5.78,4.82,26.91,261.61,87.2,0,0,0,26.91,17.35,0,0,26.03,8.68,26.03,529.6800000000001

21,05:00-05:15,0,8.68,0,26.03,0.43,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.02

22,05:15-05:30,0,8.68,0,26.03,0.43,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.02

23,05:30-05:45,0,8.68,0,26.03,0.43,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.02

24,05:45-06:00,0,8.68,0,26.03,0.43,3.22,5.78,4.82,24.08,261.61,87.2,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,524.02

25,06:00-06:15,0,8.68,0,26.03,0.43,3.13,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,175.12

26,06:15-06:30,0,8.68,0,26.03,0.43,3.13,5.78,4.82,24.08,0,0,0,0,0,24.08,17.35,0,0,26.03,8.68,26.03,175.12

