Block,Time Block,RIHAND3,SALAL,RSTPSU7,RSTPSU1TO6,RIHAND2,BRBCL,CHAMERA1,BSIUL,CHAMERA2,CHAMERA3,DHAULIGNGA,DULHASTI,DADRT2,FSTPP I & II,JHAJJAR,KGSU3AND4,KGSU1AND2,KHSTPP-II,KHSTPP-I,KKNP,KISHANGANGA,KOLDAM,KOTESHWR,KKNPPU2,SEWA2,SIMHST2,SINGRAULI,SIMHST1,SASAN,TANDA2,TALST2,TANAKPUR,TALA,KUDGI,MAPS,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NAPP,NLCTS2EXP,NNTPP,PARBATI3,RAMPUR,NTPL,RAPPC,RAPPB,RIHAND1,SINGRAULI_HYDRO,TelanganaSTPP,TEHRI,UNCHAHAR1,UNCHAHAR3,UNCHAHAR2,VALLURNTECL,URI,UNCHAHAR4,URI2,ANTA_GF,ANTA_CRF,ANTA_RF,AURY_CRF,ANTA_LF,DADRI_CRF,DADRI_LF,AURY_RF,AURY_LF,DADRI_GF,AURY_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,120.14,49.41,0,0,114.77,14.5,13.58,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,94.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,113.02,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,45.12,19.87,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,120.14,49.41,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,45.12,19.87,0,40.98,0,10.67,0,9.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,120.14,49.41,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,45.12,19.87,0,40.98,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,120.14,49.41,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,120.14,49.41,0,0,114.77,14.5,0,0,9.14,9.35,26.56,47.77,328.47,20.1,458.17,0,0,95.55,43.41,0,0,0,8.57,0,0,0,99.3,0,404.7,0,0,12.56,9.92,0,0,0,0,90.42,0,39.63,0,0,0,0,0,49.9,0,44.45,0,0,30.08,19.87,0,40.98,0,10.67,0,30.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

