Block,Time,CHAMERA1,KHSTPP-II,KOLDAM,PARBATI2,RAPPD,SINGRAULI_HYDRO,TEHRI,TelanganaSTPP,KISHANGANGA,KKNPPU2,KOTESHWR,NLCEXP,NTPL,RAMPUR,SIMHST2,DADRI_LF,BRBCL,CHAMERA3,JHAJJAR,NNTPP,RAPPB,RAPPC,RSTPSU1TO6,SEWA2,TALA,DADRI_RF,BSIUL,FSTPP I & II,KHSTPP-I,MAPS,NLCIIST2,RSTPSU7,TANDA2,ANTA_CRF,AURY_RF,DADRT2,DULHASTI,KKNP,NLCIIST1,SALAL,SINGRAULI,UNCHAHAR3,URI2,DADRI_GF,DHAULIGNGA,KGSU3AND4,KUDGI,NAPP,SASAN,UNCHAHAR2,UNCHAHAR4,ANTA_RF,NLCTS2EXP,PARBATI3,UNCHAHAR1,VALLURNTECL,ANTA_GF,AURY_CRF,DADRI_CRF,CHAMERA2,KGSU1AND2,NJPC,RIHAND1,RIHAND2,RIHAND3,SIMHST1,TALST2,TANAKPUR,TEHRIPSP,URI,ANTA_LF,AURY_GF,AURY_LF
1,00:00-00:15,42.15,98.87,8.62,24.63,24.01,0,71.55,0,6.96,0,30.43,0,0,5.7,0,0,24.99,33.94,667.25,0,0,65.42,0,18.34,20.87,105.39,0,17.38,45.53,0,0,0,3.13,0,80.91,689.38,55.38,0,0,0,113.75,27.02,37.42,0,42.46,0,0,24.62,418.77,43.62,1.62,52.09,0,65.42,21.23,0,0,0,0,47.12,0,175.79,98.32,125.27,130.84,0,0,13.06,177.18,52.99,0,0,0

2,00:15-00:30,42.15,98.87,8.62,24.63,24.01,0,71.55,0,6.96,0,30.43,0,0,5.7,0,0,24.99,33.94,667.25,0,0,65.42,0,18.34,20.87,105.39,0,17.38,45.53,0,0,0,3.13,0,80.91,689.38,55.38,0,0,0,113.75,27.02,37.42,0,42.46,0,0,24.62,418.77,43.62,1.62,52.09,0,65.42,21.23,0,0,0,0,47.12,0,175.79,98.32,125.27,130.84,0,0,13.06,88.59,52.99,0,0,0

3,00:30-00:45,42.15,98.87,8.62,24.63,24.01,0,71.55,0,6.96,0,30.43,0,0,5.7,0,0,24.99,33.94,667.25,0,0,65.42,0,18.34,20.87,105.39,0,17.38,45.53,0,0,0,3.13,0,80.91,689.38,55.38,0,0,0,113.75,27.02,31.17,0,42.46,0,0,24.62,418.77,43.62,1.62,52.09,0,65.42,21.23,0,0,0,0,47.12,0,175.79,98.32,125.27,130.84,0,0,13.06,0,46.37,0,0,0

4,00:45-01:00,42.15,98.87,8.62,24.63,24.01,0,71.55,0,6.96,0,30.43,0,0,5.7,0,0,24.99,33.94,667.25,0,0,65.42,0,18.34,20.87,105.39,0,17.38,45.53,0,0,0,3.13,0,80.91,689.38,55.38,0,0,0,113.75,27,31.17,0,42.46,0,0,24.62,418.77,43.62,1.52,52.09,0,65.42,21.65,0,0,0,0,47.12,0,175.79,98.32,125.27,130.84,0,0,13.06,0,46.37,0,0,0

5,01:00-01:15,42.15,98.87,8.62,24.63,24.01,0,71.55,0,6.96,0,20.51,0,0,5.7,0,0,24.99,33.94,667.25,0,0,65.42,0,18.34,20.87,105.39,0,17.38,45.53,0,0,0,3.13,0,80.91,689.38,55.38,0,0,0,113.75,27.17,37.42,0,42.46,0,0,24.62,418.77,44.08,2.05,52.34,0,65.42,21.65,0,0,0,0,47.12,0,175.79,98.32,125.27,130.84,0,0,13.06,0,46.37,0,0,0

