Block,Time,KOLDAM,TANDA2,DULHASTI,DADRT2,KISHANGANGA,DADRI_CRF,RAMPUR,JHAJJAR,UNCHAHAR2,URI,KOTESHWR,SINGRAULI,UNCHAHAR3,RIHAND1,RAPPB,TEHRI,DADRI_RF,ANTA_RF,NJPC,PARBATI3,URI2,TANAKPUR,SEWA2,UNCHAHAR1,NAPP,SALAL,ANTA_LF,CHAMERA2,DADRI_LF,CHAMERA1,DADRI_GF,ANTA_GF,RIHAND2,ANTA_CRF,UNCHAHAR4,AURY_RF,BSIUL,AURY_CRF,CHAMERA3,AURY_GF,RIHAND3,AURY_LF,SINGRAULI_HYDRO,RAPPC,DHAULIGNGA,FSTPP I & II,SASAN,BRBCL,KHSTPP-II,TALA,KHSTPP-I,KUDGI,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,2.350173,1.347466,50.297624,415.595236,1.408975,0.000000,0.979510,514.731248,41.650875,51.269760,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,86.275782,3.239179,33.318818,9.171320,16.049726,20.458755,41.077987,79.258568,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,57.856403,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.881883,136.06,0,0,0,0,0

2,00:15-00:30,2.350173,1.347466,50.297624,415.595236,1.408975,0.000000,0.979510,519.261120,41.650875,51.269760,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,86.275782,3.239179,33.318818,9.171320,16.049726,20.458755,41.077987,79.258568,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,57.856403,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

3,00:30-00:45,2.350173,1.347466,50.297624,415.595236,1.408975,0.000000,0.655608,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,57.517188,3.239179,33.318818,1.735114,16.049726,20.458755,41.077987,65.205630,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,57.856403,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

4,00:45-01:00,2.350173,1.347466,50.297624,415.595236,1.408975,0.000000,0.437072,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,38.344792,3.239179,33.318818,1.735114,16.049726,20.458755,41.077987,82.181578,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,57.856403,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

5,01:00-01:15,2.350173,1.347466,50.297624,415.595236,1.408975,0.000000,0.437072,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,38.344792,3.239179,33.318818,1.735114,16.049726,20.458755,41.077987,82.181578,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,57.856403,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.142085,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

6,01:15-01:30,2.350173,1.347466,50.297624,415.595236,1.408975,0.000000,0.437072,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,38.344792,3.239179,33.318818,1.735114,16.049726,20.458755,41.077987,82.181578,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,57.856403,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,10.193907,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

7,01:30-01:45,1.762630,1.347466,50.297624,353.702484,1.408975,0.000000,0.437072,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,38.344792,3.239179,33.318818,1.735114,16.049726,20.458755,41.077987,82.181578,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,72.367549,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

8,01:45-02:00,1.175086,1.347466,50.297624,299.495236,1.408975,0.000000,0.437072,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,38.344792,3.239179,33.318818,1.735114,16.049726,20.458755,41.077987,82.181578,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,72.367549,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

9,02:00-02:15,0.587543,1.347466,50.297624,251.120236,1.408975,0.000000,0.437072,519.261120,41.650875,47.531340,16.338077,137.385000,25.849458,76.548600,0.000000,25.419974,0.000000,0.000000,38.344792,3.239179,33.318818,1.115431,16.049726,20.458755,41.077987,82.181578,0.000000,40.503969,0.000000,40.778267,0.000000,0.000000,72.367549,0.000000,0.783675,0.000000,6.340802,0.000000,29.579950,0.000000,121.223193,0.000000,0.976585,54.329061,9.260571,19.954881,405.159975,11.164466,142.721246,0.000000,44.891110,136.06,0,0,0,0,0

