Column1,Block,NR/2025/29985/A/87102,NR/2025/30334/A/86927,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/2025/27978/A/87459,GNA/NR/2025/07/01/2236,NR/2025/30105/A/87388,NR/2025/26975/A/87405,NR/2025/29628/A/87399,GNA/NR/2025/07/01/1192,NR/2025/29915/A/86987,GNA/NR/2025/07/01/8154,NR/2025/31113/C,NR/2025/29992/A/87060,NR/2025/31123/C,NR/2025/31145/C,NR/2025/31124/C,NR/2025/31203/C,NR/2025/30101/A/87455,NR/2025/31092/C,GNA/NR/2025/07/01/8139,NR/2025/30086/A/87389,NR/2025/31120/C,NR/2025/30822/A/87101,NR/2025/30084/A/87390,NR/2025/31122/C,NR/2025/29910/A/87395,NR/2025/30217/A/87386,NR/2025/27970/A/87362,NR/2025/29352/A/87106,NR/2025/31161/C,NR/2025/27968/A/87361,NR/2025/31162/C,NR/2025/31183/C,NR/2025/31180/C,NR/2025/29353/A/87104,SR/2025/18387/C,NR/2025/31177/C,NR/2025/31183/C/Alternate/1,NR/2025/27964/A/87360,NR/2025/27963/A/87359,NR/2025/31193/C,NR/2025/28725/A/87357,NR/2025/29439/A/87031,NR/2025/31190/C,NR/2025/31194/C,NR/2025/30191/A/86932,NR/2025/31192/C,NR/2025/31195/C,NR/2025/31070/C,NR/2025/30082/A/87427,NR/2025/30067/A/87522,NR/2025/30121/A/86931,NR/2025/30492/A/87083,NR/2025/30083/A/87391,NR/2025/29167/A/86988,NR/2025/29440/A/86985,NR/2025/27962/A/87358,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNARE/NR/2024/12/20/3668,NR/2025/31191/C,NR/2025/31130/C,NR/2025/31201/C,Total
3,00:30-00:45,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.91,96.18,224.82,15.24,18,17.3,18,0,0,0,0,2438.66

4,00:45-01:00,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.91,96.18,224.82,15.24,18,17.3,18,0,0,0,0,2438.66

5,01:00-01:15,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.77,96.18,224.82,15.24,15,17.22,15,0,0,0,0,2432.4399999999996

6,01:15-01:30,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.77,96.18,224.82,15.24,15,17.22,15,0,0,0,0,2432.4399999999996

7,01:30-01:45,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.77,96.18,224.82,15.24,15,17.22,15,0,0,0,0,2432.4399999999996

8,01:45-02:00,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,25.08,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.77,96.18,224.82,15.24,15,17.22,15,0,0,0,0,2432.4399999999996

9,02:00-02:15,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.67,96.18,224.82,15.24,15,17.12,15,0,0,0,0,2407.16

10,02:15-02:30,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.67,96.18,224.82,15.24,15,17.12,15,0,0,0,0,2407.16

11,02:30-02:45,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.67,96.18,224.82,15.24,15,12.71,15,0,0,0,0,2402.75

12,02:45-03:00,0,0,43.71,19.24,96.18,81.75,17.49,26.45,105.8,49.05,20.44,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,134.65,26.23,0,19.24,7.69,0,28.61,0,144.27,0,0,0,81.75,0,0,192.36,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,204.38,6.73,12.5,8.74,54.1,0.67,96.18,224.82,15.24,15,12.71,15,0,0,0,0,2402.75

13,03:00-03:15,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,144.27,0,192.36,0,81.75,0,0,0,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,54.1,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1944.29

14,03:15-03:30,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,144.27,0,192.36,0,81.75,0,0,0,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,54.1,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1944.29

15,03:30-03:45,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,144.27,0,192.36,0,81.75,0,0,0,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,54.1,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1944.29

16,03:45-04:00,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,144.27,0,192.36,0,81.75,0,0,0,0,144.27,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,54.1,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1944.29

17,04:00-04:15,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1601.65

18,04:15-04:30,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1601.65

19,04:30-04:45,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1601.65

20,04:45-05:00,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,19.24,7.69,0,28.61,0,0,0,192.36,0,81.75,0,0,0,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1601.65

21,05:00-05:15,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,0,0,81.75,0,0,192.36,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1598.9900000000002

22,05:15-05:30,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,59.05,0,81.75,0,0,133.31,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,12.5,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0,0,0,0,1598.99

23,05:30-05:45,0,0,43.71,19.24,96.18,81.75,17.49,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,26.23,0,0,26.23,0,16.58,7.69,0,28.61,0,0,0,155.02,0,81.75,0,0,37.34,0,0,0,143.07,0,0,0,48.09,0,0,0,48.09,0,6.73,11.54,8.74,0,0.63,96.18,224.82,15.24,15,12.71,15,0.19,0,0,0,1598.2200000000003

