Column1,Block,NR/2025/29985/A/87102,NR/2025/30334/A/86927,GNA/NR/2025/07/01/2786,GNA/NR/2025/07/01/3109,NR/2025/27978/A/87459,GNA/NR/2025/07/01/2236,NR/2025/30105/A/87388,NR/2025/26975/A/87405,NR/2025/29628/A/87399,GNA/NR/2025/07/01/1192,NR/2025/29915/A/86987,GNA/NR/2025/07/01/8154,NR/2025/31113/C,NR/2025/29992/A/87060,NR/2025/31123/C,NR/2025/31145/C,NR/2025/31124/C,NR/2025/31203/C,NR/2025/30101/A/87455,NR/2025/31092/C,GNA/NR/2025/07/01/8139,NR/2025/30086/A/87389,NR/2025/31120/C,NR/2025/30822/A/87101,NR/2025/30084/A/87390,NR/2025/31122/C,NR/2025/29910/A/87395,NR/2025/30217/A/87386,NR/2025/27970/A/87362,NR/2025/29352/A/87106,NR/2025/31161/C,NR/2025/27968/A/87361,NR/2025/31162/C,NR/2025/31183/C,NR/2025/31180/C,NR/2025/29353/A/87104,SR/2025/18387/C,NR/2025/31177/C,NR/2025/31183/C/Alternate/1,NR/2025/27964/A/87360,NR/2025/27963/A/87359,NR/2025/31193/C,NR/2025/28725/A/87357,NR/2025/29439/A/87031,NR/2025/31190/C,NR/2025/31194/C,NR/2025/30191/A/86932,NR/2025/31192/C,NR/2025/31195/C,NR/2025/31070/C,NR/2025/30082/A/87427,NR/2025/30067/A/87522,NR/2025/30121/A/86931,NR/2025/30492/A/87083,NR/2025/30083/A/87391,NR/2025/29167/A/86988,NR/2025/29440/A/86985,NR/2025/27962/A/87358,GNA/NR/2025/07/01/8230,GNA/NR/2025/07/01/2997,NR/30092023/26122029/SH-06,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNARE/NR/2024/12/20/3668,NR/2025/31191/C,NR/2025/31130/C,NR/2025/31201/C,Total
40,09:45-10:00,133,5.91,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,83.16,3.24,0,1.64,1869.8600000000006

41,10:00-10:15,144,6.2,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,89.08,3.24,1.44,1.64,1888.5100000000004

42,10:15-10:30,151,6.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,92.38,3.24,1.44,1.64,1898.8600000000006

43,10:30-10:45,158,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,90,4.77,1.44,1.64,1904.0100000000007

44,10:45-11:00,165,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,16.39,15,90,5.3,1.44,1.64,1911.5400000000006

45,11:00-11:15,172,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,2.18,1.44,1.64,1914.0300000000007

46,11:15-11:30,172,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,2.18,1.44,1.64,1914.0300000000007

47,11:30-11:45,172,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,2.67,1.44,1.64,1914.5200000000007

48,11:45-12:00,172,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,2.67,1.44,1.64,1914.5200000000007

49,12:00-12:15,165,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,3.28,1.44,1.64,1908.1300000000006

50,12:15-12:30,165,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,3.28,1.44,1.64,1908.1300000000006

51,12:30-12:45,144,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,3.4,1.44,1.64,1887.2500000000007

52,12:45-13:00,144,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,15,15,15,90,3.4,1.44,1.64,1887.2500000000007

53,13:00-13:15,144,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,81,3.4,1.44,1.64,1890.0900000000006

54,13:15-13:30,144,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,81,3.65,1.44,1.64,1890.3400000000006

55,13:30-13:45,172,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,79.82,3.65,1.44,1.64,1917.1600000000005

56,13:45-14:00,172,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,0,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,0,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,77.23,3.65,1.44,1.64,1914.5700000000006

57,14:00-14:15,147,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,88.33,3.65,1.44,1.64,2189.21

58,14:15-14:30,147,5.25,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,88.33,3.65,1.44,1.64,2189.21

59,14:30-14:45,144,5.48,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,85,3.65,1.44,1.64,2183.11

60,14:45-15:00,140,5.47,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,16.84,20,80,3.65,1.44,1.64,2174.1

61,15:00-15:15,116,5.34,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,17.03,20,80,3.65,1.44,1.64,2150.1600000000003

62,15:15-15:30,109,5.14,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,20,17.03,20,76.67,3.65,1.44,1.64,2139.6299999999997

63,15:30-15:45,81,4.89,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,27,17.03,27,68.33,3.65,1.44,1.64,2117.04

64,15:45-16:00,70,4.61,43.71,19.24,0,81.75,0,5.77,0,0,0,20.75,48.09,0,144.27,0.96,96.18,0,0,44.24,134.89,0,143.07,0,0,144.27,0,0,0,28.61,76.58,0,16.58,192.36,32.14,81.75,0,96.18,0,0,0,28.92,0,0,14.57,7.69,0,43.71,37.16,48.09,0,0,0,13.47,0,0,0,0,224.82,15.24,27,17.03,27,64.37,2.91,1.44,1.64,2101.06

65,16:00-16:15,63,4.29,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.96,96.18,224.82,15.24,27,17.3,27,61.67,2.67,0,0,2254.67

66,16:15-16:30,56,3.92,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.96,96.18,224.82,15.24,27,17.3,27,58.31,2.42,0,0,2243.69

67,16:30-16:45,42,3.51,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.96,96.18,224.82,15.24,27,17.3,27,54.7,2.42,0,0,2225.6699999999996

68,16:45-17:00,35,3.07,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.96,96.18,224.82,15.24,27,17.3,27,50.71,2.18,0,0,2213.9999999999995

69,17:00-17:15,32,0,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,15.24,27,17.58,27,39.86,1.95,0,0,2197.0399999999995

70,17:15-17:30,28,0,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,15.24,27,17.58,27,34.14,1.5,0,0,2186.8699999999994

71,17:30-17:45,35,0,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,15.24,27,17.58,27,28.52,1.38,0,0,2188.1299999999997

72,17:45-18:00,28,0,43.71,19.24,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,15.24,27,17.58,27,23.39,1.27,0,0,2175.8899999999994

73,18:00-18:15,25,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,0,29,17.76,26.73,19.02,0.61,0,0,2135.29

74,18:15-18:30,21,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,16.58,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,0,29,17.76,26.73,14.3,0.43,0,0,2126.39

75,18:30-18:45,14,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,0,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,0,29,17.76,26.73,10.96,0.37,0,0,2118.65

76,18:45-19:00,11,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,166.67,0,81.75,0,0,25.69,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.87,96.18,224.82,0,29,17.76,26.73,1.22,0.24,0,0,2105.7799999999997

77,19:00-19:15,5,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.91,96.18,224.82,0,29,17.76,26.73,0.57,0,0,0,2147.0200000000004

78,19:15-19:30,1,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.91,96.18,224.82,0,29,17.76,26.73,0,0,0,0,2142.4500000000003

79,19:30-19:45,0,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.91,96.18,224.82,0,29,17.76,25.99,0,0,0,0,2140.71

80,19:45-20:00,0,0,43.71,0,96.18,81.75,29.14,5.77,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,0,0.91,96.18,224.82,0,29,17.76,25.99,0,0,0,0,2140.71

81,20:00-20:15,0,0,43.71,0,96.18,81.75,29.14,25.97,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.76,29,0,0,0,0,2218.02

82,20:15-20:30,0,0,43.71,0,96.18,81.75,29.14,25.97,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.76,29,0,0,0,0,2218.02

83,20:30-20:45,0,0,43.71,0,96.18,81.75,29.14,25.97,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.76,29,0,0,0,0,2218.02

84,20:45-21:00,0,0,43.71,0,96.18,81.75,29.14,25.97,76.58,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.76,29,0,0,0,0,2218.02

85,21:00-21:15,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.58,29,0,0,0,0,2247.0599999999995

86,21:15-21:30,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.58,29,0,0,0,0,2247.0599999999995

87,21:30-21:45,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.58,29,0,0,0,0,2247.0599999999995

88,21:45-22:00,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,0,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.58,29,0,0,0,0,2247.0599999999995

89,22:00-22:15,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2283.33

90,22:15-22:30,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,192.36,0,81.75,48.09,0,0,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,13.47,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2283.33

91,22:30-22:45,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,85.32,0,81.75,48.09,0,107.04,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,12.5,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2282.3599999999997

92,22:45-23:00,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,84.1,0,81.75,48.09,0,108.26,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,12.5,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2282.3599999999997

93,23:00-23:15,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,83.4,0,81.75,48.09,0,108.96,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,12.5,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2282.36

94,23:15-23:30,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,83.11,0,81.75,48.09,0,109.25,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,12.5,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2282.3599999999997

95,23:30-23:45,0,0,43.71,0,96.18,81.75,29.14,25.97,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,92.36,0,81.75,48.09,0,100,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,12.5,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2282.3599999999997

96,23:45-24:00,0,0,43.71,0,96.18,81.75,29.14,26.11,105.8,0,0,20.75,0,44.24,0,0,0,36.55,32.14,0,134.89,37.16,0,134.65,43.71,0,19.24,7.69,144.27,28.61,0,0,0,96.22,0,81.75,48.09,0,96.14,144.27,0,0,143.07,25.08,0,0,48.09,0,0,0,48.09,0,6.73,12.5,14.57,54.1,0.91,96.18,224.82,0,29,17.3,29,0,0,0,0,2282.5

