Block,Time,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,URI2,UNCHAHAR2,UNCHAHAR1,UNCHAHAR4,UNCHAHAR3,SEWA2,NJPC,RIHAND1,KISHANGANGA,RAPPC,NAPP,JHAJJAR,KOTESHWR,SINGRAULI_HYDRO,DULHASTI,RIHAND3,TEHRI,KOLDAM,PARBATI3,SINGRAULI,RAMPUR,RIHAND2,TANDA2,CHAMERA1,BSIUL,URI,TANAKPUR,SALAL,RAPPB,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,NNTPP,NTPL,RSTPSU1TO6,KGSU1AND2,KGSU3AND4,KKNP,KKNPPU2,KUDGI,MAPS,NLCEXP,NLCIIST1,NLCIIST2,NLCTS2EXP,RSTPSU7,VALLURNTECL,SIMHST1,SIMHST2,TALST2,BRBCL,FSTPP I & II,TALA,KHSTPP-II,KHSTPP-I,SASAN
1,00:00-00:15,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,36.648687,2.680619,50.889436,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,14.7,147.515625,41.276,343.125

2,00:15-00:30,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,36.648687,2.680619,50.889436,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,14.7,147.515625,41.276,343.125

3,00:30-00:45,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,36.648687,2.680619,50.889436,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,14.7,147.515625,41.276,343.125

4,00:45-01:00,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,36.648687,2.680619,50.889436,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,11.5395,20.73185,14.7,147.515625,41.276,343.125

5,01:00-01:15,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,27.486515,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,340.875

6,01:15-01:30,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,340.875

7,01:30-01:45,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,136.37,41.276,340.875

8,01:45-02:00,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,33.479892,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,51.888,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,136.37,41.276,340.875

9,02:00-02:15,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,20.087936,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,51.888,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,340.875

10,02:15-02:30,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,20.087936,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,340.875

11,02:30-02:45,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,20.087936,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,338.625

12,02:45-03:00,41.864567,688.249014,30.573593,38.375382,34.296916,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,18.324344,2.680619,20.087936,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,12.1695,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,338.625

13,03:00-03:15,41.864567,688.249014,30.573593,38.375382,33.467015,43.050737,21.619792,0.814833,26.717787,16.588865,160.017672,93.324175,2.184458,55.603538,41.5521,657.89409,8.237513,1.068766,51.987209,125.295291,9.162171,2.680619,20.087936,142.003256,1.766682,119.5917,1.44175,42.66,19.6614,47.472,11.529,75.53,0,0,23.291574,65.216407,0,0,44.654888,0,0,0,70.841032,0,0,0,0,0,0,0,0,0,140.62,0,0,0,0,0,0,0,0,0,0,8.792,20.73185,14.7,147.515625,41.276,338.625

