Block,Time Block,DHAULIGNGA,FSTPP I & II,DULHASTI,NLCIIST1,NLCIIST2,NLCTS2EXP,CHAMERA3,DADRT2,CHAMERA2,NJPC,NAPP,NLCEXP,BRBCL,CHAMERA1,BSIUL,KGSU3AND4,KHSTPP-II,KKNP,KISHANGANGA,JHAJJAR,KHSTPP-I,KGSU1AND2,KOLDAM,KUDGI,MAPS,KKNPPU2,KOTESHWR,ANTA_GF,AURY_CRF,AURY_RF,DADRI_RF,ANTA_CRF,AURY_LF,ANTA_RF,DADRI_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,TANAKPUR,TALA,TEHRI,TANDA2,TALST2,UNCHAHAR4,URI2,UNCHAHAR3,TelanganaSTPP,UNCHAHAR2,URI,UNCHAHAR1,VALLURNTECL,NNTPP,SASAN,RIHAND1,SIMHST1,RAMPUR,RSTPSU1TO6,SINGRAULI_HYDRO,SIMHST2,RAPPC,RSTPSU7,SALAL,SEWA2,SINGRAULI,NTPL,RIHAND3,PARBATI3,RAPPB,RIHAND2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,38.96,20.16,52.85,0,0,0,20.71,332.46,42.86,110.3,43.94,0,14.54,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,7.39,0,0,0,4.1,0,0,0,0,0,12.6,10.21,68.69,2.71,0,1.57,14.32,0,0,18.39,16.05,20.31,0,0,367.2,45.87,0,2.36,0,0,0,58.67,0,37.17,0,105.7,0,123.67,3.82,0,117.96,0,0,0,0,0

2,00:15-00:30,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,14.54,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,10.21,68.69,2.71,0,1.57,14.32,0,0,18.43,16.05,20.31,0,0,368,45.87,0,2.36,0,0,0,58.67,0,37.17,0,105.7,0,123.67,3.82,0,117.96,0,0,0,0,0

3,00:30-00:45,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,14.03,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,51.52,2.71,0,1.57,34.37,0,0,18.43,48.79,20.31,0,0,368,45.87,0,2.36,0,0,0,58.67,0,56.31,0,105.7,0,123.67,3.82,0,117.96,0,0,0,0,0

4,00:45-01:00,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,11.55,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,51.52,2.71,0,1.57,34.37,0,0,18.43,48.79,20.31,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.82,0,117.96,0,0,0,0,0

5,01:00-01:15,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,10.68,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,34.35,2.71,0,1.57,34.37,0,0,18.43,16.05,20.31,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.82,0,117.96,0,0,0,0,0

6,01:15-01:30,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,11.81,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,34.35,2.71,0,1.57,34.37,0,0,18.43,16.05,20.31,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.82,0,117.96,0,0,0,0,0

7,01:30-01:45,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,11.33,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,34.35,2.71,0,1.57,34.37,0,0,18.43,16.05,20.31,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.4,0,117.96,0,0,0,0,0

8,01:45-02:00,38.96,20.16,52.85,0,0,0,20.71,332.46,27.47,110.3,43.94,0,11.81,27.23,6.32,0,95.82,0,0,515.43,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,34.35,2.71,0,1.57,34.37,0,0,18.43,16.05,17.46,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.4,0,117.96,0,0,0,0,0

9,02:00-02:15,38.96,20.16,52.85,0,0,0,20.71,330.85,27.47,110.3,43.94,0,11.97,27.23,6.32,0,95.82,0,0,468.89,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,34.35,2.71,0,1.57,14.32,0,0,18.43,21.4,17.46,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.4,0,117.96,0,0,0,0,0

10,02:15-02:30,38.96,20.16,52.85,0,0,0,20.71,330.85,27.47,110.3,43.94,0,11.01,27.23,6.32,0,95.82,0,0,468.89,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.78,34.35,2.71,0,1.57,14.32,0,0,18.43,21.4,17.46,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.4,0,117.96,0,0,0,0,0

11,02:30-02:45,38.96,20.16,52.85,0,0,0,20.71,295.47,27.47,110.3,43.94,0,12.42,27.23,6.32,0,95.82,0,0,468.89,43.54,0,3.89,0,0,0,28.09,0,0,0,0,0,0,0,0,0,0,0,0,12.6,9.91,34.35,2.71,0,1.57,14.32,0,0,18.43,21.4,17.46,0,0,368,45.87,0,2.36,0,0,0,58.67,0,76.94,0,105.7,0,123.67,3.4,0,117.96,0,0,0,0,0

