Column1,Block,NR/2024/23225/C,GNA/NR/2024/09/01/2171,GNA/NR/2024/09/01/7119,GNA/NR/2024/09/01/7908,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/09/22/5523,NR/30092023/26122029/SH-06,GNA/NR/2024/09/01/6566,GNA/NR/2024/09/01/6020,GNA/NR/2024/09/01/9821,NR/2024/23118/A/38456,NR/2024/22754/A/38435,NR/2024/23223/C,GNA/NR/2024/09/16/2535,NR/2024/23038/A/38157,NR/2024/23256/C,NR/2024/22874/A/38461,NR/2024/23226/C,NR/2024/22835/A/38496,NR/2024/23228/C,NR/2024/22803/A/38462,NR/2024/23242/C,GNA/NR/2024/09/01/8090,NR/2024/23122/A/38457,NR/2024/23119/A/38458,NR/2024/23121/A/38459,NR/2024/23017/A/38235,NR/2024/22848/A/38488,NR/30092023/31122025/SH-07,NR/2024/21658/A/38194,NR/2024/22820/A/38161,GNA/NR/2024/09/22/2364,GNARE/SR/2024/09/22/6595,Total
,,NVVNL,MANIKARAN,JITPL,MANIKARAN,DELHI,IEXL,PUNJAB,TPTCL,INSTINCT,APPCPL,NVVNL,PTC,TPDDL,PTC,IEXL,HPXL,NVVNL,NVVNL,MANIKARAN,NVVNL,NVVNL,IEXL,DELHI,NVVNL,NVVNL,NVVNL,DIAPL,APPCPL,BAWANA_GAS,ITCLH,IEXL,IEXL,IEXL,
,,NA,ODISHA_STATE,NA,MP_State,HIMACHAL_STATE,Meghalaya_State,DELHI_UT,NA,NA,Arunachal_State,NA,HIMACHAL_STATE,NA,HIMACHAL_STATE,MSEB_State,GEB_State,MP_State,NA,MSEB_State,NA,NA,MP_State,NA,NA,NA,NA,HIMACHAL_STATE,UTTARAKHAND_STATE,DELHI_UT,ANDHRA_PRADESH_STATE,KARNATAKA_STATE,NA,NA,
,,SOLAPUR_SOLAR,MAADURGA_THERMAL,JITPL,BLAPOWER_MP,CHANJUII,Meghalaya_Ben,BAWANA_GAS,JITPL,JPL2,Arunachal_Ben,TRN_ENERGY,HP,JHAJJAR,HP,A_A_Energy_MH_Bio,SUGEN_GUVNL,JP_BINA,Kameng,AEML,SORANG_HEP,JPNIGRIE_JNSTPP,Continuum_WFDPL_MP,SKS_Raigarh,JPL2,RKM_POWER,RKM_POWER,GBHHPL,UTTARAKHAND,BAWANA_GAS,ITCWIND,NSLSUGAR,SINGOLI,HIRIYUR_OSTROKANNADA,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,MES_Delhi,BRPL,NDMC,BRPL,TPDDL,BRPL,PUNJAB,BRPL,BRPL,BRPL,NDMC,BYPL,TPDDL,BRPL,MES_Delhi,BRPL,TPDDL,TPDDL,BYPL,TPDDL,TPDDL,BRPL,NDMC,NDMC,NDMC,NDMC,DIAPL,BYPL,HARYANA,ITCLH,MES_Delhi,BRPL,BRPL,
,,West-North,East-North,East-North,West-North,North-North,North East-East-North,North-North,East-North,West-North,North East-East-North,West-North,North-North,North-North,North-North,West-North,West-North,West-North,North East-East-North,West-North,North-North,West-North,West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,South-West-North,South-West-North,North-North,South-East-North,
1,00:00-00:15,0,2.13,17.52,18.51,10.83,0,32,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,32,0.87,4.85,0,0,1151.8399999999997

2,00:15-00:30,0,2.13,17.52,18.51,10.83,0,32,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,32,0.87,4.85,0,0,1151.8399999999997

3,00:30-00:45,0,2.13,17.52,18.51,10.83,0,31.25,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,32,0.87,4.85,0,0,1151.0899999999997

4,00:45-01:00,0,2.13,17.52,18.51,10.83,0,31.25,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,32,0.87,4.85,0,0,1151.0899999999997

5,01:00-01:15,0,2.13,17.52,18.51,10.73,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,31,0.68,4.85,0,0,1149.5499999999997

6,01:15-01:30,0,2.13,17.52,18.51,10.73,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,31,0.68,4.85,0,0,1149.5499999999997

7,01:30-01:45,0,2.13,17.52,18.51,10.73,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,31,0.68,4.85,0,0,1149.5499999999997

8,01:45-02:00,0,2.13,17.52,18.51,10.73,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,31,0.68,4.85,0,0,1149.5499999999997

9,02:00-02:15,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,31,0.68,4.85,0,0,1149.4599999999998

10,02:15-02:30,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,31,0.68,4.85,0,0,1149.4599999999998

11,02:30-02:45,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,0,0.68,4.85,0,0,1118.4599999999998

12,02:45-03:00,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,32.95,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,0,0.68,4.85,0,0,1118.4599999999998

13,03:00-03:15,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,0,0.63,4.85,0,0,1085.4599999999998

14,03:15-03:30,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,0,0.63,4.85,0,0,1085.4599999999998

15,03:30-03:45,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,0,0.63,4.85,0,0,1085.4599999999998

16,03:45-04:00,0,2.13,17.52,18.51,10.64,0,31,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,0,0.63,4.85,0,0,1085.4599999999998

17,04:00-04:15,0,2.13,17.52,18.51,10.54,0,1.01,20.6,82.38,0,8.81,48.46,127.93,145.38,3.88,0,48.46,163.36,91.1,30.05,48.46,0,8.81,26.43,26.43,26.43,8.72,84.49,1.01,0.58,4.85,0,0,1056.3299999999997

