Time,Block,WR/2023/19090/A,NR/2023/17496/F,NR/2023/17344/F,NR/2023/17759/C,NR/2023/17165/A,NR/2023/17760/C,NR/2023/14875/A,NR/2023/17510/F,NR/2023/17263/F,NR/2023/17402/F,Total
,,TPTCL,IEXL,ITCLH,TPDDL,NVVNL,NVVNL,APPCPL,GBHHPL,APPCPL,MANIKARAN,Total

,,DELHI,KARNATAKA,ANDHRA PRADESH,HIMACHAL PRADESH,NA,NA,DELHI,HIMACHAL PRADESH,DELHI,DELHI,
,,BYPL,NSLSUGAR,ITCWIND,CHANJUII,SKS Raigarh,SOLAPUR_SOLAR,BYPL,GBHHPL,BRPL,BRPL,
,,MAHARASHTRA,DELHI,DELHI,DELHI,DELHI,DELHI,HIMACHAL PRADESH,DELHI,HIMACHAL PRADESH,HIMACHAL PRADESH,
,,TPC MSEB,MES (Delhi),ITCLH,TPDDL,NDMC,MES (Delhi),HP,DIAPL,HP,HP,
,,North-West,South-East-North,South-West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,
1,00:00-00:15,0.000000,6.780000,0.580000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.46

2,00:15-00:30,0.000000,6.780000,0.580000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.46

3,00:30-00:45,0.000000,6.780000,0.580000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.46

4,00:45-01:00,0.000000,6.780000,0.580000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.46

5,01:00-01:15,0.000000,6.780000,0.530000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.41

6,01:15-01:30,0.000000,6.780000,0.530000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.41

7,01:30-01:45,0.000000,6.780000,0.530000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.41

8,01:45-02:00,0.000000,6.780000,0.530000,5.630000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.41

9,02:00-02:15,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

10,02:15-02:30,0.000000,6.780000,0.530000,5.550000,62.910000,0,68.340000,1.010000,159.210000,0.000000,304.33

