Column1,Block,NR/01082024/31082024/SKS-Raigarh,NR/01082024/31082024/jitpl,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,NR/16082024/31082024/APL-Raigarh_august,NR/16082024/31082024/IIPL/JPL-T-BRPL/05/Aug24,NR/01082024/31082024/1000011628-SIEL-BRPL(DISCOM),NR/16082024/31082024/1000011627-ACBL-BRPL(DISCOM),NR/16082024/31082024/MPL/24-25/STOA/128,NR/01082024/31082024/APPCPL/180/F25/GNA/12763,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/2024/21970/A/35059,NR/2024/21911/A/35005,NR/2024/22919/C,NR/2024/22010/A/35105,NR/2024/21974/A/35061,NR/2024/21860/A/34997,NR/2024/22920/C,NR/2024/21966/A/34841,NR/2024/21968/A/35058,NR/2024/22623/A/34843,NR/2024/22014/A/34775,NR/2024/21961/A/35022,NR/2024/21938/A/35024,NR/2024/21971/A/35060,NR/2024/21933/A/34824,NR/2024/21658/A/34778,NR/2024/21983/A/34822,NR/2024/22279/A/34768,NR/2024/21956/A/35056,NR/2024/21814/A/35062,NR/2024/22498/A/35106,NR/2024/22042/A/34773,NR/2024/21943/A/35050,NR/2024/21918/A/35103,NR/2024/21954/A/35052,NR/2024/21940/A/35055,NR/2024/22903/C,NR/2024/22611/A/34845,NR/2024/22610/A/34846,NR/2024/22918/C,Total
,,DELHI,JITPL,PUNJAB,BAWANA_GAS,APL_Raigarh_TPP,INSTINCT,TPTCL,TPTCL,MANIKARAN,APPCPL,DELHI,NVVNL,AEL,NVVNL,MANIKARAN,NVVNL,TPDDL,NVVNL,INSTINCT,NVVNL,DIAPL,IEXL,PTC,PTC,NVVNL,TPTCL,ITCLH,TPTCL,IEXL,APPCPL,NVVNL,MANIKARAN,IEXL,APPCPL,MANIKARAN,APPCPL,APPCPL,TPDDL,SJVNL,SJVNL,NVVNL,
,,NA,NA,DELHI_UT,DELHI_UT,NA,NA,NA,NA,MP_State,Arunachal_State,HIMACHAL_STATE,NA,NA,NA,GOA_State,NA,NA,NA,NA,NA,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,NA,KARNATAKA_STATE,KERALA_State,NA,MP_State,MSEB_State,MSEB_State,MSEB_State,Manipur_State,UTTARAKHAND_STATE,NA,NA,NA,NA,
,,SKS_Raigarh,JITPL,BAWANA_GAS,BAWANA_GAS,APL_Raigarh_TPP,JPL2,SIMHAPURI,ACBIL,BLAPOWER_MP,Arunachal_Ben,CHANJUII,TRN_ENERGY,APL_Raigarh_TPP,Kameng,GOA_Beneficiary,RKM_POWER,JPL2,SORANG_HEP,JPL2,JPL2,GBHHPL,NHCPL_HP,HP,HP,RKM_POWER,ACBIL,ITCWIND,SIMHAPURI,NSLSUGAR,KSEB,JPNIGRIE_JNSTPP,BLAPOWER_MP,A_A_Energy_MH_Bio,AEML,AEML,Manipur_Ben,UTTARAKHAND,JHAJJAR,TPSL_BKN2,RSRPL_BKN,SOLAPUR_SOLAR,
,,DELHI_UT,DELHI_UT,PUNJAB_STATE,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,PUNJAB,HARYANA,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,NDMC,BRPL,TPDDL,BRPL,NDMC,TPDDL,TPDDL,BRPL,NDMC,DIAPL,MES_Delhi,BRPL,BYPL,NDMC,BRPL,ITCLH,BRPL,MES_Delhi,BYPL,TPDDL,BRPL,MES_Delhi,BRPL,BYPL,BRPL,BYPL,TPDDL,NDMC,NDMC,MES_Delhi,
,,West-North,East-North,North-North,North-North,West-North,West-North,South-West-North,West-North,West-North,North East-East-North,North-North,West-North,West-North,North East-East-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,West-North,West-North,South-West-North,South-East-North,South-East-West-North,South-West-North,West-North,West-North,West-North,West-North,West-North,North East-East-North,North-North,North-North,North-North,North-North,West-North,
1,00:00-00:15,12.48,24.77,32,32,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.63,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1473.16

2,00:15-00:30,12.48,24.77,32,32,82.36,82.36,40.69,20.35,17.44,32.94,10.17,12.48,0,164.96,11.78,31.88,33.91,28.1,0,37.43,8.72,1.94,98.1,32.7,31.88,0,0.63,0,4.84,67.82,33.91,0,3.88,38.76,91.08,24.11,84.47,242.22,0,0,0,1473.16

