Block,Time Block,PARBATI3,RAPPB,RAMPUR,SIMHST2,BRBCL,CHAMERA1,BSIUL,CHAMERA2,DADRT2,CHAMERA3,DHAULIGNGA,FSTPP I & II,DULHASTI,KGSU1AND2,JHAJJAR,KGSU3AND4,KHSTPP-I,KHSTPP-II,KKNP,KKNPPU2,KISHANGANGA,KOTESHWR,KOLDAM,KUDGI,MAPS,NAPP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RAPPC,RIHAND3,RIHAND2,RIHAND1,RSTPSU7,SALAL,SEWA2,SASAN,SIMHST1,SINGRAULI,SINGRAULI_HYDRO,TALA,TALST2,TelanganaSTPP,TEHRI,TANDA2,TANAKPUR,UNCHAHAR2,UNCHAHAR1,UNCHAHAR3,URI,VALLURNTECL,UNCHAHAR4,URI2,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,DADRI_GF,AURY_GF,DADRI_CRF,AURY_RF,AURY_LF,DADRI_LF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,19.31,0,0,2.32,223.03,0,8.8,16.82,15.91,0,257.25,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,2.25,0,401.89,0,134.86,0,0,0,0,14.41,0,11.5,35.13,17.62,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,19.31,0,0,2.32,213.38,0,8.8,16.82,15.91,0,257.25,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,2.25,0,401.89,0,134.86,0,0,0,0,14.41,0,11.5,35.13,17.62,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,15.93,0,0,2.32,209.51,0,8.8,16.82,15.91,0,257.25,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,2.25,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,35.13,17.62,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,15.49,0,0,2.32,209.51,0,8.8,16.82,15.91,0,237.94,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,2.25,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,35.13,17.62,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,16.24,0,0,2.32,205.65,0,8.8,16.82,15.91,0,236.01,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,13.47,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,0,0,0,0,15.51,0,0,2.32,181.38,0,8.8,16.82,15.91,0,236.01,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,76.64,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,0,0,0,0,13.69,0,0,2.32,181.38,0,8.8,16.82,15.91,0,236.01,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,76.64,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,0,0,0,0,13.58,0,0,2.32,181.38,0,8.8,16.82,15.91,0,236.01,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,76.64,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

9,02:00-02:15,0,0,0,0,13.52,0,0,2.32,181.38,0,8.8,16.82,15.91,0,236.01,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,12.34,0,401.89,0,134.86,0,0,0,0,14.41,0,11.5,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

10,02:15-02:30,0,0,0,0,11.11,0,0,2.32,181.38,0,8.8,16.82,15.91,0,236.01,0,42.78,143.18,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,12.34,0,401.89,0,134.86,0,0,0,0,14.41,0,11.5,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

11,02:30-02:45,0,0,0,0,12.29,0,0,2.32,181.38,0,8.8,14.62,15.91,0,236.01,0,37.71,131.92,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,12.34,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,37.84,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

12,02:45-03:00,0,0,0,0,13.55,0,0,2.32,181.38,0,8.8,14.62,15.91,0,236.01,0,37.71,131.92,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,12.34,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,37.84,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

13,03:00-03:15,0,0,0,0,18.57,0,0,2.32,181.38,0,8.8,14.62,15.91,0,236.01,0,37.71,133.85,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,2.25,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,3.2,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

14,03:15-03:30,0,0,0,0,16.05,0,0,2.32,181.38,0,8.8,14.62,15.91,0,236.01,0,37.71,129.02,0,0,0,8.56,0,0,0,39.8,0,0,0,0,0,0,0,0,50.11,120.03,114.66,88.83,0,2.25,0,401.89,0,134.86,0,0,0,0,14.41,0,6.81,30.53,15.48,0,1.6,0,0,4.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

