Block,Time Block,KHSTPP-II,KKNP,KGSU3AND4,KKNPPU2,KOLDAM,KISHANGANGA,KHSTPP-I,KOTESHWR,KGSU1AND2,DADRT2,CHAMERA1,FSTPP I & II,DULHASTI,BSIUL,CHAMERA3,CHAMERA2,DHAULIGNGA,JHAJJAR,BRBCL,UNCHAHAR2,URI,TEHRI,VALLURNTECL,UNCHAHAR1,ANTA_CRF,UNCHAHAR4,TANDA2,URI2,UNCHAHAR3,TANAKPUR,TelanganaSTPP,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,SALAL,SEWA2,RIHAND3,RIHAND2,SASAN,RIHAND1,RAPPC,SIMHST1,RSTPSU1TO6,SIMHST2,RSTPSU7,SINGRAULI,TALST2,SINGRAULI_HYDRO,TALA,NNTPP,NTPL,PARBATI2,PARBATI3,RAPPB,RAMPUR,NLCIIST1,NLCIIST2,NLCTS2EXP,KUDGI,MAPS,NLCEXP,NJPC,NAPP,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,142.74,0,0,0,0,8.24,43.82,10.02,0,598.47,40.57,14.72,38.13,18.83,22.43,46.91,0,347.67,16.64,19.51,46.22,12.49,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,69.65,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,4.13,0,3.15,0,0,0,0,0,0,79.78,49.03,0,0,0,0,0

2,00:15-00:30,142.74,0,0,0,0,8.24,43.82,10.02,0,598.47,40.57,14.72,38.13,18.83,22.43,46.91,0,299.55,15.53,19.51,46.22,12.49,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,83.88,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,4.13,0,1.69,0,0,0,0,0,0,43.06,49.03,0,0,0,0,0

3,00:30-00:45,142.74,0,0,0,0,8.24,43.82,10.02,0,598.47,40.57,14.72,38.13,18.83,22.43,46.91,0,299.55,12.12,19.51,46.22,0,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,93.31,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,4.13,0,1.69,0,0,0,0,0,0,43.06,49.03,0,0,0,0,0

4,00:45-01:00,142.74,0,0,0,0,8.24,43.82,10.02,0,658.98,40.57,14.72,38.13,18.83,22.43,46.91,0,299.55,11.22,19.51,46.22,0,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,93.54,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,4.13,0,1.69,0,0,0,0,0,0,43.06,49.03,0,0,0,0,0

5,01:00-01:15,142.74,0,0,0,0,8.24,43.82,10.02,0,658.98,40.57,14.72,38.13,18.83,22.43,46.91,0,299.55,10.77,19.51,46.22,0,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,44.74,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,16.23,0,1.69,0,0,0,0,0,0,43.06,49.03,0,0,0,0,0

6,01:15-01:30,142.74,0,0,0,0,8.24,43.82,10.02,0,598.47,40.57,14.72,38.13,18.83,22.43,46.91,0,299.55,10.76,19.51,46.22,0,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,44.74,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,16.23,0,1.69,0,0,0,0,0,0,43.06,49.03,0,0,0,0,0

7,01:30-01:45,142.74,0,0,0,0,8.24,43.82,10.02,0,550.35,40.57,14.72,38.13,18.83,22.43,46.91,0,299.55,10.84,19.51,46.22,0,0,20.82,0,1.63,2.49,38.14,26.32,6.03,0,0,0,0,0,0,0,0,0,0,0,0,68.22,18.17,125.85,119.86,403.07,44.74,33.82,0,0,0,0,144.62,0,0.96,0,0,0,0,16.23,0,1.69,0,0,0,0,0,0,43.06,49.03,0,0,0,0,0

