Block,Time,NR/01102023/06022042/L_NR_2012_07,NR/01102023/06022042/L_NR_2012_02,NR/01042024/30042024/PTC/OA/32001,NR/01102023/30042040/GNA_LT_36,NR/01102023/22052037/LT-59,NR/16042024/31052024/IEX_240323_06618,NR/30092023/31122025/SH-07,NR/01102023/31102037/L_NR_2019_11,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01102023/23072042/L_NR_2012_04,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/30042040/GNA_LT_35,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01042024/31072024/LT_MEJA_DELHI,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,NR/01042024/30062024/NOC/HPSLDC/NR/2024/41758,NR/01102023/05012040/L_NR_2020_02,NR/16042024/30042024/IEX_240323_06617,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,WR/01102023/30052048/L_NR_2022_10,NR/01102023/02122045/L_NR_2021_13,WR/01102023/01102023/L_NR_2020_06,WR/01102023/16072048/L_NR_2022_08,NR/04042024/30042024/SJVN040424NR1694,NR/01102023/02012046/L_NR_2021_17,WR/01102023/24112044/L_NR_2020_07,NR/22102023/11042047/L_NR_2021_16,L_NR_2019_19,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2022_09,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/RUMS(L_NR_2019_07),NR/01102023/25072045/L_NR_2021_15,NR/22102023/11042047/L_NR_2021_17,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/26072023/25122043/L_NR_2023_10,NR/01102023/14082046/L_NR_2021_16,WR/01102023/29112042/L_NR_2019_05,NR/01102023/13082046/L_NR_2021_12
1,00:00-00:15,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.290000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.800000,9.650000,0.000000,7.01,55,0,21.16,21,0,0,21.17,0,0,0,55,0,63.5,0,0,0,0,0,0,0,0

2,00:15-00:30,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.290000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.800000,9.650000,0.000000,7.01,54.67,0,21.34,20.66,0,0,21.33,0,0,0,54.67,0,64,0,0,0,0,0,0,0,0

3,00:30-00:45,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.290000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.800000,9.650000,0.000000,7.01,54.33,0,21.5,20.66,0,0,21.5,0,0,0,54.33,0,64.5,0,0,0,0,0,0,0,0

4,00:45-01:00,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.290000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.800000,9.650000,0.000000,7.01,53.67,0,21.5,20.34,0,0,21.5,0,0,0,53.67,0,64.5,0,0,0,0,0,0,0,0

5,01:00-01:15,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.990000,9.650000,0.000000,7.01,53.33,0,21.34,20,0,0,21.33,0,0,0,53.33,0,64,0,0,0,0,0,0,0,0

6,01:15-01:30,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.990000,9.650000,0.000000,7.01,52.67,0,21.16,20,0,0,21.17,0,0,0,52.67,0,63.5,0,0,0,0,0,0,0,0

7,01:30-01:45,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.990000,9.650000,0.000000,7.01,51.67,0,20.84,19.66,0,0,20.83,0,0,0,51.67,0,62.5,0,0,0,0,0,0,0,0

8,01:45-02:00,87.020000,261.920000,41.000000,0.000000,4.030000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,29.270000,115.710000,30.870000,10.960000,3.990000,9.650000,0.000000,7.01,51.33,0,20.5,19,0,0,20.5,0,0,0,51.33,0,61.5,0,0,0,0,0,0,0,0

9,02:00-02:15,87.020000,261.920000,41.000000,0.000000,4.340000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,0.000000,10.860000,3.990000,9.650000,0.000000,6.01,51,0,23,22.66,0,0,23,0,0,0,51,0,69,0,0,0,0,0,0,0,0

10,02:15-02:30,87.020000,261.920000,41.000000,0.000000,4.340000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,0.000000,10.860000,3.990000,9.650000,0.000000,6.01,50.67,0,22.84,22.66,0,0,22.83,0,0,0,50.67,0,68.5,0,0,0,0,0,0,0,0

11,02:30-02:45,87.020000,261.920000,41.000000,0.000000,4.340000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,0.000000,10.860000,3.990000,9.650000,0.000000,6.01,64,0,22.66,22.66,0,0,22.67,0,0,0,64,0,68,0,0,0,0,0,0,0,0

12,02:45-03:00,87.020000,261.920000,41.000000,0.000000,4.340000,48.240000,30.870000,4.220000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,0.000000,10.860000,3.990000,9.650000,0.000000,6.01,63.33,0,22.34,22,0,0,22.33,0,0,0,63.33,0,67,0,0,0,0,0,0,0,0

13,03:00-03:15,87.020000,261.920000,41.000000,0.000000,4.340000,48.240000,30.870000,4.140000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.270000,115.710000,0.000000,10.780000,3.990000,9.650000,0.000000,6.01,68.67,0,22.16,20.34,0,0,22.17,0,0,0,68.67,0,66.5,0,0,0,0,0,0,0,0

14,03:15-03:30,87.020000,261.920000,41.000000,0.000000,4.340000,48.240000,30.870000,4.140000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.270000,115.710000,23.870000,10.780000,3.990000,9.650000,0.000000,6.01,68,0,21.84,19.66,0,0,21.83,0,0,0,68,0,65.5,0,0,0,0,0,0,0,0

15,03:30-03:45,68.040000,130.960000,41.000000,0.000000,4.340000,48.240000,30.870000,4.140000,0.000000,0.000000,100.500000,0.000000,231.530000,16.090000,28.270000,94.530000,23.870000,10.780000,3.990000,9.650000,0.000000,6.01,67.33,0,26.34,23.34,0,0,26.33,0,0,0,67.33,0,79,0,0,0,0,0,0,0,0

16,03:45-04:00,68.040000,130.960000,41.000000,0.000000,4.340000,48.240000,30.870000,4.140000,0.000000,0.000000,100.500000,0.000000,250.820000,16.090000,28.270000,66.170000,23.870000,10.780000,3.990000,9.650000,0.000000,6.01,67,0,26.34,23,0,0,26.33,0,0,0,67,0,79,0,0,0,0,0,0,0,0

17,04:00-04:15,87.020000,130.960000,41.000000,0.000000,4.340000,48.240000,25.110000,4.140000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.270000,94.530000,25.110000,10.680000,3.990000,9.650000,0.000000,6.01,66.67,0,26.34,22.66,0,0,26.33,0,0,0,66.67,0,79,0,0,0,0,0,0,0,0

18,04:15-04:30,87.020000,130.960000,41.000000,0.000000,4.340000,48.240000,25.110000,4.140000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,94.530000,25.110000,10.680000,3.990000,9.650000,0.000000,6.01,66.33,0,26,22.66,0,0,26,0,0,0,66.33,0,78,0,0,0,0,0,0,0,0

19,04:30-04:45,87.020000,130.960000,41.000000,0.000000,4.340000,48.240000,25.110000,4.140000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,94.530000,25.110000,10.680000,3.990000,9.650000,0.000000,6.01,67,0,23.16,20.34,0,0,23.17,0,0,0,67,0,69.5,0,0,0,0,0,0,0,0

20,04:45-05:00,87.020000,130.960000,41.000000,0.000000,4.340000,48.240000,25.110000,4.140000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,94.530000,25.110000,10.680000,3.990000,9.650000,0.000000,6.01,68.67,0,23,20,0,0,23,0,0,0,68.67,0,69,0,0,0,0,0,0,0,0

21,05:00-05:15,87.020000,130.960000,41.000000,0.000000,4.190000,48.240000,23.870000,4.070000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,30.870000,10.590000,3.850000,9.650000,0.000000,6.01,58,0,23,19.34,0,0,23,0,0,0,58,0,69,0,0,0,0,0,0,0,0.02

22,05:15-05:30,87.020000,130.960000,41.000000,0.000000,4.190000,48.240000,23.870000,4.070000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,30.870000,10.590000,3.850000,9.650000,0.000000,6.01,57.67,0.01,23,19.34,0,0,23,0,0,0,57.67,0,69,0,0,0,0,0,0,0,0.07

23,05:30-05:45,87.020000,130.960000,41.000000,0.000000,4.190000,48.240000,23.870000,4.070000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,30.870000,10.590000,3.850000,9.650000,0.000000,6.01,57.67,0.03,23.34,19.34,0,0,23.33,0,0,0,57.67,0,70,0,0,0,0,0,0,0,0.14

24,05:45-06:00,87.020000,130.960000,41.000000,0.000000,4.190000,48.240000,23.870000,4.070000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.770000,115.710000,30.870000,10.590000,3.850000,9.650000,0.000000,6.01,56.33,0.05,23.5,19,0,0,23.5,0,1.130072,0,56.33,0,70.5,0,0,0,0,0,0,0,0.25

25,06:00-06:15,87.020000,130.960000,41.000000,0.000000,4.190000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,0.000000,272.770000,16.090000,28.270000,115.710000,30.870000,10.500000,3.710000,9.650000,0.000000,6.01,60,0.66,23,18.66,0,0,23,0,4.393642,0,60,1,69,0,0.1,0,4.1,0,0,0,3.3

26,06:15-06:30,87.020000,130.960000,41.000000,0.050000,4.190000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,0.040000,272.770000,16.090000,27.250000,115.710000,30.870000,10.500000,3.710000,9.650000,0.040000,6.01,59,1.3,22.84,18,0,0,22.83,0,8.387862,0.25,59,1,68.5,2,1,0,9.33,1,0,2.04,6.51

27,06:30-06:45,87.020000,130.960000,41.000000,0.300000,4.190000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,0.300000,272.770000,16.090000,27.250000,115.710000,30.870000,10.500000,3.710000,9.650000,0.300000,6.01,58,2.14,24.84,20.66,0,0,24.83,1,13.463444,1.57,58,4,74.5,5,2,0,21.17,1,0,5.85,10.69

28,06:45-07:00,87.020000,130.960000,41.000000,0.800000,4.190000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,0.780000,272.770000,16.090000,26.240000,115.710000,30.870000,10.500000,3.710000,9.650000,0.780000,6.01,56,3.29,24.5,20,0,0,24.5,3,19.844454,3.82,56,7,73.5,10,3,1,33,3,0,13.04,16.48

29,07:00-07:15,64.230000,130.960000,41.000000,1.390000,4.030000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,1.370000,272.770000,16.090000,25.740000,115.710000,30.870000,10.410000,3.710000,9.650000,1.370000,6.01,60.67,5.68,23,20,0,0,23,7,27.852378,6.86,60.67,18,69,18,6,3,32.68,7,0,22.31,28.41

30,07:15-07:30,64.230000,130.960000,41.000000,2.250000,4.030000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,2.200000,272.770000,16.090000,25.740000,115.710000,30.870000,10.410000,3.710000,9.650000,2.200000,6.01,58,8.29,21.84,19.66,0,0,21.83,13,37.204698,10.32,58,25,65.5,27.15,9,7,27.15,10,0,27.15,41.47

31,07:30-07:45,64.230000,130.960000,41.000000,3.470000,4.030000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,3.380000,272.770000,16.090000,25.740000,115.710000,30.870000,10.410000,3.710000,9.650000,3.380000,6.01,55,11.23,20.66,16.34,0,0,20.67,20,47.579928,12.5,55,39,62,29.49,13,10,29.48,16,0,29.48,56.17

32,07:45:08:00,64.230000,130.960000,41.000000,4.500000,4.030000,48.240000,23.870000,4.290000,0.000000,0.000000,100.500000,4.380000,272.770000,16.090000,25.740000,115.710000,30.870000,10.410000,3.710000,9.650000,4.380000,6.01,51.33,14.1,19.66,16,0,0,19.67,27,57.847996,25,51.33,56,59,29.66,17,14,29.67,24,0,29.67,70.51

33,08:00-08:15,53.700000,130.960000,41.000000,5.880000,4.030000,48.240000,25.110000,4.290000,0.000000,0.000000,100.500000,5.740000,272.770000,16.090000,25.740000,115.710000,25.110000,10.310000,3.710000,9.650000,5.740000,6.01,47.33,17.79,18.5,16,0,0,18.5,35,67.443866,28.33,47.33,70,55.5,29.66,21.35,17,29.67,30,0,29.67,88.96

