Block,Time,KHSTPP-II,BRBCL,SASAN,FSTPP I & II,KHSTPP-I,TALA,RAMPUR,JHAJJAR,AURY_RF,TEHRI,CHAMERA1,SEWA2,BSIUL,DHAULIGNGA,ANTA_CRF,UNCHAHAR1,NAPP,CHAMERA3,ANTA_GF,RIHAND2,AURY_LF,ANTA_RF,ANTA_LF,TANDA2,DADRT2,NJPC,KISHANGANGA,DADRI_CRF,SINGRAULI,SINGRAULI_HYDRO,KOTESHWR,PARBATI3,CHAMERA2,RAPPB,URI2,RIHAND1,DULHASTI,URI,DADRI_RF,UNCHAHAR4,UNCHAHAR2,AURY_CRF,UNCHAHAR3,AURY_GF,DADRI_LF,TANAKPUR,RAPPC,DADRI_GF,KOLDAM,RIHAND3,SALAL,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
24,05:45-06:00,120.895152,14.406011,335.155590,13.733720,30.896164,8.753086,6.478393,290.588228,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,17.156105,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,605.102517,172.835941,8.010361,0.000000,136.117588,1.164790,37.643498,75.282662,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,36.887235,0.000000,23.053730,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

25,06:00-06:15,120.895152,14.406011,335.155590,13.733720,30.896164,8.329549,6.478393,394.101485,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.187380,172.835941,8.010361,0.000000,136.117588,1.164790,37.643498,75.282662,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

26,06:15-06:30,120.895152,14.406011,335.155590,13.733720,30.896164,8.329549,6.478393,394.101485,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.187380,172.835941,8.010361,0.000000,136.117588,1.164790,37.643498,75.282662,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

27,06:30-06:45,120.895152,14.406011,335.155590,13.733720,30.896164,8.329549,6.478393,394.101485,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,661.187380,172.835941,8.010361,0.000000,131.481320,1.164790,29.893365,75.282662,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

28,06:45-07:00,120.895152,14.406011,335.155590,13.733720,30.896164,8.329549,6.478393,394.101485,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,593.296704,172.835941,8.010361,0.000000,126.840803,1.164790,29.893365,75.282662,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

29,07:00-07:15,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,366.001333,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,627.573380,172.835941,8.010361,0.000000,122.200286,1.164790,29.893365,75.282662,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

30,07:15-07:30,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,366.001333,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,19.332852,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,5.142122,619.890180,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,8.791965,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.942301,0.000000,26.544476,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

31,07:30-07:45,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,252.150299,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,18.971357,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,580.433683,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,4.102917,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,41.308437,0.000000,25.919083,0.000000,0.000000,5.536226,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

32,07:45:08:00,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,135.656500,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,17.117978,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,580.418508,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,4.102917,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,37.287242,0.000000,23.320721,0.000000,0.000000,5.536226,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

33,08:00-08:15,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,12.485200,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,508.552265,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,4.102917,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,28.146704,0.000000,14.886200,0.000000,0.000000,7.381634,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

34,08:15-08:30,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,13.288575,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,369.294265,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,4.102917,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,28.577566,0.000000,18.051486,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

35,08:30-08:45,120.895152,14.406011,335.155590,13.733720,30.896164,8.894264,6.478393,115.248000,0.000000,61.220744,27.313776,0.000000,12.525153,41.812106,0.000000,13.288575,47.293626,33.451935,0.000000,119.454552,0.000000,0.000000,0.000000,2.882564,363.991600,172.835941,8.010361,0.000000,118.719898,1.164790,29.893365,16.118602,46.579236,0.000000,36.390055,93.212528,56.832057,38.170138,0.000000,0.000000,28.577566,0.000000,18.051486,0.000000,0.000000,11.564561,65.298443,0.000000,8.907521,125.409128,76.232922,0,0,0,0,0

