Time,Block,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,NR/01102023/23072042/L_NR_2012_04,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/01072024/31072024/R2,NR/01072024/15072024/NR/01072024/15072024/717759,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/30092023/31122025/SH-07,NR/01072024/04072024/1000011434-JITPL-BRPL(DISCOM),NR/30092023/26122029/SH-06,NR/2024/21160/A/24721,NR/2024/21076/A/25020,NR/2024/21075/A/25025,NR/2024/21023/A/24719,NR/2024/21152/A/24656,NR/2024/21186/A/24976,NR/2024/21089/A/24962,NR/2024/21156/A/24728,NR/2024/21087/A/24834,NR/2024/21287/C,NR/2024/21173/A/24862,NR/2024/20966/A/24657,NR/2024/21148/A/24723,NR/2024/20930/A/24881,NR/2024/21280/C,NR/2024/21096/A/24941,NR/2024/21227/A/24933,NR/2024/20877/A/24977,NR/2024/21210/A/24992,NR/2024/21290/C,NR/2024/21144/A/24855,NR/2024/21183/A/25023,NR/2024/21199/A/24863,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21291/C,NR/2024/21103/A/24937,NR/2024/21159/A/24884,NR/2024/20711/A/24882,NR/2024/21072/A/24963,NR/2024/21243/A/24900,NR/2024/21113/A/24961,NR/2024/21158/A/24687,NR/2024/20574/A/24929,NR/2024/21104/A/24931,NR/2024/21310/C,NR/2024/21141/A/24998,NR/2024/21292/C,NR/2024/21238/A/25027,NR/2024/20573/A/24921,NR/2024/21146/A/24722,NR/2024/19779/A/24670,NR/2024/21150/A/24724,NR/2024/21153/A/24726,NR/2024/21099/A/25006,NR/2024/21142/A/24995,NR/2024/20688/A/24861,NR/2024/21062/A/24940,NR/2024/21108/A/24925,Total
,,APPCPL,TPTCL,INSTINCT,DELHI,TPDDL,PTC,AEL,NDMC,MEJA,INSTINCT,NDMC,BAWANA_GAS,TPTCL,PUNJAB,BMDRC,MANIKARAN,MANIKARAN,INSTINCT,IEXL,NVVNL,NVVNL,UHL,GMRETL,TPDDL,GMRETL,IEXL,BAL224,AEL,TPTCL,APPCPL,APPCPL,NVVNL,TPTCL,NVVNL,DTCP,MANIKARAN,INSTINCT,SECI_Trader,SECI_Trader,NVVNL,APPCPL,MHIL,TPDDL,NVVNL,BRPL,NVVNL,MSSH,PTC,APPCPL,IEXL,TPTCL,NVVNL,MANIKARAN,PTC,BAL184,ITCLH,BAL234,JHPL-DL,TPTCL,TPTCL,GMRETL,PTC,APPCPL,Total

,,ARUNACHAL PRADESH,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,NA,UTTAR PRADESH,MAHARASHTRA,NA,DELHI,NA,DELHI,HIMACHAL PRADESH,MAHARASHTRA,GOA,NA,HIMACHAL PRADESH,MP,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,ODISHA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,KERALA,NAGALAND,NA,NA,NA,HIMACHAL PRADESH,MP,MAHARASHTRA,NA,NA,NA,UTTARAKHAND,HIMACHAL PRADESH,NA,NA,NA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,TAMIL NADU,KARNATAKA,MAHARASHTRA,NA,TAMIL NADU,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,RAJASTHAN,NA,MANIPUR,
,,Arunachal_Ben,MPL,JPL,MSEB_Beneficiary,CHANJUII,SEILP2,APL_Raigarh TPP,JITPL,MEJA,JPL_DHULE,SKS Raigarh,BAWANA_GAS,JITPL,BAWANA_GAS,SHPPBPL,AEML,GOA_Beneficiary,JPL,NHCPL_HP,JP BINA,RKM_POWER,SHPPBPL,GBHHPL,JHAJJAR,GMRKEL (STU),A_A_Energy_MH_Bio,SHPPBPL,APL_Raigarh TPP,JITPL,KSEB,Nagaland_Ben,JPNIGRIE_JNSTPP,SIMHAPURI,SOLAPUR_SOLAR,SHPPBPL,BLAPOWER_MP,JPL_DHULE,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SORANG_HEP,UTTARAKHAND,SHPPBPL,JPL-2,RKM_POWER,DADRT2,JPL-2,SHPPBPL,HP,TANGEDCO,PCKL,TPC MSEB,KAMENG,MMS STEEL TN,HP,SHPPBPL,ITCWIND,SHPPBPL,SHPPBPL,ACBIL,HP-GOVT,RUVNL,SEILP2,Manipur_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,BRPL,TPDDL,BRPL,TPDDL,TPDDL,BRPL,BRPL,NDMC,DELHI,BRPL,NDMC,HARYANA,BRPL,PUNJAB,BMDRC,BYPL,BRPL,BRPL,MES (Delhi),TPDDL,NDMC,UHL,BRPL,TPDDL,BRPL,MES (Delhi),BAL224,BRPL,BRPL,BYPL,BYPL,TPDDL,BRPL,MES (Delhi),DTCP,BRPL,BRPL,TPDDL,BYPL,TPDDL,BYPL,MHIL,TPDDL,NDMC,BRPL,NDMC,MSSH,BYPL,BYPL,TPDDL,BYPL,TPDDL,BRPL,BRPL,BAL184,ITCLH,BAL234,JHPL-DL,BRPL,BRPL,BYPL,BRPL,BRPL,
,,North East-East-North,East-North,West-North,West-North,North-North,South-West-North,West-North,East-North,North-North,West-North,West-North,North-North,East-North,North-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,East-North,West-North,North-North,West-North,East-North,South-West-North,North East-East-North,West-North,South-West-North,West-North,North-North,West-North,West-North,North-North,North-North,North-North,North-North,North-North,West-North,West-North,North-North,West-North,North-North,North-North,South-West-North,South-East-West-North,West-North,North East-East-North,South-West-North,North-North,North-North,South-West-North,North-North,North-North,West-North,North-North,North-North,South-East-North,North East-East-North,
1,00:00-00:15,38.560000,0.000000,96.390000,0.000000,18.030000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,32.000000,0.970000,90.610000,11.710000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,24.100000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,0.000000,47.670000,168.440000,2.890000,72.290000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2574.76

2,00:15-00:30,38.560000,0.000000,96.390000,0.000000,18.030000,24.100000,192.780000,24.830000,0.000000,72.290000,12.420000,32.000000,96.390000,32.000000,0.970000,90.610000,11.710000,0.000000,1.930000,48.200000,37.240000,0.610000,24.100000,240.980000,24.100000,4.820000,0.520000,0.000000,0.000000,308.450000,12.190000,96.390000,48.200000,0,0.480000,21.210000,0.000000,0,0,24.100000,84.030000,0.880000,96.390000,37.240000,134.950000,37.240000,0.670000,24.100000,64.660000,0.000000,47.670000,168.440000,2.890000,72.290000,0.360000,0.870000,0.880000,1.590000,24.100000,48.200000,66.690000,0.000000,24.020000,2574.76
