Block,Time Block,NLCTS2EXP,NLCEXP,NLCIIST1,NJPC,NLCIIST2,PARBATI3,RAPPB,RSTPSU7,RIHAND2,RIHAND1,RAMPUR,RSTPSU1TO6,RAPPC,NNTPP,NTPL,RIHAND3,DHAULIGNGA,FSTPP I & II,DULHASTI,JHAJJAR,KGSU1AND2,CHAMERA3,CHAMERA2,DADRT2,BSIUL,BRBCL,CHAMERA1,NAPP,MAPS,KUDGI,KOLDAM,KOTESHWR,ANTA_LF,URI2,UNCHAHAR3,ANTA_GF,UNCHAHAR2,URI,ANTA_CRF,ANTA_RF,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,DADRI_CRF,DADRI_RF,AURY_LF,AURY_RF,DADRI_LF,AURY_GF,DADRI_GF,AURY_CRF,KHSTPP-I,KGSU3AND4,KKNPPU2,KISHANGANGA,KKNP,KHSTPP-II,TALST2,SINGRAULI,TANAKPUR,TelanganaSTPP,TALA,TEHRI,TANDA2,SINGRAULI_HYDRO,SIMHST1,SIMHST2,SASAN,SALAL,SEWA2,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,16.05,52.06,111.41,0,31.05,42.8,365.23,12.62,19.12,40.8,43.55,0,0,5.18,37.4,0,0,14.97,0,23.27,46.48,0,0,14,0,0,0,0,0,0,0,0,0,0,29.16,0,0,2.79,0,85.91,0,135.71,12.52,0,2.67,74.43,0,0,0,0,405.33,80.98,11.21,0,0,0,0,0

2,00:15-00:30,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,16.05,52.06,111.41,0,31.05,42.8,365.23,12.62,16.98,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,46.48,0,0,11.85,0,0,0,0,0,0,0,0,0,0,29.16,0,0,2.79,0,85.91,0,135.71,12.52,0,2.67,74.43,0,0,0,0,405.33,80.98,11.21,0,0,0,0,0

3,00:30-00:45,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,16.05,52.06,111.41,0,31.05,42.8,365.23,12.62,15.15,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,29.16,0,0,2.79,0,85.91,0,135.71,12.52,0,2.67,74.43,0,0,0,0,405.33,80.98,11.21,0,0,0,0,0

4,00:45-01:00,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,12.54,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,29.16,0,0,2.79,0,85.91,0,135.71,12.52,0,2.67,74.43,0,0,0,0,405.33,80.98,11.21,0,0,0,0,0

5,01:00-01:15,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,11.78,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,24.67,0,0,2.79,0,72.7,0,135.71,12.52,0,2.67,74.43,0,0,0,0,405.33,80.98,11.21,0,0,0,0,0

6,01:15-01:30,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,12.2,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,24.67,0,0,2.79,0,72.7,0,135.71,12.52,0,2.67,74.43,0,0,0,0,405.33,80.98,5.6,0,0,0,0,0

7,01:30-01:45,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,12.55,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,46.48,0,0,11.85,0,0,0,0,0,0,0,0,0,0,24.67,0,0,2.79,0,72.7,0,135.71,12.52,0,4.67,74.43,0,0,0,0,405.33,80.98,5.6,0,0,0,0,0

8,01:45-02:00,0,0,0,161.74,0,29.93,0,0,117.8,41.82,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,11.89,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,46.48,0,0,11.85,0,0,0,0,0,0,0,0,0,0,24.67,0,0,2.79,0,72.7,0,135.71,12.52,0,4.67,74.43,0,0,0,0,405.33,80.98,5.6,0,0,0,0,0

9,02:00-02:15,0,0,0,161.74,0,20.4,0,0,117.8,43.17,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,11.25,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,24.67,0,0,2.79,0,72.7,0,135.71,12.52,0,5.24,74.43,0,0,0,0,405.33,80.98,5.6,0,0,0,0,0

10,02:15-02:30,0,0,0,161.74,0,20.4,0,0,117.8,43.17,3.43,0,58.16,0,0,123.5,39.1,13.65,52.06,111.41,0,31.05,42.8,365.23,12.62,14.24,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,24.67,0,0,2.79,0,72.7,0,135.71,12.52,0,5.24,74.43,0,0,0,0,405.33,80.98,5.6,0,0,0,0,0

11,02:30-02:45,0,0,0,161.74,0,6.8,0,0,117.8,43.17,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,13.69,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,135.71,12.52,0,5.24,74.43,0,0,0,0,405.33,80.98,0,0,0,0,0,0

12,02:45-03:00,0,0,0,161.74,0,6.8,0,0,117.8,29.62,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,15.21,40.8,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,12.52,0,5.24,74.43,0,0,0,0,405.33,80.98,0,0,0,0,0,0

13,03:00-03:15,0,0,0,161.74,0,6.8,0,0,117.8,29.62,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,14.79,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,46.48,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.13,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

14,03:15-03:30,0,0,0,161.74,0,6.8,0,0,95.39,29.62,3.43,0,58.16,0,0,110.26,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,14.83,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,46.48,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.13,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

15,03:30-03:45,0,0,0,161.74,0,20.4,0,0,113.67,29.62,3.43,0,58.16,0,0,122.06,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,16.11,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.48,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

16,03:45-04:00,0,0,0,161.74,0,20.4,0,0,117.8,29.62,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,17.4,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.2,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

17,04:00-04:15,0,0,0,161.74,0,20.4,0,0,95.39,29.62,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,19.11,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.2,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

18,04:15-04:30,0,0,0,161.74,0,6.8,0,0,95.39,29.62,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,19.36,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,42.74,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.2,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

19,04:30-04:45,0,0,0,161.74,0,6.8,0,0,95.39,29.62,3.43,0,58.16,0,0,123.5,39.1,11.03,52.06,111.41,0,31.05,42.8,365.23,12.62,19.36,27.2,43.55,0,0,5.18,37.4,0,0,14.48,0,23.27,46.48,0,0,11.85,0,0,0,0,0,0,0,0,0,0,18.57,0,0,2.79,0,53.9,0,124.41,11.16,0,6.06,74.43,0,0,0,0,405.33,77.04,0,0,0,0,0,0

