Block,Time,JHAJJAR,CHAMERA2,PARBATI3,SINGRAULI,CHAMERA1,DADRI_CRF,CHAMERA3,UNCHAHAR2,RIHAND2,TANDA2,ANTA_GF,RAPPB,ANTA_RF,ANTA_LF,AURY_RF,AURY_GF,RIHAND1,URI,UNCHAHAR4,SALAL,RAMPUR,TEHRI,RAPPC,NAPP,ANTA_CRF,DADRI_RF,NJPC,SEWA2,KOTESHWR,DHAULIGNGA,UNCHAHAR1,RIHAND3,URI2,DADRT2,DADRI_LF,DULHASTI,KUDGI,DADRI_GF,KISHANGANGA,TANAKPUR,AURY_CRF,KOLDAM,BSIUL,UNCHAHAR3,AURY_LF,BRBCL,TALA,KHSTPP-I,FSTPP I & II,SINGRAULI_HYDRO,KHSTPP-II,SASAN,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,379.618951,0.000000,0.000000,100.063800,0.000000,0.000000,0.000000,40.982749,54.817560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,48.030624,0.000000,12.357638,0.000000,0.000000,25.396192,19.308543,0.000000,0.000000,20.142311,0.000000,8.579383,0.000000,5.737614,119.559926,30.838389,330.220208,0.000000,15.931754,28.36,0.000000,0.000000,11.765473,0.000000,0.000000,0.000000,17.686252,0.000000,15.916902,1.136957,43.718696,20.041764,0.573341,95.075112,404.866836,0,0,0,0,0

2,00:15-00:30,379.618951,0.000000,0.000000,100.063800,0.000000,0.000000,0.000000,40.982749,54.817560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,48.030624,0.000000,12.357638,0.000000,0.000000,25.396192,19.308543,0.000000,0.000000,20.142311,0.000000,8.579383,0.000000,5.208732,119.559926,30.838389,330.220208,0.000000,15.931754,63.34,0.000000,0.000000,11.765473,0.000000,0.000000,0.000000,17.686252,0.000000,15.883521,1.136957,43.718696,20.041764,0.573341,95.075112,404.866836,0,0,0,0,0

3,00:30-00:45,379.618951,0.000000,0.000000,100.063800,0.000000,0.000000,0.000000,40.982749,54.817560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,6.404083,0.000000,12.357638,0.000000,0.000000,25.396192,19.308543,0.000000,0.000000,20.142311,0.000000,8.579383,0.000000,5.208732,119.559926,30.838389,330.220208,0.000000,15.931754,65.74,0.000000,0.000000,11.765473,0.000000,0.000000,0.000000,14.988952,0.000000,14.434450,1.136957,43.718696,20.041764,0.573341,95.075112,404.866836,0,0,0,0,0

4,00:45-01:00,379.618951,0.000000,0.000000,100.063800,0.000000,0.000000,0.000000,28.634392,54.817560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,6.404083,0.000000,12.357638,0.000000,0.000000,25.396192,19.308543,0.000000,0.000000,20.142311,0.000000,8.579383,0.000000,5.208732,119.559926,30.838389,325.696164,0.000000,15.931754,63.81,0.000000,0.000000,11.765473,0.000000,0.000000,0.000000,13.139295,0.000000,13.089653,1.136957,43.718696,13.892916,0.573341,95.075112,404.866836,0,0,0,0,0

5,01:00-01:15,379.618951,0.000000,0.000000,100.063800,0.000000,0.000000,0.000000,28.634392,54.817560,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,88.945600,6.404083,0.000000,12.357638,0.000000,0.000000,25.396192,19.308543,0.000000,0.000000,20.142311,0.000000,8.579383,0.000000,5.208732,119.559926,10.404315,325.696164,0.000000,15.931754,61.88,0.000000,0.000000,4.953883,0.000000,0.000000,0.000000,13.139295,0.000000,13.207544,1.136957,35.712225,13.892916,0.573341,95.075112,404.866836,0,0,0,0,0

