Block,Time Block,NNTPP,SIMHST1,RAMPUR,RSTPSU1TO6,RAPPC,RSTPSU7,SALAL,SEWA2,RIHAND3,RAPPB,NTPL,RIHAND2,SASAN,PARBATI3,RIHAND1,KUDGI,KOLDAM,MAPS,KHSTPP-II,KKNP,KOTESHWR,KKNPPU2,KISHANGANGA,NLCEXP,NLCTS2EXP,NLCIIST2,NLCIIST1,NAPP,NJPC,CHAMERA1,BSIUL,BRBCL,JHAJJAR,KGSU1AND2,KHSTPP-I,DHAULIGNGA,DULHASTI,FSTPP I & II,KGSU3AND4,DADRT2,CHAMERA2,CHAMERA3,URI2,UNCHAHAR3,TALST2,SINGRAULI_HYDRO,TANAKPUR,TelanganaSTPP,UNCHAHAR2,URI,TALA,SINGRAULI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,TANDA2,AURY_CRF,AURY_RF,DADRI_LF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,SIMHST2,ANTA_GF,ANTA_CRF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,0,0,0,50.41,0,12.32,0,0,0,0,114.5,403.74,0,88.7,0,0,0,125.94,0,8.55,0,0,0,0,0,0,40.57,0,0,0,19.28,232.63,0,38.09,8.8,15.89,15.71,0,288.63,2.31,0,4.41,19.42,0,0,11.49,0,15.61,0.64,0,134.67,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,0,0,0,50.41,0,24.65,0,0,0,0,114.5,403.74,0,88.7,0,0,0,125.94,0,8.55,0,0,0,0,0,0,40.57,0,0,0,19.28,232.63,0,38.09,8.8,15.89,14.64,0,288.63,2.31,0,4.41,19.32,0,0,11.49,0,15.31,0.64,0,134.67,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,0,0,0,50.41,0,67.22,0,0,0,0,114.5,403.74,0,88.7,0,0,0,125.94,0,8.55,0,0,0,0,0,0,40.57,0,0,0,16.37,232.63,0,38.09,8.8,15.89,14.64,0,288.63,2.31,0,4.41,19.32,0,0,4.95,0,15.31,0.64,0,134.67,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,0,0,0,50.41,0,67.22,0,0,0,0,114.5,403.74,0,88.7,0,0,0,125.94,0,8.55,0,0,0,0,0,0,40.57,0,0,0,16.38,232.63,0,38.09,8.8,15.89,14.64,0,288.63,2.31,0,4.41,19.32,0,0,4.95,0,15.31,0.64,0,134.67,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,0,0,0,50.41,0,67.22,0,12.72,0,0,114.5,403.74,0,88.7,0,0,0,78.64,0,8.55,0,0,0,0,0,0,40.57,0,0,0,16.52,232.63,0,24.6,1.27,15.89,14.64,0,288.63,2.31,0,4.41,19.32,0,0,4.95,0,15.31,0.64,0,134.67,0,14.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

