Column1,Time,GNA/NR/2025/03/01/2563,NR/01102023/22052037/LT-59,GNA/NR/2025/03/01/3469,NR/30092023/26122029/SH-06,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/03/01/5143,NR/30092023/31122025/SH-07,NR/01102023/06022042/L_NR_2012_07,GNA/WR/2025/01/01/8625,GNA/NR/2025/03/01/1906,NR/01102023/31052040/LT-31,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/03/01/8036,NR/01102023/19072037/LT-05,NR/01102023/31102037/L_NR_2019_11,GNA/NR/2025/03/01/4651,GNA/NR/2025/03/01/6891,NR/01102023/30042040/GNA_LT_36,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2025/03/01/9482,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/WR/2025/01/01/9606,GNA/SR/2025/03/01/7500,GNA/WR/2025/03/01/6406,NR/01102023/27052033/DIAPL(L_NR_2023_04),WR/01102023/01102023/L_NR_2022_09,WR/01102023/29112042/L_NR_2019_05,WR/01102023/16072048/L_NR_2022_08,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/01102023/L_NR_2020_06,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,WR/01102023/29112042/RUMS(L_NR_2019_06),NR/22102023/11042047/L_NR_2021_17,WR/01102023/30052048/L_NR_2022_10,GNARE/SR/2025/01/13/4532,GNARE/NR/2024/12/20/3668,NR/01102023/08032047/L_NR_2021_14,NR/01102023/25072045/L_NR_2021_15,NR/26072023/31072042/L_NR_2023_07,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,23.31,1.16,8.64,26,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.31,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,30.28,46,0,14.66,0,0,17.67,17.67,52.99,0,0,0,46,11.61,0,0,0,0,0,0,0

2,00:15-00:30,23.31,1.16,8.64,32,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.31,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,30.28,46,0,14.66,0,0,17.83,17.83,53.51,0,0,0,46,10.2,0,0,0,0,0,0,0

3,00:30-00:45,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.31,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,30.78,36.67,0,14.66,0,0,18,18,54,0,0,0,36.66,9.2,0,0,0,0,0,0,0

4,00:45-01:00,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.31,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,31.29,36.67,0,14.66,0,0,17.83,17.83,53.51,0,0,0,36.66,8.6,0,0,0,0,0,0,0

5,01:00-01:15,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,31.29,35,0,13.34,0,0,17.67,17.67,52.99,0,0,0,35,8,0,0,0,0,0,0,0

6,01:15-01:30,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,31.29,32.67,0,13.34,0,0,17.5,17.5,52.5,0,0,0,32.66,8,0,0,0,0,0,0,0

7,01:30-01:45,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,30.78,32,0,13.66,0,0,14.67,14.67,43.99,0,0,0,32,8,0,0,0,0,0,0,0

8,01:45-02:00,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,114.79,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,200,42,30.28,31.67,0,13.66,0,0,15,15,45,0,0,0,31.66,8,0,0,0,0,0,0,0

9,02:00-02:15,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,0,42,30.28,31.33,0,13.66,0,0,15.33,15.33,46.01,0,0,0,31.34,8,0,0,0,0,0,0,0

10,02:15-02:30,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,0,42,30.28,31.67,0,13.34,0,0,15.67,15.67,46.99,0,0,0,31.66,8,0,0,0,0,0,0,0

11,02:30-02:45,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,0,42,30.28,45,0,13,0,0,15.67,15.67,46.99,0,0,0,45,8,0,0,0,0,0,0,0

12,02:45-03:00,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.31,17.28,3.68,0,0,42,30.28,46.67,0,13,0,0,15.83,15.83,47.51,0,0,0,46.66,8,0,0,0,0,0,0,0

13,03:00-03:15,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,46.67,0,13.66,0,0,15.33,15.33,46.01,0,0,0,46.66,8,0,0,0,0,0,0,0

14,03:15-03:30,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,70,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,46,0,13.66,0,0,15.5,15.5,46.5,0,0,0,46,8,0,0,0,0,0,0,0

15,03:30-03:45,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,70,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,44.67,0,15,0,0,17.5,17.5,52.5,0,0,0,44.66,8,0,0,0,0,0,0,0

16,03:45-04:00,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,43,0,15,0,0,19.33,19.33,58.01,0,0,0,43,8,0,0,0,0,0,0,0

17,04:00-04:15,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,65.86,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,39.67,0,15.34,0,0,21.33,21.33,64.01,0,0,0,39.66,8,0,0,0,0,0,0,0

18,04:15-04:30,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,74.33,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,36.67,0,15.34,0,0,21.83,21.83,65.51,0,0,0,36.66,8,0,0,0,0,0,0,0

19,04:30-04:45,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,82.8,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,41.67,0,18,0,0,22.17,22.17,66.49,0,0,0,41.67,8,0,0,0,0,0,0,0

20,04:45-05:00,23.31,1.16,8.64,26.99,271.38,190.26,26.99,86.57,0,23.31,0,0,23.31,91.27,1.23,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,39.67,0,18.66,0,0,22.17,22.17,66.49,0,0,0,39.67,8,0,0,0,0,0,0,0

21,05:00-05:15,23.31,1.16,8.64,17.08,271.38,190.26,17.08,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.78,37.67,0,18.34,0,0,22.17,22.17,66.49,0,0,0,37.66,8,0,0,0,0,0,0,0

22,05:15-05:30,23.31,1.16,8.64,17.08,271.38,190.26,17.08,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.78,36,0,18,0,0,21.67,21.67,64.99,0,0,0,36,8,0,0,0,0,0,0,0

23,05:30-05:45,23.31,1.16,8.64,17.08,271.38,190.26,17.08,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.78,34.33,0,17.66,0,0,21.17,21.17,63.49,0,0,0,34.34,8,0,0,0,0,0,0,0

24,05:45-06:00,23.31,1.16,8.64,17.08,271.38,190.26,17.08,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,63.42,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.78,32.67,0,17.34,0,0,20.33,20.33,61.01,0,0,0,32.66,8,0,0,0,0,0,0,0

25,06:00-06:15,23.31,1.16,8.64,9.27,271.38,0,9.27,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,0,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.78,32.33,0,17.34,0,0,20.67,20.67,61.99,0,0,0,32.34,8,0,0,0,0,0,0,0

26,06:15-06:30,23.31,1.16,8.64,0,271.38,0,32,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,0,0,99.99,259.72,1.26,17.28,3.58,0,0,42,30.28,31,6.5,16.66,0,0,20.5,20.5,61.5,0,5.5,0,31,8,0,0,0,0,0,0,0

27,06:30-06:45,23.31,1.16,8.64,31.45,271.38,0,31.45,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,0,0,99.99,259.72,1.26,17.28,3.58,0,0,42,29.27,29.67,15.5,14,1.16,1,20.33,20.33,61.01,0,10.2,0,29.66,8,0.53,0,0,0,0,0,0

28,06:45-07:00,23.31,1.16,8.64,31.45,271.38,0,31.45,86.57,0,23.31,0,0,23.31,114.79,1.15,6.72,0,0,99.99,259.72,1.26,17.28,3.58,0,0,42,28.77,28.33,21.1,14,5.32,4,20.33,20.33,61.01,1,20.2,1,28.34,8,0.31,1,1,1,0,1.12,0.23

29,07:00-07:15,23.31,1.31,8.64,31.45,271.38,0,31.45,86.57,0,23.31,0.12,0.12,23.31,114.79,1.15,6.72,0,0.12,99.99,259.72,1.26,17.28,3.58,0,0,0,28.26,27.33,28.68,10,11.14,10,20.33,20.33,61.01,7,24.94,3,27.34,8,0.72,3,3,4,1,4.51,0.9

30,07:15-07:30,23.31,1.31,8.64,32,271.38,0,32,86.57,0,23.31,0.25,0.25,23.31,114.79,1.15,6.72,0,0.25,99.99,259.72,1.26,17.28,3.58,0,0,0,27.25,26.67,32.57,9.66,18.79,15,20.33,20.33,61.01,10,32.57,5,26.66,8,3.16,7,5,7,3,10.13,2.03

31,07:30-07:45,23.31,1.31,8.64,32,271.38,0,25.62,86.57,0,23.31,1.09,1.09,23.31,106.32,1.15,6.72,0,1.09,99.99,259.72,1.26,17.28,3.58,0,0,0,26.75,25.67,31,9.66,26.98,24,15.33,15.33,46.01,10,31,5,25.66,8,8.44,10,7,14,6,18.02,3.6

32,07:45-08:00,23.31,1.31,8.64,32,271.38,0,25.62,86.57,0,38.39,2.28,2.28,23.31,97.85,1.15,6.72,0,2.28,99.99,259.72,1.26,17.28,3.58,0,0,0,27.25,25,28.67,9.66,35.33,28.67,15.33,15.33,46.01,17,28.66,8,25,8,13.82,16,12,25,10,39.2,7.84

33,08:00-08:15,23.31,1.31,8.64,32,271.38,0,25.62,63.94,0,38.39,3.71,3.71,23.31,89.39,1.15,6.72,0,3.71,99.99,211.73,1.26,17.28,3.58,0,0,0,27.25,28.33,31.23,9,43.81,31.23,14.17,14.17,42.49,27,31.24,13,28.34,8,23.47,24,16,60,25,61.42,12.28

34,08:15-08:30,23.31,1.31,8.64,32,271.38,0,25.62,63.94,0,38.39,5.17,5.17,23.31,80.92,1.15,6.72,0,5.17,99.99,193.14,1.26,17.28,3.58,0,0,0,27.25,26,31.57,8.34,52.38,31.57,13.5,13.5,40.5,37,31.56,18,26,8,30.88,33,23,77,33,82.78,16.56

35,08:30-08:45,23.31,1.31,8.64,32,271.38,0,25.62,63.94,0,38.39,6.64,6.64,23.31,72.45,1.15,6.72,0,6.64,99.99,193.14,1.26,17.28,3.58,0,0,0,27.25,31.67,32.67,7.34,60.41,32.67,12,12,36,49,32.66,24,31.66,8,38.54,43,25,95,40,107.34,21.47

36,08:45-09:00,23.31,1.31,8.64,32,271.38,0,25.62,63.94,0,38.39,8.12,8.12,23.31,70,1.15,6.72,0,8.12,99.99,193.14,1.26,17.28,3.58,0,0,0,27.25,30.67,32.67,6.66,68.24,32.67,11.5,11.5,34.5,57,32.66,28,30.66,8,47.62,50,30,112,48,127.45,25.49

37,09:00-09:15,23.31,1.31,8.64,26.99,271.38,0,26.99,63.94,0,23.31,9.59,9.59,23.31,70,1.15,6.72,0,9.59,99.99,193.14,1.26,17.28,3.49,0,0,0,27.25,28.33,32.67,6.66,83.27,32.67,10.83,10.83,32.51,63,32.66,32,28.34,8,55.56,59,33,130,55,151.02,30.2

38,09:15-09:30,23.31,1.31,8.64,26.99,271.38,0,26.99,63.94,0,23.31,10.83,10.83,23.31,70,1.15,6.72,0,10.83,99.99,224.52,1.26,17.28,3.49,0,0,0,27.25,26,32.67,6.66,89.73,32.67,9.17,9.17,27.49,73,32.66,37,26,8,63.54,66,36,147,63,170.87,34.18

39,09:30-09:45,23.31,1.31,8.64,26.99,271.38,0,26.99,63.94,0,23.31,12.02,12.02,23.31,70,1.15,6.72,0,12.02,99.99,224.52,1.26,17.28,3.49,0,0,0,28.26,24.33,32.67,6.66,95.48,32.67,9.17,9.17,27.49,80,32.66,40,24.34,8,70.7,72,39,161,69,188.94,37.79

40,09:45-10:00,23.31,1.31,8.64,26.99,271.38,0,26.99,63.94,0,23.31,13.04,13.04,23.31,70,1.15,6.72,0,13.04,99.99,224.52,1.26,17.28,3.49,0,0,0,28.26,22.33,32.67,6.66,100.69,32.67,9.17,9.17,27.49,87,32.66,43,22.34,8,77.19,78,41,175,75,204.91,40.98

41,10:00-10:15,23.31,1.31,8.64,26.99,271.38,0,26.99,63.94,0,23.31,14.13,14.13,23.31,70,1.23,6.72,0,14.13,99.99,224.52,1.31,17.28,3.49,0,0,0,28.26,20.67,32.67,6.66,105.19,32.67,9.17,9.17,27.49,90,32.66,45,20.66,8,83.19,81,42,189,81,220.36,44.07

42,10:15-10:30,23.31,1.31,8.64,26.99,271.38,0,26.99,63.94,0,23.31,14.95,14.95,23.31,70,1.23,6.72,0,14.95,99.99,193.14,1.31,17.28,3.49,0,0,0,28.26,19.33,32.67,6.66,140.41,32.67,9.17,9.17,27.49,93,32.66,47,19.34,8,93.24,87,43,196,84,234.23,46.85

43,10:30-10:45,23.31,1.31,8.64,26.99,271.38,0,26.99,45.11,0,38.39,15.66,15.66,23.31,70,1.23,6.72,0,15.66,99.99,193.14,1.31,17.28,3.49,0,0,0,27.76,18.33,32.67,6.66,149.37,32.67,9.17,9.17,27.49,97,32.66,48,18.34,8,98.51,92,45,203,87,240.7,48.14

44,10:45-11:00,23.31,1.31,8.64,26.99,271.38,0,26.99,45.11,0,38.39,16.33,16.33,23.31,70,1.23,6.72,0,16.33,99.99,193.14,1.31,17.28,3.49,0,0,0,27.76,18.33,32.67,6.66,148.59,32.67,9.17,9.17,27.49,100,32.66,50,18.34,8,98.67,93,47,210,90,241.67,48.33

45,11:00-11:15,23.31,1.31,8.64,26.99,271.38,0,26.99,45.11,0,38.39,16.93,16.93,23.31,70,1.23,6.72,0,16.93,99.99,193.14,1.31,17.28,3.49,0,0,0,0,18.33,32.67,6.66,149.17,32.67,9.67,9.67,28.99,100,32.66,50,18.34,8,96.67,97,49,210,90,241.67,48.33

46,11:15-11:30,23.31,1.31,8.64,26.99,271.38,0,26.99,45.11,0,38.39,17.46,17.46,23.31,70,1.23,6.72,0,17.46,99.99,193.14,1.31,17.28,3.49,0,0,0,0,18.33,32.67,7,151.02,32.67,10,10,30,100,32.66,50,18.34,8,96.61,98,49,210,90,241.67,48.33

47,11:30-11:45,23.31,1.31,8.64,26.99,271.38,0,26.99,45.11,0,38.39,17.46,17.46,23.31,70,1.23,6.72,0,17.46,71.2,193.14,1.31,17.28,3.49,0,0,0,0,18.33,32.67,7.66,151.41,32.67,8.33,8.33,25.01,100,32.66,50,18.34,8,96.49,98,49,210,90,241.67,48.33

48,11:45-12:00,23.31,1.31,8.64,26.99,271.38,0,26.99,46.78,0,38.39,17.46,17.46,23.31,70,1.23,6.72,0,17.46,52.79,193.14,1.31,17.28,3.49,0,0,0,0,18.33,32.67,8.66,152.19,32.67,8.67,8.67,25.99,100,32.66,50,18.34,8,96.59,98,50,210,90,241.67,48.33

49,12:00-12:15,23.31,1.31,8.64,26.99,271.38,0,26.99,46.78,0,38.39,17.46,17.46,23.31,70,1.31,6.72,0,17.46,52.79,145.15,1.35,17.28,3.49,0,0,0,0,15,32.67,9.66,152.19,32.67,9,9,27,100,32.66,50,15,8,96.24,98,50,210,90,241.67,48.33

50,12:15-12:30,23.31,1.31,8.64,26.99,271.38,0,26.99,46.78,0,38.39,17.46,17.46,23.31,70,1.31,6.72,0,17.46,52.79,133.41,1.35,17.28,3.49,0,0,0,0,15,32.07,11,152.38,32.07,9.33,9.33,28.01,100,32.06,50,15,8,96.97,98,50,210,90,241.67,48.33

51,12:30-12:45,23.31,1.31,8.64,26.99,230.35,0,26.99,46.78,0,38.39,17.46,17.46,23.31,70,1.31,6.72,0,17.46,52.79,133.41,1.35,17.28,3.49,0,0,0,0,15,31.9,12.34,152.29,31.9,9.67,9.67,28.99,100,31.9,50,15,8.8,97.83,98,50,210,90,241.67,48.33

