Block,Time,DADRT2,KGSU3AND4,KHSTPP-I,NLCIIST2,UNCHAHAR4,AURY_RF,DADRI_LF,KGSU1AND2,KKNP,KOTESHWR,NJPC,NLCTS2EXP,SEWA2,SIMHST1,ANTA_GF,AURY_CRF,BRBCL,CHAMERA3,FSTPP I & II,KHSTPP-II,PARBATI2,PARBATI3,RAPPC,RIHAND1,RIHAND3,SALAL,TelanganaSTPP,UNCHAHAR2,ANTA_CRF,DADRI_RF,CHAMERA1,DHAULIGNGA,MAPS,NLCEXP,TALST2,UNCHAHAR1,URI2,KISHANGANGA,SIMHST2,SINGRAULI,SINGRAULI_HYDRO,UNCHAHAR3,VALLURNTECL,ANTA_LF,AURY_GF,BSIUL,DULHASTI,JHAJJAR,KOLDAM,KUDGI,NAPP,NNTPP,RAMPUR,RAPPD,RSTPSU7,TANAKPUR,AURY_LF,KKNPPU2,NLCIIST1,NTPL,SASAN,TALA,TANDA2,TEHRI,ANTA_RF,DADRI_CRF,DADRI_GF,CHAMERA2,RAPPB,RIHAND2,RSTPSU1TO6,URI
1,00:00-00:15,688.62,0,45.53,0,2.3,76.73,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,53.45,0,44.5,0,98.41,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,2.4,0,25.77,0,3.74,30,0,7.3,0,0,0,0,348.98,0,5.7,35.39,51.83,0,0,48.81,0,124.58,0,49.68

2,00:15-00:30,688.62,0,45.53,0,2.3,76.73,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,53.45,0,44.5,0,98.41,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,2.4,0,25.77,0,3.74,30,0,7.3,0,0,0,0,348.98,0,5.7,35.39,51.83,0,0,48.81,0,124.58,0,49.68

3,00:30-00:45,688.62,0,45.53,0,2.3,76.73,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,53.45,0,44.5,0,98.41,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,2.4,0,25.77,0,3.74,30,0,7.3,0,0,0,0,348.98,0,5.7,35.39,51.83,0,0,48.81,0,124.58,0,49.68

4,00:45-01:00,688.62,0,45.53,0,2.3,76.73,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,53.45,0,44.5,0,98.41,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,0,0,25.77,0,3.74,30,0,7.3,0,0,0,0,348.98,0,5.7,35.39,51.83,0,0,48.81,0,124.58,0,52.36

5,01:00-01:15,688.62,0,45.53,0,2.3,76.73,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,79.38,0,44.5,0,98.41,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,0,0,25.77,0,3.74,30,0,1.54,0,0,0,0,348.98,0,5.7,35.39,52.22,0,0,48.81,0,124.58,0,52.36

6,01:15-01:30,688.62,0,45.53,0,2.3,76.73,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,79.38,0,44.5,0,98.41,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,0,0,25.77,0,3.74,30,0,1.03,0,0,0,0,348.98,0,5.7,35.39,52.22,0,0,48.81,0,124.58,0,52.36

7,01:30-01:45,688.62,0,45.53,0,2.3,76.74,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,79.38,0,44.5,0,98.4,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,0,0,25.77,0,3.74,30,0,1.03,0,0,0,0,348.98,0,5.7,35.39,52.230000000000004,0,0,32.53,0,124.58,0,52.36

8,01:45-02:00,688.62,0,45.53,0,2.3,76.74,0,0,0,20.85,94.09,0,18.9,0,0,0,20,23.33,18.62,148.3,22.54,33.76,69.07,97.23,130.79,79.38,0,44.5,0,98.4,28.1,0,0,0,0,21.64,38.1,8.63,0,150.34,0.98,27.68,0,0,0,19.56,59.5,448.67,0,0,25.77,0,3.74,30,0,1.03,0,0,0,0,348.98,0,5.7,23.11,52.230000000000004,0,0,32.53,0,124.58,0,52.36

