Block,Time,URI,URI2,RIHAND2,RIHAND3,SEWA2,SINGRAULI,TANAKPUR,TEHRI,UNCHAHAR1,UNCHAHAR3,SALAL,SINGRAULI_HYDRO,UNCHAHAR2,UNCHAHAR4,TANDA2,NAPP,PARBATI3,RAMPUR,RAPPB,RIHAND1,CHAMERA1,CHAMERA2,DADRT2,DULHASTI,JHAJJAR,KISHANGANGA,KOTESHWR,KOLDAM,NJPC,RAPPC,CHAMERA3,DHAULIGNGA,BSIUL,ANTA_GF,ANTA_RF,ANTA_LF,ANTA_CRF,DADRI_GF,DADRI_RF,DADRI_LF,DADRI_CRF,AURY_GF,AURY_RF,AURY_LF,AURY_CRF,KGSU3AND4,KKNP,MAPS,KGSU1AND2,KKNPPU2,NLCTS2EXP,NNTPP,NTPL,RSTPSU1TO6,RSTPSU7,TALST2,SIMHST1,SIMHST2,KUDGI,TelanganaSTPP,VALLURNTECL,NLCIIST1,NLCIIST2,NLCEXP,FSTPP I & II,KHSTPP-I,KHSTPP-II,TALA,BRBCL,SASAN
1,00:00-00:15,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,6.5208,0,50.181712,0,0,0,76.039376,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.68,44.311,148.302375,4.41,15.00135,348.975

2,00:15-00:30,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,6.5208,0,50.181712,0,0,0,76.039376,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.41,15.00135,348.975

3,00:30-00:45,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,6.5208,0,50.181712,0,0,0,76.039376,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.41,15.00135,348.975

4,00:45-01:00,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,6.5208,0,50.181712,0,0,0,76.039376,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.41,15.00135,348.975

5,01:00-01:15,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,50.833423,0,0,0,76.039376,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.41,15.00135,348.975

6,01:15-01:30,36.432,37.89052,124.384996,130.580717,0,148.982313,12.1695,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,50.833423,0,0,0,77.397222,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.41,15.00135,348.975

7,01:30-01:45,36.432,37.89052,124.384996,130.580717,0,148.982313,10.248,0,22.630299,27.63898,76.692,1.169503,44.306625,3.094586,5.534085,49.506309,4.272092,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,50.833423,0,0,0,77.397222,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.9098,15.00135,348.975

8,01:45-02:00,36.432,37.89052,124.384996,130.580717,0,148.982313,10.248,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,19.529562,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,50.833423,0,0,0,77.397222,0,0,0,77.578921,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,5.1156,15.00135,348.975

9,02:00-02:15,36.432,37.89052,124.384996,130.580717,0,148.982313,9.6075,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,19.529562,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,51.224449,0,0,0,77.397222,0,0,0,78.916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,5.439,15.00135,348.975

10,02:15-02:30,36.432,37.89052,124.384996,130.580717,0,148.982313,9.6075,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,19.529562,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,51.224449,0,0,0,77.397222,0,0,0,78.916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,5.439,15.00135,348.975

11,02:30-02:45,36.432,37.89052,124.384996,130.580717,0,148.982313,9.6075,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,19.529562,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,51.224449,0,0,0,77.397222,0,0,0,78.916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.851,15.00135,348.975

12,02:45-03:00,36.432,37.89052,124.384996,130.580717,0,148.982313,9.6075,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,16.783217,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,51.354791,0,0,0,77.397222,0,0,0,78.916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.851,15.00135,348.975

13,03:00-03:15,36.432,37.89052,124.384996,130.580717,0,148.982313,8.967,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,16.783217,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,51.354791,0,0,0,77.397222,0,0,0,78.916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.851,15.00135,348.975

14,03:15-03:30,36.432,37.89052,124.384996,130.580717,0,148.982313,8.967,0,22.630299,27.63898,76.692,1.169503,44.906625,3.094586,5.534085,49.506309,16.783217,6.745515,0,96.955943,42.14808,0,548.715948,59.175403,422.443785,8.340651,0,10.235073,179.962454,67.990882,0,43.536137,13.0416,0,51.354791,0,0,0,77.397222,0,0,0,78.916488,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.295872,44.311,148.302375,4.851,15.00135,348.975

