Block,Time,RIHAND3,UNCHAHAR4,CHAMERA1,URI,URI2,DADRI_RF,CHAMERA3,TANDA2,KOTESHWR,UNCHAHAR1,RIHAND2,SINGRAULI_HYDRO,DADRI_CRF,RAPPC,RIHAND1,NAPP,SALAL,RAPPB,TANAKPUR,RAMPUR,DHAULIGNGA,TEHRI,AURY_CRF,AURY_RF,ANTA_CRF,CHAMERA2,BSIUL,AURY_GF,ANTA_LF,KOLDAM,DADRI_GF,KISHANGANGA,DADRT2,UNCHAHAR2,ANTA_GF,SINGRAULI,JHAJJAR,PARBATI3,ANTA_RF,DADRI_LF,AURY_LF,SEWA2,NJPC,UNCHAHAR3,DULHASTI,BRBCL,KUDGI,TALA,FSTPP I & II,KHSTPP-I,SASAN,KHSTPP-II,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,119.275495,0.000000,0.000000,47.916360,23.872995,0.000000,0.000000,0.000000,8.558973,7.716000,113.931562,0.553527,0.000000,50.793946,88.734000,0.000000,2.241498,0.000000,3.088811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284.338265,15.432000,0.000000,132.015938,115.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.609500,15.893853,19.290037,62.69,0.000000,8.781387,28.800549,365.997609,52.105666,0,0,0,0,0

2,00:15-00:30,119.275495,0.000000,0.000000,47.916360,23.872995,0.000000,0.000000,0.000000,8.558973,7.716000,113.931562,0.553527,0.000000,50.793946,88.734000,0.000000,2.241498,0.000000,3.088811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284.338265,15.432000,0.000000,132.015938,115.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.609500,15.893853,18.096208,62.69,0.000000,8.781387,28.800549,372.869672,52.105666,0,0,0,0,0

3,00:30-00:45,119.275495,0.000000,0.000000,6.388848,23.872995,0.000000,0.000000,0.000000,8.558973,7.716000,113.931562,0.553527,0.000000,50.793946,88.734000,0.000000,2.241498,0.000000,3.088811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284.338265,15.432000,0.000000,132.015938,115.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.609500,15.893853,16.715914,58.83,0.000000,8.781387,28.800549,382.183125,46.995841,0,0,0,0,0

4,00:45-01:00,119.275495,0.000000,0.000000,6.388848,23.872995,0.000000,0.000000,0.000000,8.558973,7.716000,113.931562,0.553527,0.000000,50.793946,88.734000,0.000000,2.241498,0.000000,3.088811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,284.338265,15.432000,0.000000,132.015938,115.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.609500,15.893853,15.897540,58.83,0.000000,8.781387,28.800549,389.868984,46.995841,0,0,0,0,0

5,01:00-01:15,119.275495,0.000000,0.000000,6.388848,23.872995,0.000000,0.000000,0.000000,8.558973,7.716000,113.931562,0.553527,0.000000,50.793946,88.734000,0.000000,2.241498,0.000000,3.088811,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,250.580765,15.432000,0.000000,132.015938,115.740000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,10.609500,15.893853,16.326947,57.87,0.000000,8.781387,28.800549,396.741047,46.995841,0,0,0,0,0

