Column1,Block,NR/2025/24839/A/49799,NR/2025/24837/A/49794,NR/2024/24434/A/49713,NR/2025/24838/A/49796,GNA/NR/2025/01/01/3733,GNA/WR/2025/01/01/8625,GNA/NR/2025/01/20/9046,NR/30092023/26122029/SH-06,GNA/NR/2025/01/20/4168,GNA/NR/2025/01/01/6775,GNA/NR/2025/01/01/6528,GNA/NR/2025/01/01/3945,GNA/NR/2025/01/20/9333,GNA/NR/2025/01/01/7459,GNA/NR/2025/01/01/3925,GNA/NR/2025/01/01/8738,NR/2024/24418/A/49661,NR/2024/24507/A/50024,NR/2024/24566/A/49704,SR/2024/15456/A/49703,NR/2025/24918/C,WR/2024/25501/A/49972,NER/2024/2820/A/49981,NR/2024/24614/A/50022,NR/2024/24435/A/49712,NR/2025/24921/C,NR/2024/24508/A/50023,NR/2025/24922/C,NR/2025/24930/C,NR/2025/24931/C,GNA/NR/2025/01/01/8058,GNA/NR/2025/01/01/5531,GNA/NR/2025/01/20/2470,GNA/NR/2025/01/02/1250,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/WR/2025/01/01/9606,GNA/NR/2025/01/20/5216,GNA/WR/2024/11/01/4200,GNA/NR/2025/01/20/4698,GNA/NR/2025/01/01/3514,Total
,,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,IEXL,OIDLWM2_AEROCITY,IEXL,TPTCL,HPXL,PUNJAB,HPXL,NDMC,NDMC,NDMC,PXIL,NDMC,HPXL,IEXL,ITCLH,NVVNL,IEXL,IEXL,TPDDL,APPCPL,APPCPL,NVVNL,IEXL,NVVNL,NVVNL,NVVNL,SJVNL,SJVNL,IEXL,PXIL,HPXL,IEXL,DELHI,BAWANA_GAS,APPCPL,HPXL,MANIKARAN,HPXL,HPXL,
,,NA,NA,NA,NA,ODISHA_STATE,DELHI_UT,NA,DELHI_UT,MSEB_State,NA,NA,NA,NA,NA,NA,MP_State,ANDHRA_PRADESH_STATE,NA,TELANGANA_State,DELHI_UT,NA,DELHI_UT,DELHI_UT,NA,KARNATAKA_STATE,NA,NA,NA,NA,NA,NA,NA,Meghalaya_State,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,TELANGANA_State,DELHI_UT,TAMILNADU_State,NA,
,,TCSPL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,NBVLIPP,BYPL,SIMHAPURI,BAWANA_GAS,GRETAENERGY,RKM_POWER,SKS_Raigarh,JPL2,SINGOLI,RKM_POWER,JPNIGRIE_JNSTPP,JP_BINA,ITCWIND,JIPL,NSLKSLWPRTY,BYPL,JHAJJAR,BRPL,BYPL,TRN_ENERGY,NSLSUGARALAND,JIPL,TRN_ENERGY,TRN_ENERGY,RSRPL_BKN,TPSL_BKN2,JPNIGRIE_JNSTPP,JPNIGRIE_JNSTPP,Meghalaya_Ben,SKS_Raigarh,CHANJUII,BAWANA_GAS,BYPL,ZUARICEMCPP,BRPL,GAYATRIGREENTN,SKS_Raigarh,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,MSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,GOA_State,Manipur_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,HARYANA_STATE,MSEB_State,DELHI_UT,MSEB_State,DELHI_UT,DELHI_UT,
,,OIDLWM3_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,OIDLWM2_AEROCITY,BRPL,TPC_MSEB,BRPL,PUNJAB,BRPL,NDMC,NDMC,NDMC,BRPL,NDMC,BRPL,BRPL,ITCLH,NDMC,MES_Delhi,TANGEDCO,TPDDL,GOA_Beneficiary,Manipur_Ben,NDMC,MES_Delhi,NDMC,NDMC,NDMC,NDMC,NDMC,BRPL,BRPL,BRPL,BRPL,TPDDL,HARYANA,AEML,BRPL,AEML,BRPL,BRPL,
,,North-North,North-North,North-North,North-North,East-North,North-West,South-East-North,North-North,West-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,South-West-North,East-North,South-West-North,North-West-South,North-North,North-West,North-East-North East,West-North,South-West-North,East-North,West-North,West-North,North-North,North-North,West-North,West-North,North East-East-North,West-North,North-North,North-North,North-West,South-East-North,North-West,South-East-North,West-North,
1,00:00-00:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

2,00:15-00:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

3,00:30-00:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

4,00:45-01:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

5,01:00-01:15,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

6,01:15-01:30,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

7,01:30-01:45,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

8,01:45-02:00,0,0,0,0,20.17,0,0,0,0,26.9,8.65,26.9,0,26.9,48.04,48.04,0.38,17.29,5.76,0,0,0,0,0,9.61,0,8.73,0,0,0,26.9,28.82,0,48.04,1.56,0,0,0,0,0,19.21,371.9

