Column1,Time,NR/26072023/25122043/L_NR_2023_10,NR/01102023/13082046/L_NR_2021_12,NR/01102023/02122045/L_NR_2021_13,NR/01102023/08032047/L_NR_2021_14,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,WR/01102023/29112042/RUMS(L_NR_2019_06),L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/30052048/L_NR_2022_10,NR/22102023/11042047/L_NR_2021_17,NR/22102023/11042047/L_NR_2021_16,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,WR/01102023/24112044/L_NR_2020_07,WR/01102023/31032046/L_NR_2020_05,SR/01102023/07102043/L_NR_2018_61,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/10/01/9072,GNA/NR/2024/10/01/9582,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/01102023/31102037/L_NR_2019_11,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2024/10/01/3642,GNA/NR/2024/10/11/8945,GNA/NR/2024/10/01/8106,GNA/NR/2024/10/11/8869,NR/01102023/30042040/GNA_LT_35,GNA/NR/2024/10/01/6101,NR/01102023/06022042/L_NR_2012_02,NR/01102023/19072037/LT-05,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31052040/LT-31,NR/30092023/26122029/SH-06,NR/01102023/30042040/GNA_LT_36,NR/30092023/31122025/SH-07
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,8,3.54,37.47,12.49,31.29,3.43,67.91,3.24,133.1,6.3,37.47,0,12.49,145.52,0,37.47,263.38,42.78,101.07,0,25.34,0,25.34

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,7.8,3.54,37.47,12.49,31.29,3.43,67.91,3.24,133.1,6.3,37.47,0,12.49,145.52,0,37.47,263.38,42.78,101.07,0,25.34,0,25.34

3,00:30-00:45,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,7.6,3.54,37.47,12.49,31.29,3.43,67.91,3.24,133.1,6.3,37.47,0,12.49,145.52,0,37.47,263.38,42.78,101.07,0,25.34,0,25.34

4,00:45-01:00,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,7.4,3.54,37.47,12.49,31.29,3.43,67.91,3.24,133.1,6.3,37.47,0,12.49,145.52,0,37.47,263.38,42.78,101.07,0,25.34,0,25.34

5,01:00-01:15,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,7.2,3.54,37.47,12.49,31.29,3.43,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,263.38,42.78,101.07,0,26.91,0,26.91

6,01:15-01:30,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,7,3.54,37.47,12.49,31.29,3.43,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,263.38,42.78,85.37,0,26.91,0,26.91

7,01:30-01:45,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,6.8,3.54,37.47,12.49,31.29,3.43,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,263.38,42.78,80.52,0,26.91,0,26.91

8,01:45-02:00,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,6.8,3.54,37.47,12.49,31.29,3.43,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,263.38,42.78,70.82,0,26.91,0,26.91

9,02:00-02:15,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,6.8,3.45,37.47,12.49,31.29,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,255.7,42.78,53.36,0,26.91,0,26.91

10,02:15-02:30,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,6.8,3.45,37.47,12.49,31.29,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,255.7,42.78,53.36,0,26.91,0,26.91

11,02:30-02:45,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,6.8,3.45,37.47,12.49,30.28,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.59,35.37,53.36,0,26.91,0,26.91

12,02:45-03:00,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7.34,14,7.33,22,6.8,3.45,37.47,12.49,30.28,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,246,35.37,53.36,0,26.91,0,26.91

13,03:00-03:15,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

14,03:15-03:30,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

15,03:30-03:45,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

16,03:45-04:00,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,3.28,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

17,04:00-04:15,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,2.74,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

18,04:15-04:30,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,2.74,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

19,04:30-04:45,0,0,0,0,0,0,0,0,0,0,14,0,0,6.66,7,14,7,21,6.8,3.45,37.47,12.49,30.28,2.74,67.91,3.08,133.1,6.21,37.47,0,12.49,145.52,0,37.47,228.54,35.37,53.36,0,26.91,0,26.91

