Column1,Time,NR/26072023/31072042/L_NR_2023_07,NR/01102023/25072045/L_NR_2021_15,NR/26072023/25122043/L_NR_2023_10,NR/01102023/02122045/L_NR_2021_13,NR/01102023/13082046/L_NR_2021_12,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,WR/01102023/29112042/L_NR_2019_05,WR/01102023/30052048/L_NR_2022_10,L_NR_2019_19,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/31032046/L_NR_2020_05,WR/01102023/16072048/L_NR_2022_08,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,GNA/NR/2024/11/01/4503,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,NR/01102023/06022042/L_NR_2012_07,GNA/NR/2024/11/01/5474,NR/01102023/30042040/GNA_LT_36,GNA/NR/2024/11/01/5444,GNA/NR/2024/11/01/9042,NR/01102023/15082037/GNA_NR_2012_01,NR/01082024/19092033/Chanju/TPDDL/01082024,NR/30092023/31122025/SH-07,GNA/NR/2024/11/01/5428,NR/01102023/30042040/GNA_LT_35,NR/01102023/31102037/L_NR_2019_11,NR/01102023/06022042/L_NR_2012_02,NR/01102023/22052037/LT-59,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/22102023/11042047/L_NR_2021_16,NR/22102023/11042047/L_NR_2021_17,NR/01102023/05012040/L_NR_2020_02,GNA/NR/2024/11/01/9061,NR/01102023/19072037/LT-05,NR/30092023/26122029/SH-06,GNA/NR/2024/11/01/1868,NR/01102023/31052040/LT-31,SR/01102023/07102043/L_NR_2018_61,GNA/WR/2024/11/01/4200,GNA/WR/2024/10/15/7089,GNA/NR/2024/11/01/3646
1,00:00-00:15,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,231.38,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.78,29.27,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

2,00:15-00:30,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,231.38,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.78,29.27,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

3,00:30-00:45,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,231.38,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

4,00:45-01:00,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,231.38,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

5,01:00-01:15,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,192.82,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

6,01:15-01:30,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,192.82,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

7,01:30-01:45,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

8,01:45-02:00,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,100.44,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

9,02:00-02:15,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,91.59,3.13,0,26.03,0,2.07,205.88,1.4,29.77,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

10,02:15-02:30,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,86.77,3.13,0,26.03,0,2.07,205.88,1.4,29.27,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

11,02:30-02:45,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,81.95,3.13,0,26.03,0,2.07,205.88,1.4,29.27,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

12,02:45-03:00,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,81.95,3.13,0,26.03,0,2.07,205.88,1.4,29.27,0,0,1.9,26.03,70.29,0,8.68,0,7.21,0,0,87.2

13,03:00-03:15,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,81.95,3.04,0,26.03,0,2,205.88,1.32,28.26,0,0,1.9,26.03,70.29,0,8.68,0,11,0,0,87.2

14,03:15-03:30,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,86.77,3.04,0,26.03,0,2,205.88,1.32,28.26,0,0,1.9,26.03,70.29,0,8.68,0,10.8,0,0,87.2

15,03:30-03:45,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,91.59,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,10.6,0,0,87.2

16,03:45-04:00,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,81.95,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,10.4,0,0,87.2

17,04:00-04:15,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,77.13,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,8,0,0,87.2

18,04:15-04:30,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,149.93,68,261.61,0,26.03,17.35,72.31,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7.8,0,0,87.2

19,04:30-04:45,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,173.54,68,261.61,0,26.03,17.35,86.77,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7.6,0,0,87.2

20,04:45-05:00,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,173.54,68,261.61,0,26.03,17.35,96.41,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7.4,0,0,87.2

21,05:00-05:15,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,173.54,68,261.61,0,26.03,17.35,53.03,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7.2,0,0,87.2

22,05:15-05:30,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,173.54,68,261.61,0,26.03,17.35,54.95,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7,0,0,87.2

23,05:30-05:45,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,192.82,68,261.61,0,26.03,17.35,57.85,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7,0,0,87.2

24,05:45-06:00,0,0,0,0,0,0,6.67,0,13.33,0,0,0,20,6.66,6.66,13.33,8.68,231.38,68,261.61,0,26.03,17.35,53.03,3.04,0,26.03,0,2,205.88,1.32,27.76,0,0,1.9,26.03,70.29,0,8.68,0,7,0,0,87.2

25,06:00-06:15,0,0,0,0,0,0,6.67,0.8,13.33,0,2,0.82,20,6.66,6.66,13.33,8.68,272.6,68,0,0,26.03,17.35,69.42,3.04,0,26.03,0,1.92,261.75,1.4,27.76,0,0,1.85,26.03,70.29,0,8.68,0,7,0,0,0

