Block,Time Block,KOTESHWR,KUDGI,KOLDAM,NTPL,NLCEXP,NLCIIST1,NJPC,NLCIIST2,MAPS,NLCTS2EXP,NNTPP,NAPP,KGSU3AND4,DHAULIGNGA,FSTPP I & II,KHSTPP-II,DULHASTI,KKNPPU2,KKNP,KHSTPP-I,JHAJJAR,KGSU1AND2,KISHANGANGA,DADRT2,CHAMERA1,BSIUL,CHAMERA3,CHAMERA2,BRBCL,DADRI_CRF,DADRI_RF,AURY_RF,DADRI_LF,AURY_LF,DADRI_GF,URI,UNCHAHAR4,VALLURNTECL,URI2,ANTA_GF,ANTA_CRF,ANTA_LF,AURY_CRF,AURY_GF,ANTA_RF,TelanganaSTPP,UNCHAHAR3,SIMHST1,UNCHAHAR2,SIMHST2,SINGRAULI_HYDRO,TEHRI,SINGRAULI,UNCHAHAR1,TANDA2,TALST2,TALA,TANAKPUR,RIHAND3,RSTPSU7,SALAL,SEWA2,RAPPB,RAMPUR,RIHAND2,RIHAND1,PARBATI3,RSTPSU1TO6,SASAN,RAPPC,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,8.52,0,0,0,0,0,0,0,0,0,0,42.27,0,0,10.99,78.36,0,0,0,18.39,345.73,0,0,180.76,0,0,0,0,19.21,0,0,0,0,0,0,1.07,0,0,4.14,0,0,0,0,0,0,0,14.07,0,22.46,0,0,0,121.01,5.97,0,0,0,1.97,119.44,0,1.34,0,0,0,114.09,88.38,0,0,401.64,51.81,0,0,0,0,0

2,00:15-00:30,8.52,0,0,0,0,0,0,0,0,0,0,42.27,0,0,10.99,78.36,0,0,0,18.39,345.73,0,0,180.76,0,0,0,0,19.21,0,0,0,0,0,0,1.07,0,0,4.14,0,0,0,0,0,0,0,14.07,0,22.46,0,0,0,121.01,5.97,0,0,0,1.97,119.44,0,1.34,0,0,0,114.09,88.38,0,0,402.31,51.81,0,0,0,0,0

3,00:30-00:45,8.52,0,0,0,0,0,20.02,0,0,0,0,42.27,0,0,10.99,78.36,0,0,0,18.39,345.73,0,0,180.76,0,0,0,0,18.65,0,0,0,0,0,0,1.07,0,0,4.14,0,0,0,0,0,0,0,14.07,0,22.46,0,0,0,121.01,5.97,0,0,0,1.97,119.44,0,1.34,0,0,0,114.09,88.38,0,0,402.31,51.81,0,0,0,0,0

4,00:45-01:00,8.52,0,0,0,0,0,20.02,0,0,0,0,42.27,0,0,10.99,78.36,0,0,0,18.39,345.73,0,0,180.76,0,0,0,0,14.98,0,0,0,0,0,0,1.07,0,0,4.14,0,0,0,0,0,0,0,14.07,0,22.46,0,0,0,121.01,5.97,0,0,0,1.97,119.44,0,1.34,0,0,0,114.09,88.38,0,0,402.31,51.81,0,0,0,0,0

5,01:00-01:15,8.52,0,0,0,0,0,20.02,0,0,0,0,42.27,0,0,10.99,78.36,0,0,0,18.39,345.73,0,0,180.76,0,0,0,0,13.57,0,0,0,0,0,0,1.07,0,0,4.14,0,0,0,0,0,0,0,14.07,0,22.46,0,0,0,121.01,5.97,0,0,0,1.97,119.44,0,1.34,0,0,0,114.09,88.38,0,0,402.31,51.81,0,0,0,0,0

