Column1,Time,L_NR_2019_19,GNARE/NR/2024/12/20/3668,WR/01102023/01102023/L_NR_2022_09,WR/01102023/31032046/L_NR_2020_05,WR/01102023/29112042/L_NR_2019_05,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),WR/01102023/24112044/L_NR_2020_07,NR/01102023/08032047/L_NR_2021_14,WR/01102023/01102023/L_NR_2020_06,NR/26072023/31072042/L_NR_2023_07,WR/01102023/30052048/L_NR_2022_10,NR/01102023/13082046/L_NR_2021_12,WR/01102023/16072048/L_NR_2022_08,GNARE/SR/2025/01/13/4532,NR/30092023/31122025/SH-07,NR/30092023/26122029/SH-06,NR/01102023/22052037/LT-59,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/31102037/L_NR_2019_11,NR/01102023/31052040/LT-31,GNA/NR/2025/08/01/5126,GNA/NR/2025/08/01/3698,GNA/NR/2025/08/01/4125,GNA/NR/2025/07/01/8128,GNA/NR/2025/08/01/1196,NR/01102023/30042040/GNA_LT_36,NR/01042024/23072042/NR/01102023/23072042/L_NR_2012_04,GNA/NR/2025/08/01/5784,GNA/NR/2025/08/01/6475,NR/01102023/27052033/DIAPL(L_NR_2023_04),GNA/NR/2025/08/01/6452,GNA/NR/2025/07/01/2952,NR/01102023/06022042/L_NR_2012_02,NR/01102023/30042040/GNA_LT_35,GNA/NR/2025/08/01/4452,GNA/NR/2025/08/01/6187,NR/01102023/05012040/L_NR_2020_02,NR/26072023/25122043/L_NR_2023_10,NR/22102023/11042047/L_NR_2021_16,NR/01102023/25072045/L_NR_2021_15,NR/01102023/02122045/L_NR_2021_13,NR/22102023/11042047/L_NR_2021_17,GNA/NR/2025/08/01/6209,GNA/NR/2025/07/01/1044,NR/01102023/06022042/L_NR_2012_07,NR/01102023/19072037/LT-05,GNA/NR/2025/08/01/2414,GNA/NR/2025/06/07/5932,NR/01082024/19092033/Chanju/TPDDL/01082024
1,00:00-00:15,0,0,21,22.5,0,0,0,7.5,0,7.5,0,21,0,5,43.62,26.93,26.93,0,96.72,0,0,20.47,8.76,8.76,5.81,19.27,0,270.98,81.9,20.79,0,20.47,3.87,130.36,0,15.27,17.38,0,0,0,0,0,0,33.72,2.68,86.91,35.14,40.95,-0,15.49

2,00:15-00:30,0,0,20,22.5,0,0,0,7.5,0,7.5,0,20,0,5,42.82,26.93,26.93,0,96.72,0,0,20.47,8.76,8.76,5.81,19.27,0,270.98,81.9,20.79,0,20.47,3.87,130.36,0,15.27,17.38,0,0,0,0,0,0,33.72,2.68,86.91,35.14,40.95,-0,15.49

3,00:30-00:45,0,0,19.67,22.5,0,0,0,7.5,0,7.5,0,19.66,0,5,41.82,26.93,26.93,0,96.72,0,0,20.47,8.76,8.76,5.81,19.27,0,270.98,81.9,20.79,0,20.47,3.87,130.36,0,15.27,17.38,0,0,0,0,0,0,33.72,2.68,86.91,35.14,40.95,-0,15.49

4,00:45-01:00,0,0,19.33,22.5,0,0,0,7.5,0,7.5,0,19.34,0,5,41.42,26.93,26.93,0,96.72,0,0,20.47,8.76,8.76,5.81,19.27,0,270.98,81.9,20.79,0,20.47,3.87,130.36,0,15.27,17.38,0,0,0,0,0,0,33.72,2.68,86.91,35.14,40.95,-0,15.49

5,01:00-01:15,0,0,18.33,22.5,0,0,0,7.5,0,7.5,0,18.34,0,5,41.82,26.93,26.93,0,96.72,0,0,20.47,8.76,8.76,5.96,19.27,0,270.98,81.9,20.79,0,20.47,4.01,130.36,0,15.27,17.38,0,0,0,0,0,0,33.72,3.24,86.91,35.14,40.95,-0,15.49

