Block,Time,NR/06012024/31012024/NVVN/OA/16855,NR/24012024/24012024/HPX-TAMCTG-230124-05893,NR/01012024/31012024/5412UPCL/CE(Comm)/SE/Banking dt. 17.11.2023,NR/01102023/19072037/LT-05,NR/01012024/31032024/ ChanjuII,NR/01012024/31012024/52,NR/20122023/29022024/IEX_LDC_231218_00502,NR/24012024/24012024/DD20240124NR22350,NR/01102023/30042040/GNA_LT_35,NR/30092023/31122025/SH-07,NR/01102023/27052033/DIAPL(L_NR_2023_04),NR/24012024/24012024/DD20240124NR22345,NR/01102023/31052040/LT-31,NR/01102023/31102037/L_NR_2019_11,NR/24012024/24012024/IEX_240123_06167,NR/24012024/24012024/DD20240124NR22343,NR/01012024/31012024/HP-28,NR/01102023/15082037/GNA_NR_2012_01,NR/01102023/06022042/L_NR_2012_02,NR/01102023/05012040/L_NR_2020_02,NR/01102023/30042040/GNA_LT_36,NR/01012024/31012024/HP-27,NR/24012024/24012024/IEX_240123_06164,NR/01012024/31012024/HP-26,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05424,NR/24012024/24012024/DD20240124NR22346,NR/01102023/23072042/L_NR_2012_04,NR/01102023/22052037/LT-59,NR/01102023/06022042/L_NR_2012_07,NR/24012024/24012024/HPX-TAMCTG-230124-05881,NR/20122023/29022024/IEX_LDC_231218_00501,NR/01012024/31012024/HPX-TAMLDCRA-141223-05419,NR/30092023/26122029/SH-06,NR/24012024/24012024/HPX-TAMCTG-230124-05882,NR/24012024/24012024/HPX-TAMCTG-230124-05883,NR/01012024/31012024/HPX-GTAMLDCRA-141223-05423,SR/01102023/07102043/L_NR_2018_61,WR/01102023/29112042/RUMS(L_NR_2019_07),WR/01102023/29112042/RUMS(L_NR_2019_06),NR/01102023/13082046/L_NR_2021_12,NR/26072023/31072042/L_NR_2023_07,WR/01102023/31032046/L_NR_2020_05,NR/22102023/11042047/L_NR_2021_16,NR/26072023/25122043/L_NR_2023_10,WR/01102023/16072048/L_NR_2022_08,NR/05012024/31012024/SJVN050124NR1341,NR/01102023/02012046/L_NR_2021_17,NR/01102023/14082046/L_NR_2021_16,NR/05012024/31012024/SJVN050124NR1342,WR/01102023/30052048/L_NR_2022_10,NR/01102023/08032047/L_NR_2021_14,WR/01102023/24112044/L_NR_2020_07,L_NR_2019_19,WR/01102023/29112042/L_NR_2019_05,NR/01102023/25072045/L_NR_2021_15,WR/01102023/01102023/L_NR_2020_06,WR/01102023/01102023/L_NR_2022_09,NR/22102023/11042047/L_NR_2021_17,NR/01102023/02122045/L_NR_2021_13
1,00:00-00:15,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,19.300000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,198.230000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,270.340000,0.690000,55.930000,0.000000,8.170000,6.730000,19.300000,0.000000,0.000000,5.770000,10.04,0,0,0,0,42.81,0,0,10.08,0,0,0,0,26.75,0,14.27,0,0,0,14.27,26.75,0,0

2,00:15-00:30,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,19.300000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,230.690000,0.690000,55.930000,0.000000,8.170000,6.730000,19.300000,0.000000,0.000000,5.770000,9.89,0,0,0,0,41.87,0,0,9.53,0,0,0,0,26.32,0,13.96,0,0,0,13.95,26.32,0,0

3,00:30-00:45,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,192.240000,0.690000,55.930000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,9.78,0,0,0,0,40.22,0,0,8.99,0,0,0,0,25.09,0,13.41,0,0,0,13.4,25.09,0,0

4,00:45-01:00,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,192.240000,0.690000,55.930000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,9.66,0,0,0,0,38.17,0,0,8.49,0,0,0,0,24.5,0,12.72,0,0,0,12.72,24.5,0,0

5,01:00-01:15,48.060000,67.280000,48.060000,65.930000,1.370000,0.000000,11.530000,0.000000,0.000000,25.870000,24.030000,0.000000,0.000000,0.950000,0.000000,0.000000,24.500000,50.820000,169.390000,1.380000,0.000000,57.240000,0.000000,152.330000,0.000000,18.260000,0.000000,148.680000,0.690000,32.270000,0.000000,8.170000,6.730000,25.870000,0.000000,0.000000,5.770000,9.6,0,0,0,0,36.31,0,0,6.66,0,0,0,0,17,0,12.1,0,0,0,12.11,17,0,0

