Block,Time Block,TANDA2,UNCHAHAR2,URI,UNCHAHAR1,TANAKPUR,UNCHAHAR4,TEHRIPSP,VALLURNTECL,UNCHAHAR3,URI2,TEHRI,TelanganaSTPP,TALA,TALST2,SASAN,SINGRAULI_HYDRO,SIMHST1,SIMHST2,SINGRAULI,SALAL,SEWA2,RIHAND3,RSTPSU1TO6,RIHAND2,RAPPD,RIHAND1,RSTPSU7,KGSU3AND4,KHSTPP-II,JHAJJAR,KHSTPP-I,DHAULIGNGA,FSTPP I & II,DADRT2,DULHASTI,KGSU1AND2,NTPL,PARBATI2,RAMPUR,NLCIIST1,RAPPC,NLCIIST2,NLCTS2EXP,NNTPP,PARBATI3,RAPPB,CHAMERA1,BSIUL,BRBCL,CHAMERA2,CHAMERA3,AURY_RF,DADRI_LF,DADRI_GF,DADRI_CRF,DADRI_RF,MAPS,NAPP,NLCEXP,KOTESHWR,NJPC,KKNP,KKNPPU2,KISHANGANGA,KOLDAM,KUDGI,AURY_GF,AURY_LF,ANTA_LF,ANTA_GF,AURY_CRF,ANTA_CRF,ANTA_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,5.33,43.25,50.93,20.81,12.55,3.09,79.94,0,26.61,37.45,61.37,0,27.12,0,323.79,0.63,0,0,109.33,46.91,11.74,125.75,0,120.4,23.03,94.5,0,0,93.75,451.91,43.76,40.81,14.03,525.71,53.23,0,0,0,0,0,62.88,0,0,0,35.72,0,40.51,0,16.55,45.29,0,0,0,0,0,0,0,23.41,0,29.25,0,0,0,6.69,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,5.33,43.25,50.93,20.81,12.55,3.09,79.94,0,26.61,37.45,61.37,0,27.12,0,324.37,0.63,0,0,109.33,46.91,11.74,125.75,0,120.4,23.03,94.5,0,0,93.75,451.91,43.76,40.81,14.03,492.07,53.23,0,0,0,0,0,62.88,0,0,0,35.72,0,40.51,0,15.91,45.29,0,0,0,0,0,0,0,23.41,0,29.25,0,0,0,6.69,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,5.33,43.25,50.93,19.66,12.55,3.09,79.94,0,26.61,37.45,61.37,0,27.12,0,324.37,0.63,0,0,109.33,46.91,11.74,125.75,0,120.4,23.03,94.5,0,0,93.75,430.46,43.76,40.81,14.03,492.07,53.23,0,0,0,0,0,62.88,0,0,0,35.72,0,40.51,0,14.55,45.29,0,0,0,0,0,0,0,23.41,0,29.25,0,0,0,6.69,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,5.33,43.25,45.62,19.66,12.55,3.09,79.94,0,26.61,37.45,61.37,0,27.12,0,324.37,0.63,0,0,109.33,46.91,11.74,125.75,0,120.4,23.03,94.5,0,0,93.75,421.16,43.76,40.81,14.03,492.07,53.23,0,0,0,0,0,62.88,0,0,0,35.72,0,40.51,0,13.38,45.29,0,0,0,0,0,0,0,23.41,0,29.25,0,0,0,6.69,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,5.33,38.88,45.62,18.37,12.55,3.09,79.94,0,23.98,37.45,61.37,0,21.84,0,324.37,0.63,0,0,109.33,46.91,11.74,125.75,0,120.4,23.03,94.5,0,0,93.75,409.44,43.76,40.81,14.03,447.86,53.23,0,0,0,0,0,62.88,0,0,0,35.72,0,40.51,0,13.38,45.29,0,0,0,0,0,0,0,23.41,0,29.25,0,0,0,6.69,8.28,0,0,0,0,0,0,0,0,0,0,0,0,0

