Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/31136/A/89015,NR/2025/31137/A/89018,NR/2025/31136/A/89014,NR/2025/31347/A/88566,NR/2025/31138/A/89021,NR/2025/31138/A/89020,NR/2025/31137/A/89019,NR/2025/31571/C,NR/2025/31557/C,NR/2025/31515/C,NR/2025/31578/C,NR/2025/31563/C,NR/2025/31521/C,NR/2025/31579/C,NR/2025/31625/C,NR/2025/29985/A/88970,NR/2025/31419/A/89017,NR/2025/31420/A/89016,NR/2025/29353/A/89088,SR/2025/18628/C,NR/2025/30121/A/88570,NR/2025/30082/A/89081,NR/2025/29167/A/88629,NR/2025/30083/A/89070,NR/2025/30086/A/89067,NR/2025/30067/A/89153,NR/2025/27975/A/89062,NR/2025/29439/A/88691,NR/2025/30084/A/89068,NR/2025/27973/A/89061,NR/2025/30191/A/88567,NR/2025/31126/A/88683,NR/2025/30105/A/89066,NR/2025/27965/A/89059,NR/2025/29440/A/88552,NR/2025/26975/A/89078,NR/2025/27966/A/89060,NR/2025/28728/A/89048,NR/2025/31627/C,NR/2025/31631/C,NR/2025/29352/A/89089,NR/2025/31593/C,NR/2025/31622/C,NR/2025/31628/C,NR/2025/30101/A/89132,NR/2025/29628/A/89075,NR/2025/29915/A/88627,NR/2025/31622/C/Alternate/1,NR/2025/30217/A/89065,NR/2025/31339/A/88968,NR/2025/27978/A/89133,NR/2025/31632/C,NR/2025/31633/C,NR/2025/31618/C,NR/2025/31634/C,NR/2025/29910/A/89073,NR/2025/31619/C,NR/2025/31635/C,NR/2025/29992/A/88557,GNA/NR/2025/07/16/7255,GNA/SR/2025/07/16/9521,GNA/NR/2025/07/01/1192,NR/30092023/26122029/SH-06,GNA/NR/2025/07/01/8139,GNA/NR/2025/07/01/2786,NR/30092023/31122025/SH-07,GNA/NR/2025/07/16/5917,GNA/NR/2025/07/01/2997,GNA/NR/2025/07/01/3109,GNA/NR/2025/07/01/8154,NR/01082024/19092033/Chanju/TPDDL/01082024,Total
,,SECI_Trader,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,IEXL,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,PowerPulse,IEXL,BYPL,PowerPulse,HPXL,IEXL,PowerPulse,MES_Delhi,BRPL,GMRETL,GMRETL,PTC,IEXL,IEXL,HPXL,TPTCL,APPCPL,APPCPL,MANIKARAN,PowerPulse,IVPL_Trader,APPCPL,PowerPulse,IEXL,DIAPL,APPCPL,PowerPulse,ITCLH,APPCPL,PowerPulse,PowerPulse,APPCPL,APPCPL,PTC,ITCLH,NVVNL,APPCPL,NVVNL,APPCPL,TPTCL,NVVNL,APPCPL,BRPL,NVVNL,APPCPL,APPCPL,NVVNL,APPCPL,APPCPL,NVVNL,APPCPL,BYPL,PowerPulse,IEXL,PTC,PUNJAB,PowerPulse,NDMC,BAWANA_GAS,PowerPulse,APPCPL,APPCPL,MANIKARAN,DELHI,
,,NA,NA,NA,NA,NA,NA,NA,NA,NA,TAMILNADU_State,KERALA_State,NA,NA,NA,NA,NA,NA,NA,NA,GoHP_NJPC_STATE,DELHI_UT,TAMILNADU_State,NA,MSEB_State,NA,NA,NA,NA,MSEB_State,NA,NA,NA,HIMACHAL_STATE,NA,NA,ANDHRA_PRADESH_STATE,Manipur_State,NA,NA,MSEB_State,NA,GoHP_Chamera1_STATE,ANDHRA_PRADESH_STATE,NA,KERALA_State,MP_State,MSEB_State,UTTARPRADESH_STATE,NA,NA,NA,NA,NA,NA,MP_State,NA,KERALA_State,NA,NA,KERALA_State,NA,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,NA,GOA_State,GOA_State,MSEB_State,HIMACHAL_STATE,
,,APSEPL_FTG,TCSPL_BKN2,TESPL_BKN2,TESPL_BKN2,TPSL_BKN2,TCSPL_BKN2,TESPL_BKN2,TCSPL_BKN2,APL_Raipur_TPP,PCBLTNLTD_UNIT2,KSEB,MAHAN_ENERGEN,SKS_Raigarh,IND_BHARAT,APL_Raigarh_TPP,NTPCREL_PSS2_KPS2_S,TS1PL_BKN,JNEPL_BKN2,JNEPL_BKN2,GoHP_NJPC,BYPL,PCBLTNLTD_UNIT2,SKS_Raigarh,TPC_MSEB,SKS_Raigarh,RKM_POWER,MBMP,APL_Raigarh_TPP,TPC_MSEB,RKM_POWER,APL_Raigarh_TPP,IND_BHARAT,GBHHPL,JIPL,MAHAN_ENERGEN,ITCWIND,Manipur_Ben,MAHAN_ENERGEN,APL_Raipur_TPP,AEML,SKS_Raigarh,GoHP_Chamera1,ITCWIND,Kameng,KSEB,JP_BINA,AEML,PPGCL,Kameng,TRN_ENERGY,DADRT2,JPNIGRIE_JNSTPP,RKM_POWER,JIPL,JP_BINA,TRN_ENERGY,KSEB,JPNIGRIE_JNSTPP,RKM_POWER,KSEB,MAHAN_ENERGEN,BYPL,MEENAKSHI,BAWANA_GAS,APL_Raipur_TPP,JPL2,BAWANA_GAS,APL_Raipur_TPP,GOA_Beneficiary,GOA_Beneficiary,AEML,CHANJUII,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,TAMILNADU_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,PONDICHERRY,DELHI_UT,PUNJAB_STATE,DELHI_UT,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,ABLWM1_AEROCITY,OIDLWM2_AEROCITY,ABLWM1_AEROCITY,MES_Delhi,OIDLWM3_AEROCITY,OIDLWM3_AEROCITY,OIDLWM2_AEROCITY,BRPL,MES_Delhi,BYPL,TPDDL,BRPL,BRPL,TPDDL,MES_Delhi,BRPL,DTCP,BLKMH,BRPL,TANGEDCO,MES_Delhi,BRPL,BYPL,NDMC,NDMC,BRPL,TPDDL,BYPL,NDMC,TPDDL,BRPL,DIAPL,NDMC,TPDDL,ITCLH,BYPL,TPDDL,BRPL,BYPL,NDMC,BRPL,ITCLH,TPDDL,BYPL,TPDDL,BYPL,BRPL,TPDDL,NDMC,BRPL,TPDDL,NDMC,NDMC,TPDDL,NDMC,BYPL,TPDDL,NDMC,BYPL,BRPL,PONDY,BRPL,PUNJAB,BRPL,NDMC,HARYANA,BRPL,BRPL,BRPL,BRPL,TPDDL,
,,North-North,North-North,North-North,North-North,North-North,North-North,North-North,North-North,West-North,South-West-North,South-West-North,West-North,West-North,East-North,West-North,West-North,North-North,North-North,North-North,North-North,North-West-South,South-West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,West-North,East-North,North-North,East-North,West-North,South-West-North,North East-East-North,West-North,West-North,West-North,West-North,North-North,South-West-North,North East-East-North,South-West-North,West-North,West-North,North-North,North East-East-West-North,West-North,North-North,West-North,West-North,East-North,West-North,West-North,South-West-North,West-North,West-North,South-West-North,West-North,North-East-South,South-East-North,North-North,West-North,West-North,North-North,West-North,West-North,West-North,West-North,North-North,
1,00:00-00:15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,120.18,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.91,26.44,0,81.72,0,0,28.6,0,3.43,0,48.07,105.75,20.43,188.85,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,30,134.84,43.7,26.58,81.72,15.24,19.23,20.74,14.54,2119.5199999999995

2,00:15-00:30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,81.72,100.95,6.73,48.07,54.08,8.74,26.22,204.3,0,25.07,26.22,0,48.07,12.5,17.48,0,0.91,26.44,0,81.72,0,0,28.6,0,3.52,0,48.07,105.75,20.43,188.76,7.69,134.6,96.14,0,0,0,0,19.23,0,0,44.22,163.44,35,49.03,30,134.84,43.7,26.58,81.72,15.24,19.23,20.74,14.54,2100.29

