Block,Time,DULHASTI,AURY_CRF,SINGRAULI,URI2,RAMPUR,DADRI_RF,PARBATI3,DADRI_LF,SEWA2,UNCHAHAR1,DADRT2,NJPC,BSIUL,SALAL,TANAKPUR,TEHRI,KOLDAM,RIHAND1,AURY_GF,CHAMERA3,KOTESHWR,ANTA_CRF,DADRI_CRF,JHAJJAR,RIHAND3,DADRI_GF,UNCHAHAR3,KISHANGANGA,AURY_LF,NAPP,ANTA_RF,UNCHAHAR2,SINGRAULI_HYDRO,CHAMERA2,ANTA_LF,CHAMERA1,UNCHAHAR4,URI,TANDA2,ANTA_GF,AURY_RF,RAPPB,RAPPC,DHAULIGNGA,SIMHST2,GANDHAR-APM,GADARWARA-I,SOLAPUR,KAWAS-NAPM,SIPAT I,NLCTS2EXP,KSTPS I&II,GANDHAR-ComGas,NLCIIST1,SASAN,GANDHAR-NAPM,VSTPS IV,BRBCL,MAPS,MOUDA_II,GANDHAR-RLNG,VSTPS V,RIHAND2,NTPL,KAWAS-ComGas,RSTPSU1TO6,KAPS,TAPS-II,SIPAT II,KUDGI,KHSTPP-I,KHSTPP-II,KGSU1AND2,VALLURNTECL,KAWAS-zLIQ,KHARGONE-I,RSTPSU7,KKNP,MOUDA,FSTPP I & II,NNTPP,KGSU3AND4,VSTPS II,KAWAS-RLNG,TALA,NLCIIST2,LARA-I,NLCEXP,VSTPS I,KSTPS7,TALST2,VSTPS III,KAWAS-APM,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,52.153427,0.000000,139.345891,0.000000,1.524684,0.000000,0.000000,0.000000,16.620742,13.336310,421.632109,79.240286,0.000000,82.069155,1.735114,26.659683,4.117545,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,40.778267,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,13.191778,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,32.299988,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.223617,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

2,00:15-00:30,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,1.735114,26.659683,4.117545,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,40.778267,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,14.512451,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,32.299988,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.223617,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

3,00:30-00:45,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,1.735114,26.659683,3.088158,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,27.185512,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,14.342735,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,32.299988,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.223617,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

4,00:45-01:00,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,1.735114,26.659683,2.058772,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,13.592756,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,13.460376,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,32.299988,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.223617,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

5,01:00-01:15,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,1.735114,26.659683,1.029386,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,0.000000,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.390387,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.243956,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

6,01:15-01:30,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,1.735114,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,0.000000,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,10.797944,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.244496,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

7,01:30-01:45,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,2.974482,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,0.000000,1.381209,51.269760,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,10.456977,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.244496,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

8,01:45-02:00,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,417.118759,59.430214,0.000000,82.069155,2.974482,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,0.000000,1.381209,51.269760,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,9.202738,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.244496,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

9,02:00-02:15,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,377.159042,59.430214,0.000000,82.069155,2.974482,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,0.000000,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,8.328158,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

10,02:15-02:30,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,13.336310,351.252823,59.430214,0.000000,82.069155,2.974482,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,494.042265,122.408100,0.000000,18.253436,2.468553,0.000000,42.715690,0.000000,42.130732,1.001148,42.217018,0.000000,0.000000,1.381209,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,10.139450,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,19.955074,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

11,02:30-02:45,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,11.528934,343.978485,59.430214,0.000000,82.069155,2.974482,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,487.269765,122.408100,0.000000,15.389240,2.468553,0.000000,42.715690,0.000000,34.193822,1.001148,42.217018,0.000000,0.000000,1.078588,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,10.720150,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

12,02:45-03:00,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,11.429822,343.988606,59.430214,0.000000,82.069155,2.974482,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,487.269765,122.408100,0.000000,11.784696,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.779988,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,30.831806,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

13,03:00-03:15,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,11.435557,345.913600,59.430214,0.000000,76.785250,8.551636,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,487.269765,122.408100,0.000000,13.116944,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,32.593624,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

14,03:15-03:30,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,11.435557,345.923254,59.430214,0.000000,76.785250,8.551636,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,487.269765,122.408100,0.000000,13.116944,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,33.474532,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

15,03:30-03:45,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,0.000000,0.000000,16.620742,11.435557,305.856259,59.430214,0.000000,76.785250,8.551636,26.659683,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,487.269765,122.408100,0.000000,13.116944,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,34.355441,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

16,03:45-04:00,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,3.762736,0.000000,16.620742,11.435557,305.856259,59.430214,0.000000,76.785250,1.735114,17.773122,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,429.219765,122.408100,0.000000,13.116944,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,35.236350,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

17,04:00-04:15,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,3.762736,0.000000,16.620742,9.746208,221.234164,59.430214,0.000000,76.785250,1.735114,17.773122,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,371.169765,122.408100,0.000000,13.157691,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.740260,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,36.998168,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

18,04:15-04:30,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,3.762736,0.000000,16.620742,9.746208,184.918759,59.430214,0.000000,76.785250,1.735114,8.886561,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,313.119765,122.408100,0.000000,13.157691,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,38.759985,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

19,04:30-04:45,52.153427,0.000000,139.345891,0.000000,1.148640,0.000000,6.719173,0.000000,16.620742,9.746208,184.918759,59.430214,0.000000,76.785250,1.735114,0.000000,0.000000,77.368016,0.000000,30.679167,8.429696,0.000000,0.000000,363.913515,122.408100,0.000000,13.157691,2.468553,0.000000,42.715690,0.000000,33.167545,1.001148,42.217018,0.000000,0.000000,0.684268,47.531340,2.360797,0.000000,0.000000,0.000000,57.092134,9.592893,0.89,0.000000,4.154348,1.713669,0.000000,5.141006,0.81,2.872831,0.000000,1.28,337.633312,0.000000,2.596468,12.759390,0.24,3.397561,0.000000,1.284386,58.386054,1.01,0.000000,5.85,0.794612,2.702613,0.904723,7.68,40.521802,142.721367,1.94,2.30,0.000000,3.427338,1.88,1.57,1.875115,15.117574,0.14,1.06,1.879816,0.000000,0.000000,0.43,4.119736,0.79,2.234056,1.298234,2.93,1.895994,0.000000,0,0,0,0,0

