Block,Time Block,DHAULIGNGA,JHAJJAR,DADRT2,NTPL,TelanganaSTPP,UNCHAHAR2,URI,TEHRI,UNCHAHAR1,VALLURNTECL,UNCHAHAR4,URI2,UNCHAHAR3,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,BSIUL,BRBCL,CHAMERA2,CHAMERA3,CHAMERA1,DULHASTI,FSTPP I & II,NLCEXP,NJPC,NAPP,RAPPC,RSTPSU1TO6,RIHAND3,RIHAND2,RIHAND1,MAPS,NNTPP,RAMPUR,RAPPB,PARBATI3,KHSTPP-I,KISHANGANGA,KHSTPP-II,TANAKPUR,SALAL,SEWA2,SINGRAULI,SASAN,TANDA2,SIMHST1,SINGRAULI_HYDRO,TALST2,SIMHST2,RSTPSU7,TALA,KUDGI,KGSU1AND2,KGSU3AND4,KOTESHWR,KOLDAM,KKNP,KKNPPU2,NLCIIST2,NLCTS2EXP,NLCIIST1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,0,232.15,291.63,0,0,14.69,38.13,0,14.86,0,0,4.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19,0,0,0,0,14.38,0,0,40.98,49.91,0,119.26,113.93,43.17,0,0,0,0,0,32.13,0,72.26,6.01,1.34,0,134,401.57,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,0,232.15,291.63,0,0,14.69,38.13,0,14.86,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.19,0,0,0,0,14.38,0,0,40.98,49.91,0,119.26,113.93,43.17,0,0,0,0,0,32.13,0,69.17,6.01,1.34,0,134,401.73,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,0,232.15,291.63,0,0,14.69,3.18,0,14.86,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.32,0,0,0,0,14.38,0,0,40.98,49.91,0,119.26,113.93,43.17,0,0,0,0,0,32.13,0,74.62,1.1,1.34,0,134,401.73,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,0,230.23,289.71,0,0,11.18,1.38,0,11.52,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.27,0,0,0,0,14.38,0,0,40.98,49.91,0,119.26,113.93,43.17,0,0,0,0,0,32.13,0,81.75,1.1,1.34,0,134,401.73,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,0,230.23,272.44,0,0,11.18,1.38,0,11.52,0,0,18.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.09,0,0,0,0,14.38,0,0,40.98,49.91,0,119.26,113.93,43.17,0,0,0,0,0,32.13,0,81.75,1.1,1.34,0,134,394.99,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0,0,0,0,0,0,0

