Block,Time Block,URI2,VALLURNTECL,ANTA_LF,AURY_GF,DADRI_CRF,DADRI_RF,ANTA_GF,AURY_CRF,AURY_RF,DADRI_LF,ANTA_CRF,ANTA_RF,AURY_LF,DADRI_GF,UNCHAHAR1,UNCHAHAR4,URI,UNCHAHAR3,UNCHAHAR2,TALST2,TelanganaSTPP,TANAKPUR,TALA,TEHRI,TANDA2,SIMHST1,SIMHST2,SINGRAULI,SALAL,SEWA2,SASAN,SINGRAULI_HYDRO,RSTPSU7,RSTPSU1TO6,MAPS,KOTESHWR,KOLDAM,KUDGI,RAPPC,NAPP,NTPL,RIHAND3,PARBATI3,RAPPB,NLCEXP,RIHAND2,NLCIIST1,NJPC,NLCIIST2,RIHAND1,NLCTS2EXP,RAMPUR,NNTPP,KHSTPP-I,KISHANGANGA,KHSTPP-II,KKNP,KKNPPU2,JHAJJAR,KGSU3AND4,KGSU1AND2,BSIUL,CHAMERA3,DHAULIGNGA,FSTPP I & II,CHAMERA2,BRBCL,DULHASTI,DADRT2,CHAMERA1,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,24.63,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,12.32,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,628.31,0,0,6.28,9.33,0,17.54,12.69,19.27,15.88,658.34,0,0,0,0,0,0

2,00:15-00:30,24.63,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,12.32,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,628.31,0,0,6.28,9.33,0,17.54,12.69,18.56,15.88,658.34,0,0,0,0,0,0

3,00:30-00:45,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,68.31,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,628.31,0,0,6.28,9.33,0,17.54,12.69,15.6,15.88,658.34,0,0,0,0,0,0

4,00:45-01:00,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,68.31,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,628.31,0,0,6.28,9.33,0,17.54,12.69,13.91,15.88,658.34,0,0,0,0,0,0

5,01:00-01:15,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,68.31,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,628.31,0,0,6.28,9.33,0,17.54,12.69,13.88,15.88,658.34,0,0,0,0,0,0

6,01:15-01:30,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,68.31,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,628.31,0,0,6.28,9.33,0,17.54,12.69,13.14,15.88,658.34,0,0,0,0,0,0

7,01:30-01:45,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,27.99,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,545.96,0,0,6.28,0,0,17.54,12.69,13.87,15.88,658.34,0,0,0,0,0,0

8,01:45-02:00,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.35,40.85,0,0,0,0,0,0,0,0,134.62,25.76,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,459.22,0,0,6.28,0,0,17.54,12.69,12.72,15.88,658.34,0,0,0,0,0,0

9,02:00-02:15,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.44,40.85,0,0,0,0,0,0,0,0,134.62,25.76,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,380.2,0,0,6.28,0,0,17.54,0,12.65,15.88,658.34,0,0,0,0,0,0

10,02:15-02:30,32.02,0,0,0,0,0,0,0,0,0,0,0,0,0,20.09,0,33.52,25.44,40.85,0,0,0,0,0,0,0,0,134.62,25.76,10.15,327.96,0.76,0,0,0,6.18,0,0,0,40.55,0,119.82,0,0,0,114.45,0,0,0,88.66,0,0,0,44.17,0,142.92,0,0,380.2,0,0,6.28,0,0,17.54,0,13.43,15.88,658.34,0,0,0,0,0,0

