Time,Block,NR/01102023/14082046/L_NR_2021_16,NR/01102023/02012046/L_NR_2021_17,NR/2024/21774/C,NR/2024/21567/A/28533,NR/2024/20574/A/28527,NR/2024/21694/A/28528,NR/2024/21076/A/28572,NR/01072024/31072024/Chanju/TPDDL/Jul01072024,NR/2024/21186/A/28558,NR/2024/21156/A/28289,NR/2024/21173/A/28309,NR/2024/21146/A/28288,NR/2024/21075/A/28575,NR/2024/21802/C,NR/2024/21715/A/28274,NR/23072024/23072024/IEX_240722_01671,NR/2024/21099/A/28250,NR/2024/21142/A/28252,NR/2024/21773/C,NR/2024/21682/A/28619,NR/30092023/31122025/SH-07,NR/2024/21210/A/28253,NR/2024/20931/A/28622,NR/2024/21158/A/28293,NR/01072024/31072024/NDMC/D-55/EE(POWER)2024,NR/30092023/26122029/SH-06,NR/2024/20711/A/28620,NR/2024/21141/A/28251,NR/2024/21339/A/28255,NR/01072024/31072024/R2,NR/2024/21788/C,NR/2024/21159/A/28291,NR/2024/21096/A/28565,NR/01102023/23072042/L_NR_2012_04,NR/05072024/31072024/1000011449-JITPL-BRPL(DISCOM),NR/01072024/31072024/	NR/01072024/31072024/TataPower-DDL/PMG/MSEDCL/Banking/12112023,NR/2024/20688/A/28311,NR/01072024/31072024/NDMC/D-54/EE(POWER)2024,NR/2024/21062/A/28525,NR/2024/21152/A/28235,NR/2024/21199/A/28269,NR/2024/21113/A/28534,NR/2024/21023/A/28270,NR/01102023/25122043/GNA_MEJA_DELHI,NR/01072024/31072024/IIPL/JPL(TM)-BRPL/BRPLT-169/24-25/02,NR/16072024/31072024/NR/16072024/31072024/717758,NR/2024/21183/A/28573,NR/2024/20573/A/28529,NR/2024/21153/A/28285,NR/2024/19779/A/28227,NR/2024/21227/A/28547,NR/01072024/31072024/IIPL/JPL(SH)-BRPL/BRPL T-249/24-25/1,NR/2024/21160/A/28290,NR/2024/21148/A/28287,NR/2024/21798/C,NR/2024/21108/A/28545,NR/2024/21087/A/28310,NR/2024/21103/A/28552,NR/2024/21150/A/28286,NR/2024/20966/A/28236,NR/2024/21238/A/28576,NR/2024/21072/A/28536,NR/2024/21089/A/28535,NR/01072024/31072024/APPCPL/180/F25/TGNA/3250,Total
,,SECI_Trader,SECI_Trader,NVVNL,NVVNL,PTC,APPCPL,MANIKARAN,TPDDL,NVVNL,UHL,GMRETL,BAL184,MANIKARAN,HPXL,DIAPL,IEXL,TPTCL,TPTCL,NVVNL,TPDDL,BAWANA_GAS,TPTCL,AEL,MSSH,NDMC,PUNJAB,TPDDL,TPTCL,TPTCL,PTC,IEXL,MHIL,APPCPL,TPTCL,TPTCL,DELHI,GMRETL,NDMC,PTC,IEXL,INSTINCT,NVVNL,INSTINCT,MEJA,INSTINCT,AEL,MANIKARAN,PTC,JHPL-DL,ITCLH,APPCPL,INSTINCT,BMDRC,BAL224,PXIL,APPCPL,GMRETL,APPCPL,BAL234,IEXL,MANIKARAN,NVVNL,NVVNL,APPCPL,Total

,,NA,NA,NA,NA,HIMACHAL PRADESH,NAGALAND,MAHARASHTRA,HIMACHAL PRADESH,MP,HIMACHAL PRADESH,ODISHA,HIMACHAL PRADESH,GOA,HIMACHAL PRADESH,HIMACHAL PRADESH,KARNATAKA,NA,HIMACHAL PRADESH,NA,NA,DELHI,NA,NA,HIMACHAL PRADESH,NA,DELHI,NA,MAHARASHTRA,NA,NA,KARNATAKA,HIMACHAL PRADESH,KERALA,NA,NA,MAHARASHTRA,RAJASTHAN,NA,NA,HIMACHAL PRADESH,MAHARASHTRA,NA,NA,UTTAR PRADESH,NA,NA,MP,HIMACHAL PRADESH,HIMACHAL PRADESH,ANDHRA PRADESH,NAGALAND,MAHARASHTRA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,MANIPUR,HIMACHAL PRADESH,UTTARAKHAND,HIMACHAL PRADESH,MAHARASHTRA,TAMIL NADU,NA,NA,ARUNACHAL PRADESH,
,,SBSRPC11PL_BKN,SBSRPC11PL_BKN,SOLAPUR_SOLAR,TRN_ENERGY,HP,Nagaland_Ben,AEML,CHANJUII,JP BINA,SHPPBPL,GMRKEL (STU),SHPPBPL,GOA_Beneficiary,GBHHPL,GBHHPL,KPTCL,ACBIL,HP-GOVT,KAMENG,JHAJJAR,BAWANA_GAS,SIMHAPURI,APL_Raigarh TPP,SHPPBPL,JITPL,BAWANA_GAS,JPL-2,TPC MSEB,JITPL,SEILP2,PCKL,SHPPBPL,KSEB,MPL,JITPL,MSEB_Beneficiary,RUVNL,SKS Raigarh,SEILP2,NHCPL_HP,JPL_DHULE,JPL-2,JPL,MEJA,JPL,APL_Raigarh TPP,BLAPOWER_MP,HP,SHPPBPL,ITCWIND,Nagaland_Ben,JPL_DHULE,SHPPBPL,SHPPBPL,SORANG_HEP,Manipur_Ben,GBHHPL,UTTARAKHAND,SHPPBPL,A_A_Energy_MH_Bio,MMS STEEL TN,RKM_POWER,RKM_POWER,Arunachal_Ben,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,HARYANA,DELHI,DELHI,DELHI,DELHI,PUNJAB,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BYPL,MES (Delhi),NDMC,BYPL,BYPL,BYPL,TPDDL,TPDDL,UHL,BRPL,BAL184,BRPL,BYPL,DIAPL,BRPL,BRPL,BRPL,TPDDL,TPDDL,HARYANA,BRPL,BRPL,MSSH,NDMC,PUNJAB,TPDDL,BYPL,BRPL,BRPL,BRPL,MHIL,BYPL,TPDDL,BRPL,TPDDL,BYPL,NDMC,BRPL,MES (Delhi),BRPL,NDMC,BRPL,DELHI,BRPL,BRPL,BRPL,BRPL,JHPL-DL,ITCLH,BYPL,BRPL,BMDRC,BAL224,BRPL,BRPL,BRPL,BYPL,BAL234,MES (Delhi),BRPL,NDMC,NDMC,BRPL,
,,North-North,North-North,West-North,West-North,North-North,North East-East-North,West-North,North-North,West-North,North-North,East-North,North-North,West-North,North-North,North-North,South-West-North,West-North,North-North,North East-East-North,North-North,North-North,South-West-North,West-North,North-North,East-North,North-North,West-North,West-North,East-North,South-West-North,South-East-West-North,North-North,South-West-North,East-North,East-North,West-North,North-North,West-North,South-East-North,North-North,West-North,West-North,West-North,North-North,West-North,West-North,West-North,North-North,North-North,South-West-North,North East-East-North,West-North,North-North,North-North,North-North,North East-East-North,North-North,North-North,North-North,West-North,South-West-North,West-North,West-North,North East-East-North,
1,00:00-00:15,0,0,0,7.230000,12.060000,0.570000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,96.460000,24.120000,48.230000,164.220000,241.150000,32.000000,38.080000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,53.310000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.630000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.290000,37.260000,37.260000,38.580000,1987.42

2,00:15-00:30,0,0,0,7.230000,12.060000,0.590000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,96.460000,24.120000,48.230000,164.220000,241.150000,32.000000,43.050000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,60.270000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.630000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.590000,37.260000,37.260000,38.580000,1999.67

3,00:30-00:45,0,0,0,7.230000,12.060000,0.530000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,96.460000,24.120000,48.230000,164.220000,241.150000,32.000000,45.600000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,63.840000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.630000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.740000,37.260000,37.260000,38.580000,2005.88

4,00:45-01:00,0,0,0,7.230000,12.060000,0.610000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,96.460000,24.120000,48.230000,164.220000,241.150000,32.000000,45.790000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,64.110000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.630000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.750000,37.260000,37.260000,38.580000,2006.43

5,01:00-01:15,0,0,0,7.230000,12.060000,1.850000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,47.310000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,66.240000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.840000,37.260000,37.260000,38.580000,1914.9

6,01:15-01:30,0,0,0,7.230000,12.060000,1.900000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,47.820000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,66.940000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.860000,37.260000,37.260000,38.580000,1916.18

7,01:30-01:45,0,0,0,7.230000,12.060000,1.910000,90.670000,12.700000,48.230000,0.610000,24.120000,0.360000,11.720000,0.000000,9.650000,0.000000,24.120000,48.230000,164.220000,241.150000,32.000000,48.230000,0.000000,0.680000,15.140000,32.000000,96.460000,47.710000,0.000000,24.120000,0.000000,0.880000,67.520000,0.000000,96.460000,0.000000,66.740000,12.420000,0.000000,1.930000,0.000000,37.260000,0.000000,0.000000,96.460000,48.230000,21.220000,36.170000,1.590000,0.580000,12.200000,72.340000,0.970000,0.520000,96.460000,24.040000,24.120000,84.090000,0.880000,4.820000,2.890000,37.260000,37.260000,38.580000,1917.21

