Column1,Block,NR/2025/25791/A/63914,NR/2025/25794/A/63910,NR/2025/25792/A/63912,NR/2025/25962/C,NR/2025/25795/A/63909,NR/2025/25924/A/63610,WR/2025/27369/A/63999,WR/2025/27361/A/63928,NR/2025/25790/A/63915,WR/2025/27350/A/63623,GNARE/NR/2024/12/20/3668,NR/2025/25752/A/63507,GNA/WR/2025/04/01/4420,NR/30092023/26122029/SH-06,NR/30092023/31122025/SH-07,GNA/SR/2025/04/01/2597,GNA/NR/2025/04/01/6490,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/7960,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/4565,GNA/NR/2025/04/01/6216,Total
,,APPCPL,APPCPL,APPCPL,TPDDL,APPCPL,DIAPL,MANIKARAN,APPCPL,APPCPL,KEIPL,SECI_Trader,IEXL,IVPL_Trader,PUNJAB,BAWANA_GAS,APPCPL,HPXL,DELHI,IEXL,NDMC,IEXL,IEXL,IEXL,IEXL,PXIL,IEXL,
,,NA,NA,NA,NA,NA,HIMACHAL_STATE,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,HIMACHAL_STATE,HIMACHAL_STATE,NA,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,SIKKIM_STATE,UTTARPRADESH_STATE,SIKKIM_STATE,
,,JIPL,RKM_POWER,RKM_POWER,JHAJJAR,TRN_ENERGY,GBHHPL,BYPL,BYPL,SKS_Raigarh,BYPL,APSEPL_FTG,TPSL_BKN2,BYPL,BAWANA_GAS,BAWANA_GAS,BYPL,MSPLTD,CHANJUII,RHPPL_HP,JPL2,Kalez_Khola_HEP,MEYONGCHU_HEP,KGEPL_HP,RCHEP,LAPL_UP,LLHEP1234,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,MSEB_State,PUNJAB_STATE,HARYANA_STATE,KERALA_State,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,
,,NDMC,NDMC,NDMC,TPDDL,NDMC,DIAPL,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,CSEB_Beneficiary,TPDDL,MES_Delhi,TPC_MSEB,PUNJAB,HARYANA,KSEB,BRPL,TPDDL,BRPL,NDMC,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,
,,East-North,West-North,West-North,North-North,West-North,North-North,North-West,North-West,West-North,North-West,North-North,North-North,North-West,North-North,North-North,North-West-South,West-North,North-North,North-North,West-North,East-North,East-North,North-North,East-North,North-North,East-North,
1,00:00-00:15,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

2,00:15-00:30,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

3,00:30-00:45,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

4,00:45-01:00,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

5,01:00-01:15,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

6,01:15-01:30,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

7,01:30-01:45,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

8,01:45-02:00,21.88,32.81,32.81,194.42,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,52.5,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,774.7999999999998

9,02:00-02:15,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

10,02:15-02:30,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

11,02:30-02:45,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

12,02:45-03:00,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

13,03:00-03:15,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

14,03:15-03:30,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

15,03:30-03:45,21.88,32.81,32.81,0,10.93,3.85,48.12,48.12,10.93,144.38,0,0,0,26.93,26.93,0,9.62,6.63,1.92,25.99,2.89,2.89,9.62,2.89,48.12,9.62,527.88

