Time,Block,NR/2024/20037/A/18839,NR/2024/20229/C,NR/2024/20144/A/18868,NR/2024/20109/A/18955,NR/2024/20050/A/18931,NR/2024/20082/A/18920,NR/2024/19779/A/18597,NR/2024/19355/A/18958,NR/2024/20233/C,NR/2024/19637/A/18697,NR/2024/20090/A/18582,NR/2024/20052/A/18506,NR/2024/20226/C,NR/2024/20237/C,NR/2024/20232/C,NR/2024/20228/C,NR/2024/19432/A/18942,NR/2024/20048/A/18932,NR/2024/20227/C,NR/2024/19760/A/18840,NR/2024/19588/A/18707,NR/2024/20040/A/18919,NR/2024/20041/A/18934,NR/2024/19966/A/18667,NR/2024/20034/A/18933,NR/2024/20142/A/18864,NR/2024/19683/A/18450,NR/2024/19475/A/18892,NR/2024/20130/A/18700,NR/2024/19699/A/18940,NR/2024/20234/C,NR/2024/20141/A/18866,NR/2024/19918/A/18921,NR/2024/20031/A/18936,NR/2024/20033/A/18937,NR/2024/20240/C,Total
,,TPTCL,PXIL,BAL234,TPDDL,PTC,APPCPL,ITCLH,TPDDL,IEXL,INSTINCT,IEXL,DIAPL,NVVNL,HPXL,HPXL,NVVNL,NVVNL,PTC,NVVNL,TPTCL,GMRETL,APPCPL,PTC,BRPL,NVVNL,BAL224,IEXL,AEL,DTCP,NVVNL,IEXL,BAL184,APPCPL,NVVNL,NVVNL,IEXL,Total

,,MAHARASHTRA,NA,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,SIKKIM,ANDHRA PRADESH,NA,NA,NA,MAHARASHTRA,HIMACHAL PRADESH,NA,NA,KARNATAKA,NA,NA,HIMACHAL PRADESH,NA,NA,RAJASTHAN,MANIPUR,MAHARASHTRA,MAHARASHTRA,NA,HIMACHAL PRADESH,HIMACHAL PRADESH,NA,HIMACHAL PRADESH,MP,NA,HIMACHAL PRADESH,NAGALAND,NA,NA,NA,
,,JPL_DHULE,SKS Raigarh,SHPPBPL,JHAJJAR,HP,SIKKIM,ITCWIND,JPL-2,MCCPL,JPL-2,A_A_Energy_MH_Bio,GBHHPL,SORANG_HEP,SINGOLI,PCKL,SOLAPUR_SOLAR,SEIL,HP,KAMENG,SIMHAPURI,RUVNL,Manipur_Ben,JPL_DHULE,IEPLBELA2022,RKM_POWER,SHPPBPL,NHCPL_HP,APL_Raipur TPP,SHPPBPL,JP BINA,RKM_POWER,SHPPBPL,Nagaland_Ben,RKM_POWER,SKS Raigarh,DGEN,
,,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,DELHI,
,,TPDDL,BRPL,BAL234,TPDDL,BRPL,BYPL,ITCLH,TPDDL,BRPL,BRPL,MES (Delhi),DIAPL,TPDDL,BYPL,BRPL,MES (Delhi),TPDDL,BYPL,TPDDL,BRPL,BYPL,BYPL,BRPL,BRPL,NDMC,BAL224,MES (Delhi),BRPL,DTCP,TPDDL,TPDDL,BAL184,BYPL,NDMC,NDMC,BRPL,
,,West-North,West-North,North-North,North-North,North-North,East-North,South-West-North,West-North,West-North,West-North,West-North,North-North,North-North,North-North,South-East-North,West-North,South-West-North,North-North,North East-East-North,South-West-North,North-North,North East-East-North,West-North,West-North,West-North,North-North,North-North,West-North,North-North,West-North,West-North,North-North,North East-East-North,West-North,West-North,West-North,
1,00:00-00:15,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,38.630000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,115.900000,0.350000,13.520000,43.900000,14.630000,193.160000,1808.08

2,00:15-00:30,72.440000,86.920000,0.880000,241.450000,162.980000,11.590000,0.630000,96.580000,0.000000,0.000000,1.930000,8.690000,9.660000,38.630000,144.870000,0,24.140000,54.330000,101.310000,0.000000,66.820000,14.490000,0.000000,0.000000,43.900000,0.520000,1.930000,193.160000,0.480000,48.290000,115.900000,0.350000,13.520000,43.900000,14.630000,193.160000,1808.08
