Column1,Block,GNARE/NR/2024/12/20/3668,NR/2025/25844/C,NR/2025/25752/A/61344,GNA/NR/2025/04/01/5285,GNA/NR/2025/04/01/6490,GNA/NR/2025/04/01/1831,GNA/NR/2025/04/01/1333,GNA/NR/2025/04/01/7459,GNA/NR/2025/04/01/9334,GNA/NR/2025/04/01/6216,NR/01082024/19092033/Chanju/TPDDL/01082024,GNA/SR/2025/04/01/2597,GNA/WR/2025/04/01/4420,GNA/NR/2025/04/01/4565,WR/2025/27350/A/61473,NR/2025/25791/A/61762,GNA/NR/2025/04/01/7960,WR/2025/27369/A/61857,WR/2025/27361/A/61775,NR/2025/25790/A/61763,NR/30092023/26122029/SH-06,NR/2025/25792/A/61761,NR/30092023/31122025/SH-07,NR/2025/25795/A/61759,NR/2025/25794/A/61760,NR/2025/25828/A/61710,Total
,,SECI_Trader,TPDDL,IEXL,IEXL,HPXL,IEXL,IEXL,IEXL,IEXL,IEXL,DELHI,APPCPL,IVPL_Trader,PXIL,KEIPL,APPCPL,NDMC,MANIKARAN,APPCPL,APPCPL,PUNJAB,APPCPL,BAWANA_GAS,APPCPL,APPCPL,DIAPL,
,,NA,NA,NA,SIKKIM_STATE,CSEB_State,HIMACHAL_STATE,SIKKIM_STATE,HIMACHAL_STATE,SIKKIM_STATE,SIKKIM_STATE,HIMACHAL_STATE,DELHI_UT,DELHI_UT,UTTARPRADESH_STATE,DELHI_UT,NA,NA,DELHI_UT,DELHI_UT,NA,DELHI_UT,NA,DELHI_UT,NA,NA,HIMACHAL_STATE,
,,APSEPL_FTG,JHAJJAR,TPSL_BKN2,MEYONGCHU_HEP,MSPLTD,RHPPL_HP,RCHEP,KGEPL_HP,Kalez_Khola_HEP,LLHEP1234,CHANJUII,BYPL,BYPL,LAPL_UP,BYPL,JIPL,JPL2,BYPL,BYPL,SKS_Raigarh,BAWANA_GAS,RKM_POWER,BAWANA_GAS,TRN_ENERGY,RKM_POWER,GBHHPL,
,,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,DELHI_UT,KERALA_State,MSEB_State,DELHI_UT,CSEB_State,DELHI_UT,DELHI_UT,CSEB_State,CSEB_State,DELHI_UT,PUNJAB_STATE,DELHI_UT,HARYANA_STATE,DELHI_UT,DELHI_UT,DELHI_UT,
,,TPDDL,TPDDL,MES_Delhi,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,BRPL,TPDDL,KSEB,TPC_MSEB,BRPL,CSEB_Beneficiary,NDMC,NDMC,CSEB_Beneficiary,CSEB_Beneficiary,NDMC,PUNJAB,NDMC,HARYANA,NDMC,NDMC,DIAPL,
,,North-North,North-North,North-North,East-North,West-North,North-North,East-North,North-North,East-North,East-North,North-North,North-West-South,North-West,North-North,North-West,East-North,West-North,North-West,North-West,West-North,North-North,West-North,North-North,West-North,West-North,North-North,
1,00:00-00:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.62,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,20.88,32.79,20.88,10.93,32.79,0,687.2699999999999

2,00:15-00:30,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.62,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,20.88,32.79,20.88,10.93,32.79,0,687.2699999999999

3,00:30-00:45,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.62,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,20.88,32.79,20.88,10.93,32.79,0,687.2699999999999

4,00:45-01:00,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.62,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,20.88,32.79,20.88,10.93,32.79,0,687.2699999999999

5,01:00-01:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,699.3299999999999

6,01:15-01:30,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,699.3299999999999

7,01:30-01:45,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,699.3299999999999

8,01:45-02:00,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,52.5,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,699.3299999999999

9,02:00-02:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.8299999999999

10,02:15-02:30,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.8299999999999

11,02:30-02:45,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.8299999999999

12,02:45-03:00,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.8299999999999

13,03:00-03:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.7399999999999

14,03:15-03:30,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.7399999999999

15,03:30-03:45,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.7399999999999

16,03:45-04:00,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.7399999999999

17,04:00-04:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.7399999999999

18,04:15-04:30,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,646.7399999999999

19,04:30-04:45,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,24.33,32.79,24.33,10.93,32.79,0,641.4799999999999

20,04:45-05:00,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.43,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,24.33,32.79,24.33,10.93,32.79,0,641.4799999999999

21,05:00-05:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,24.33,32.79,24.33,10.93,32.79,0,641.39

22,05:15-05:30,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,24.33,32.79,24.33,10.93,32.79,0,641.39

23,05:30-05:45,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,17.86,32.79,17.86,10.93,32.79,0,628.4499999999999

24,05:45-06:00,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,14.41,32.79,14.41,10.93,32.79,0,621.5499999999998

25,06:00-06:15,0,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,14.41,32.79,14.41,10.93,32.79,0,621.5499999999998

26,06:15-06:30,0.77,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,0,10.93,32.79,0,623.9999999999999

27,06:30-06:45,0.19,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,653.9199999999998

28,06:45-07:00,1.47,150.06,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.34,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,655.1999999999998

29,07:00-07:15,4.28,178.91,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,686.7699999999999

30,07:15-07:30,8.3,178.91,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,690.7899999999998

31,07:30-07:45,13.87,0,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,517.45

32,07:45-08:00,21.07,0,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,144.28,21.86,0,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,0,524.6500000000001

33,08:00-08:15,29.21,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,0,21.86,0,48.1,48.1,10.93,30.5,32.79,26.48,10.93,32.79,0,388.3400000000001

34,08:15-08:30,36.74,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,0,21.86,0,48.1,48.1,10.93,30.5,32.79,26.48,10.93,32.79,0,395.87000000000006

35,08:30-08:45,45.22,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,0,21.86,0,48.1,48.1,10.93,30.5,32.79,26.48,10.93,32.79,0,404.3500000000001

36,08:45-09:00,53.14,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,0,48.1,0,21.86,0,48.1,48.1,10.93,30.5,32.79,26.48,10.93,32.79,0,412.2700000000001

37,09:00-09:15,61.16,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,30,32.79,26.56,10.93,32.79,0,422.6600000000001

38,09:15-09:30,68.57,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,30,32.79,26.56,10.93,32.79,0,430.07000000000005

39,09:30-09:45,75.66,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,434.52000000000004

40,09:45-10:00,82.31,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,441.17

41,10:00-10:15,88.19,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,448.9800000000001

42,10:15-10:30,93.79,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,454.58000000000004

43,10:30-10:45,98.32,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,459.11

44,10:45-11:00,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.16,0,0,48.1,0,21.86,0,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,460.79

45,11:00-11:15,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,0,48.1,0,21.86,25.97,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,486.66

46,11:15-11:30,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,0,48.1,0,21.86,25.97,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,486.66

47,11:30-11:45,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,0,48.1,0,21.86,25.97,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,486.66

48,11:45-12:00,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,0,48.1,0,21.86,25.97,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,486.66

49,12:00-12:15,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,25.97,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,486.57

50,12:15-12:30,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,25.97,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,486.57

51,12:30-12:45,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,503.89000000000004

52,12:45-13:00,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,503.89000000000004

53,13:00-13:15,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,503.89000000000004

54,13:15-13:30,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,503.89000000000004

55,13:30-13:45,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,503.89000000000004

56,13:45-14:00,100,0,8.66,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,503.89000000000004

57,14:00-14:15,100,0,7.7,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,502.93000000000006

58,14:15-14:30,100,0,7.7,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,502.93000000000006

59,14:30-14:45,100,0,7.7,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,502.93000000000006

60,14:45-15:00,100,0,7.7,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.97,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,502.93000000000006

61,15:00-15:15,100,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,501.87000000000006

62,15:15-15:30,95.03,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,496.9000000000001

63,15:30-15:45,89.31,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,491.18

64,15:45-16:00,83.4,0,6.73,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,0,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,0,485.27000000000004

65,16:00-16:15,77.57,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,1.92,528.48

66,16:15-16:30,71.32,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,1.92,522.23

67,16:30-16:45,63.85,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,1.92,514.76

68,16:45-17:00,56.33,0,3.85,2.89,9.62,1.92,2.89,9.62,2.89,9.62,4.88,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,26.96,32.79,26.96,10.93,32.79,1.92,507.24000000000007

69,17:00-17:15,48.22,0,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,29.5,32.79,26.64,10.93,32.79,1.92,497.68000000000006

70,17:15-17:30,41.29,0,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,29.5,32.79,26.64,10.93,32.79,1.92,490.75000000000006

71,17:30-17:45,32.78,0,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,29.5,32.79,26.96,10.93,32.79,1.92,482.56000000000006

72,17:45-18:00,23.41,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.06,0,50,48.1,0,21.86,43.29,48.1,48.1,10.93,29.5,32.79,26.96,10.93,32.79,1.92,700.1999999999998

73,18:00-18:15,16.12,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,26.96,10.93,32.79,1.92,742.1999999999999

74,18:15-18:30,10.01,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,20.88,10.93,32.79,1.92,730.0099999999998

75,18:30-18:45,5.42,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,735.0399999999998

76,18:45-19:00,2.71,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.25,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,732.3299999999998

77,19:00-19:15,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,729.8899999999999

78,19:15-19:30,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,729.8899999999999

79,19:30-19:45,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,729.8899999999999

80,19:45-20:00,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.52,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,729.8899999999999

81,20:00-20:15,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.7,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.0699999999998

82,20:15-20:30,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.7,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.0699999999998

83,20:30-20:45,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.7,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.0699999999998

84,20:45-21:00,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.7,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.0699999999998

85,21:00-21:15,0,227.01,0,2.89,9.62,1.92,2.89,9.62,2.89,9.62,5.9,0,50,48.1,48.1,21.86,43.29,48.1,48.1,10.93,30.5,32.79,30.5,10.93,32.79,1.92,730.2699999999999

