Block,Time Block,UNCHAHAR2,UNCHAHAR4,UNCHAHAR3,BRBCL,BSIUL,CHAMERA1,CHAMERA2,CHAMERA3,DULHASTI,DHAULIGNGA,DADRT2,JHAJJAR,FSTPP I & II,KGSU1AND2,KGSU3AND4,KHSTPP-II,KHSTPP-I,KKNPPU2,KISHANGANGA,KOLDAM,KKNP,KOTESHWR,MAPS,KUDGI,NJPC,NAPP,NLCEXP,NLCIIST2,NLCTS2EXP,NNTPP,NLCIIST1,NTPL,PARBATI2,PARBATI3,RAMPUR,RIHAND1,RIHAND3,RAPPC,RIHAND2,RAPPB,RAPPD,RSTPSU1TO6,SALAL,SEWA2,RSTPSU7,SASAN,SINGRAULI,SIMHST2,SINGRAULI_HYDRO,SIMHST1,TALA,TANDA2,TANAKPUR,TALST2,UNCHAHAR1,TEHRIPSP,TEHRI,TelanganaSTPP,VALLURNTECL,URI,URI2,ANTA_CRF,ANTA_RF,AURY_GF,ANTA_GF,AURY_CRF,ANTA_LF,AURY_RF,DADRI_LF,DADRI_CRF,AURY_LF,DADRI_GF,DADRI_RF,ISGS Total,Inj. Loss,Drw. Loss,Total Loss,Net
1,00:00-00:15,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,13.94,0,0,142.92,29.19,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,44.74,122.03,63.22,118.27,0,37.3,0,81.75,18.19,0,376.44,109.22,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

2,00:15-00:30,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,17.73,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

3,00:30-00:45,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,20.04,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

4,00:45-01:00,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,20.04,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

5,01:00-01:15,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,20.04,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

6,01:15-01:30,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,20.04,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,35.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

7,01:30-01:45,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,20.04,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

8,01:45-02:00,41.13,1.46,0,18.07,0,27.08,45.41,32.72,36.06,30.68,412.6,263.8,20.04,0,0,142.92,29.25,0,6.72,8.32,0,43.44,0,0,169.42,23.6,0,0,0,0,0,0,0,44.42,5.47,46.34,126.09,63.22,120.72,0,37.3,0,81.75,18.19,0,379.46,109.62,0,0,0,18.87,5.35,12.63,0,20.94,200.41,79.67,0,0,12.77,27.04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0

